Committee Name|Committee Address|Committee Type|Committee City|Committee State|Committee Zip|Committee ID|Date Recevied|Date Last Revised|Last Revised By|Postmark Date|Microfilm Number|Election Date|Type of Filing|Nature of Filing|Report Start Date|Report End Date|Nature of Committee|Field 1|Field 2A|Field 2B|Field 2C|Field 2D|Field 3|Field 4|Field 5|Field 6|Field 7|Field 8|Field 9|Field 10|Field 11A|Field 11B|Field 11C|Field 11D|Field 12|Field 13|Field 14|Field 15|Field 16|Field 17|Field 18|Field 19|Field 20|Field 21|Field 22|Field 23|Field 24|Field 25|Field 26|Description
NE REALTORS PAC|800 S 13TH STREET, SUITE 200|S|LINCOLN|NE|68508|99PAC00064|05/02/2000|03/20/2003|JIMS    |05/01/2000|5930068|05/09/2000|P|10|04/05/2000|04/24/2000||7002.96|2109|0|0|2109|0|0|2109|0|0|2109|9111.96|5400.5|3000|0|0|3000|0|3000|0|0|3000|8400.5|27289.79|0|2109|29398.79|3000|26398.79|0|0|26398.79|
NE REALTORS PAC|800 S 13TH STREET, SUITE 200|S|LINCOLN|NE|68508|99PAC00064|06/19/2000|03/20/2003|JIMS    |06/16/2000|5960054|05/09/2000|P|40|04/25/2000|06/13/2000||9111.96|8898|0|167.7|9065.7|0|0|9065.7|0|0|9065.7|18177.66|8400.5|0|2717.4|0|2717.4|0|2717.4|0|0|2717.4|11117.9|26398.79|0|9065.7|35464.49|2717.4|32747.09|0|0|32747.09|
NE REALTORS PAC|800 S 13TH STREET, SUITE 200|S|LINCOLN|NE|68508|99PAC00064|10/10/2000|11/02/2000|KATHYS  |10/09/2000|5980246|11/07/2000|G|30|06/14/2000|10/03/2000||18177.66|30421.75|0|472.81|30894.56|0|0|30894.56|0|0|30894.56|49072.22|11117.9|11000|9878.62|1|20879.62|0|20879.62|0|0|20879.62|31997.52|32747.09|0|30894.56|63641.65|20879.62|42762.03|0|0|42762.03|
NE REALTORS PAC|800 S 13TH STREET, SUITE 200|S|LINCOLN|NE|68508|99PAC00064|11/01/2000|12/27/2000|KAREN   |10/30/2000|6000083|11/07/2000|G|10|10/03/2000|10/23/2000||49072.22|25|0|0|25|0|0|25|0|0|25|49097.22|31997.52|0|0|0|0|1000|-1000|0|0|-1000|30997.52|42762.46|0|25|42787.46|-1000|43787.46|0|0|43787.46|
NE REALTORS PAC|800 S 13TH STREET, SUITE 200|S|LINCOLN|NE|68508|99PAC00064|01/16/2001|03/20/2003|JIMS    |01/15/2001|6030205|11/07/2000|G|70|10/04/2000|12/31/2000||49097.22|565|0|434.11|999.11|0|0|999.11|0|0|999.11|50096.33|30977.52|4850|246|0|5096|0|5096|0|0|5096|36073.52|43787.46|0|999.11|44786.57|5096|39690.57|0|.43|39690.14|
NE REALTORS PAC|800 S 13TH STREET, SUITE 200|S|LINCOLN|NE|68508|99PAC00064|03/07/2001|12/04/2001|DAVIDH  |03/05/2001|6070141|04/03/2001|P|30|01/01/2001|02/27/2001||0|2028|0|0|2028|0|0|2028|0|0|2028|2028|0|4000|555.9|0|4555.9|0|4555.9|0|7500|12055.9|12055.9|39690.14|0|2028|41718.14|4555.9|37162.24|0|0|37162.24|
NE REALTORS PAC|800 S 13TH STREET, SUITE 200|S|LINCOLN|NE|68508|99PAC00064|03/27/2001|03/20/2003|JIMS    |03/26/2001|6130097|04/03/2001|P|10|02/28/2001|03/19/2001||2028|765|0|266.31|1031.31|0|0|1031.31|0|0|1031.31|3059.31|12055.9|1000|0|0|1000|0|1000|0|0|1000|13055.9|37162.24|0|1031.31|38193.55|1000|37193.55|5000|0|32193.55|
NE REALTORS PAC|800 S 13TH STREET, SUITE 200|S|LINCOLN|NE|68508|99PAC00064|04/23/2001|03/20/2003|JIMS    |04/21/2001|6160241|05/01/2001|G|10|03/20/2001|04/16/2001||3059.31|25|0|92.5|117.5|0|0|117.5|0|0|117.5|3176.81|13055.9|6400|0|504|6904|0|6904|0|0|6904|19959.9|32193.55|0|117.5|32311.05|6904|25407.05|0|0|25407.05|
NE REALTORS PAC|800 S 13TH STREET, SUITE 200|S|LINCOLN|NE|68508|99PAC00064|05/07/2001|12/04/2001|DAVIDH  |05/05/2001|6170225|04/03/2001|G|10|04/17/2001|04/30/2001||3176.81|419|0|64.47|483.47|0|0|483.47|0|0|483.47|3660.28|19959.9|6500|289.5|0|6789.5|0|6789.5|0|0|6789.5|26749.4|25407.05|0|483.47|25890.52|6789.5|19101.02|0|0|19101.02|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|05/02/2000|01/17/2001|SERENAD |04/28/2000||05/09/2000|P|10|04/05/2000|04/26/2000||6888.52|1300|0|37.42|1337.42|0|0|1337.42|0|0|1337.42|8225.94|1450.45|3100|0|24.51|3124.51|0|3124.51|0|0|3124.51|4574.96|28535.89|0|1337.42|29873.31|3124.51|26748.8|0|0|26748.8|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|06/20/2000|06/20/2000|SERENAD |06/18/2000||05/09/2000|P|40|04/27/2000|06/13/2000||8225.94|4456.66|0|69.05|4525.71|0|0|4525.71|0|0|4525.71|12751.65|4574.96|0|0|60.83|60.83|0|60.83|0|0|60.83|4635.79|26748.8|0|4525.71|31274.51|60.83|31213.68|0|2261.85|28951.83|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|10/11/2000|10/20/2000|KAREN   |10/10/2000|5980239|11/07/2000|G|30|06/14/2000|10/03/2000||12751.66|5783.32|0|152.36|5935.68|0|0|5935.68|0|0|5935.68|18687.34|4635.79|5000|0|37.23|5037.23|500|4537.23|0|0|4537.23|9173.02|28951.84|0|5935.68|34887.52|4537.23|30350.29|0|1208.1|29142.19|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|10/31/2000|02/07/2002|DAVIDH  |10/30/2000|6000079|11/07/2000|G|10|10/03/2000|10/23/2000||18687.34|1840.83|0|0|1840.83|0|0|1840.83|0|0|1840.83|20528.17|9173.02|500|0|0|500|0|500|0|0|500|9673.02|29142.19|0|1840.83|30983.02|500|30483.02|0|272.7|30210.32|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|01/11/2001|01/17/2001|SERENAD |01/10/2001||11/07/2000|G|70|10/24/2000|12/31/2000||20528.17|3061.66|0|121.75|3183.41|0|0|3183.41|0|0|3183.41|23711.58|9673.02|2500|0|124.23|2624.23|0|2624.23|0|0|2624.23|12297.25|30210.32|0|3183.41|33393.73|2624.23|30769.5|0|710.4|30059.1|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|01/31/2002|05/01/2002|SERENAD |01/30/2002|6260225|01/01/2001|A||01/01/2001|12/31/2001||0|25931.49|0|418.15|26349.64|0|0|26349.64|0|0|26349.64|26349.64|0|10750|0|879.03|11629.03|500|11129.03|0|0|11129.03|11129.03|30059.1|0|26349.64|56408.74|11129.03|45279.71|0|6613.26|38666.45|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|04/16/2002|05/19/2003|DAVIDH  |04/15/2002|6380196|05/14/2002|P|30|01/01/2002|04/09/2002||0|4152.47|0|88.72|4241.19|0|0|4241.19|0|0|4241.19|4241.19|0|3250|0|98.7|3348.7|0|3348.7|0|0|3348.7|3348.7|38666.45|0|4241.19|42907.64|3348.7|39558.94|0|591.23|38967.71|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|05/07/2002|10/07/2002|DAVIDH  |05/06/2002|6400110|05/14/2002|P|10|04/10/2002|04/26/2002||4241.19|1172.49|0|0|1172.49|0|0|1172.49|0|0|1172.49|5413.68|3348.7|0|0|9.48|9.48|0|9.48|0|0|9.48|3358.18|38967.71|0|1172.49|40140.2|9.48|40130.72|0|379.32|39751.4|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|06/25/2002|10/07/2002|DAVIDH  |06/21/2002|6420117|05/14/2002|P|40|04/30/2002|06/18/2002||5413.68|1372.49|0|69.41|1441.9|0|0|1441.9|0|0|1441.9|6855.58|3358.18|0|0|265.34|265.34|0|265.34|0|0|265.34|3623.52|39751.4|0|1441.9|41193.3|265.34|40927.96|0|603.74|40324.22|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|10/04/2002|10/08/2002|TERII   |10/03/2002|644084A|11/05/2002|G|30|06/19/2002|10/01/2002||6855.58|13417.52|0|98.97|13516.49|0|0|13516.49|0|0|13516.49|20372.07|3623.52|9000|0|207.4|9207.4|0|9207.4|0|0|9207.4|12830.92|40324.22|0|13516.49|53840.71|9207.4|44633.31|0|2858.53|41774.78|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|10/24/2002|10/28/2002|SERENAD |10/24/2002||11/05/2002|G|10|10/02/2002|10/21/2002||20372.07|1688.33|0|31.1|1719.43|0|0|1719.43|0|0|1719.43|22091.5|12830.92|6500|0|131.35|6631.35|0|6631.35|0|0|6631.35|19462.27|41774.78|0|1719.43|43494.21|6631.35|36862.86|0|416.37|36446.49|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|01/13/2003|01/31/2003|DAVIDH  |01/10/2003||11/05/2002|G|70|10/22/2002|12/31/2002||22091.7|3086.66|0|83.5|3170.16|0|0|3170.16|0|0|3170.16|25261.86|19462.27|1500|0|104.09|1604.09|0|1604.09|0|0|1604.09|21066.36|36446.49|0|3170.16|39616.65|1604.09|38012.56|0|1127.49|36885.07|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|01/30/2004|11/16/2010|nadc01|01/29/2004||11/02/2003|A||01/01/2003|12/31/2003|S|0|26389.92|0|159.53|26549.45|0|0|26549.45|0|0|26549.45|26549.45|0|14300|0|765.87|15065.87|0|15065.87|0|0|15065.87|15065.87|36885.07|0|26549.45|63434.52|15065.87|48368.65|0|6506.19|41862.46|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|04/12/2004|05/05/2004|DAVIDH  |04/09/2004|6780129|05/11/2004|P|30|01/01/2004|04/06/2004||0|4134.98|0|25.32|4160.3|0|0|4160.3|0|0|4160.3|4160.3|0|7400|0|207.46|7607.46|0|7607.46|0|0|7607.46|7607.46|41862.46|0|4160.3|46022.76|7607.46|38415.3|0|730.82|37684.48|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|05/03/2004|05/11/2004|CHERYLD |04/29/2004|6790227|05/11/2004|P|10|04/07/2004|04/26/2004||4160.3|1111.66|0|0|1111.66|0|0|1111.66|0|0|1111.66|5271.96|7607.46|0|0|0|0|0|0|0|0|0|7607.46|37684.45|0|1111.66|38796.11|0|38796.11|0|280.41|38515.7|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|06/18/2004|06/24/2004|CHERYLD |06/17/2004|6810235|11/05/2004|P|40|04/27/2004|06/15/2004||5271.96|1151.66|0|15|1166.66|0|0|1166.66|0|0|1166.66|6438.62|7607.46|0|0|2.89|2.89|0|2.89|0|0|2.89|7610.35|38515.7|0|1166.66|39682.36|2.89|39679.47|0|550.82|39128.65|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|10/05/2004|11/16/2010|nadc01|10/04/2004|6850162|11/02/2004|G|30|06/16/2004|09/28/2004||6438.62|13376.64|0|22.96|13399.6|0|0|13399.6|0|0|13399.6|19838.22|7610.35|6000|0|147.15|6147.15|0|6147.15|0|0|6147.15|13757.5|39128.65|0|13399.6|52528.25|6147.15|46381.1|0|821.23|45559.87|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|10/25/2004|12/02/2004|DAVIDH  |10/22/2004|6870009|11/02/2004|G|10|09/29/2004|10/18/2004||19838.22|1030|0|7.42|1037.42|0|0|1037.42|0|0|1037.42|20875.64|13757.5|0|0|85.27|85.27|0|85.27|0|0|85.27|13842.77|45559.87|0|1037.42|46597.29|85.27|46512.02|0|2522.91|43989.11|
NE OPTOMETRIC ASSOCIATION PAC|1633 NORMANDY CT. #A|S|LINCOLN|NE|68512|99PAC00061|01/11/2005|11/16/2010|nadc01|01/10/2005|6900136|11/02/2004|G|70|10/19/2004|12/31/2004||20875.64|6219.98|0|15.16|6235.14|0|0|6235.14|0|0|6235.14|27110.78|13842.77|750|0|27.78|777.78|250|527.78|0|0|527.78|14370.55|43989.11|0|6235.14|50224.25|527.78|49696.47|0|823.32|48873.15|
NE FARM BUREAU FEDERATION PAC|5225 S.16TH ST., PO BOX 80299|S|LINCOLN|NE|68501-0000|99PAC00055|06/18/2004|08/16/2004|DAVIDH  |06/17/2004|6810232|11/05/2004|P|10|04/27/2004|06/15/2004||10468.17|4458|0|85.66|4543.66|0|0|4543.66|0|0|4543.66|15011.83|3161.41|353.32|0|283.55|636.87|0|636.87|0|0|636.87|3798.28|126028.66|0|4543.66|130572.32|636.87|129935.45|0|0|129935.45|
NE FARM BUREAU FEDERATION PAC|5225 S.16TH ST., PO BOX 80299|S|LINCOLN|NE|68501-0000|99PAC00055|10/04/2004|10/12/2004|CORIEJ  |10/01/2004|6850160|11/02/2004|G|30|06/16/2004|09/28/2004||15011.83|6478.66|0|327.17|6805.83|0|0|6805.83|0|0|6805.83|21817.66|3798.28|16200|0|4198.23|20398.23|0|20398.23|0|0|20398.23|24196.51|129935.45|0|6805.83|136741.28|20398.23|116343.05|0|0|116343.05|
NE FARM BUREAU FEDERATION PAC|5225 S.16TH ST., PO BOX 80299|S|LINCOLN|NE|68501-0000|99PAC00055|10/25/2004|08/08/2005|nadc04|10/22/2004|6870006|11/02/2004|G|10|09/29/2004|10/18/2004||21817.66|6398|0|77.91|6475.91|0|0|6475.91|0|0|6475.91|28293.57|24196.51|7028.98|0|3022.66|10051.64|0|10051.64|0|0|10051.64|34248.15|116342.55|0|6475.91|122818.46|10051.64|112766.82|0|0|112766.82|
NE FARM BUREAU FEDERATION PAC|5225 S.16TH ST., PO BOX 80299|S|LINCOLN|NE|68501-0000|99PAC00055|01/12/2005|01/18/2005|CORIEJ  |01/11/2005|6900129|11/02/2004|G|70|10/19/2004|12/31/2004||28293.57|16069|0|171.97|16240.97|0|0|16240.97|0|0|16240.97|44534.54|34248.15|6425|0|213.67|6638.67|0|6638.67|0|0|6638.67|40886.82|112766.82|0|16240.97|129007.79|6638.67|122369.12|0|0|122369.12|
NE FEDERATION OF YOUNG REPUBLICANS|421 SOUTH 9TH ST., SUITE 233    LINCOLN|S|LINCOLN|NE|68508|99PAC00056|01/31/2000|02/02/2000|KIMH    |01/31/2000||11/03/1998|A||01/01/1999|12/31/1999||0|173|0|0|173|0|0|173|0|0|173|173|0|0|0|648.15|648.15|0|648.15|0|0|648.15|648.15|1823.08|0|173|1996.08|648.15|1347.93|0|0|1347.93|
NE FEDERATION OF YOUNG REPUBLICANS|421 SOUTH 9TH ST., SUITE 233    LINCOLN|S|LINCOLN|NE|68508|99PAC00056|01/31/2001|06/05/2001|RICKL   |01/31/2001|0      |11/07/2000|A||01/01/2000|12/31/2000||0|40|0|0|40|0|0|40|0|0|40|40|0|0|0|989.93|989.93|0|989.93|0|0|989.93|989.93|3347.93|0|40|3387.93|989.93|2398|0|0|2398|
NE FEDERATION OF YOUNG REPUBLICANS|421 SOUTH 9TH ST., SUITE 233    LINCOLN|S|LINCOLN|NE|68508|99PAC00056|02/04/2002|02/11/2002|TERII   |02/01/2002|6270199|01/01/2001|O|FS|01/01/2001|12/31/2001||0|0|0|2146|2146|0|0|2146|0|0|2146|2146|0|0|0|2880|2880|0|2880|0|0|2880|2880|2398|0|2146|4544|2880|1664|0|0|1664|
NE MANUFACTURED HOUSING PAC|PO BOX 22097; 5300 WEST O ST.|S|LINCOLN|NE|68542|99PAC00057|01/12/2000|03/01/2000|SERENAD |01/11/2000||05/09/1999|A||12/31/1998|12/31/1999||0|100|0|162.58|262.58|0|0|262.58|0|0|262.58|262.58|0|250|0|0|250|350|-100|0|0|-100|-100|7086.53|0|262.58|7349.11|-100|7449.11|0|0|7449.11|
NE MANUFACTURED HOUSING PAC|PO BOX 22097; 5300 WEST O ST.|S|LINCOLN|NE|68542|99PAC00057|01/16/2001|01/23/2001|KAREN   |01/12/2001|0      |11/07/2000|A||01/01/2000|12/31/2000||0|0|0|144.27|144.27|0|0|144.27|0|0|144.27|144.27|0|0|0|0|0|0|0|0|0|0|0|7449.11|0|144.27|7593.38|0|7593.38|0|0|7593.38|
NE MANUFACTURED HOUSING PAC|PO BOX 22097; 5300 WEST O ST.|S|LINCOLN|NE|68542|99PAC00057|01/30/2002|02/04/2002|TERII   |01/29/2002|6260223|01/01/2001|A||01/01/2001|12/31/2001||0|0|0|54.44|54.44|0|0|54.44|0|0|54.44|54.44|0|0|0|0|0|0|0|0|0|0|0|7593.38|0|54.44|7647.82|0|7647.82|0|0|7647.82|
NE MANUFACTURED HOUSING PAC|PO BOX 22097; 5300 WEST O ST.|S|LINCOLN|NE|68542|99PAC00057|01/07/2003|01/14/2004|CHERYLD |01/06/2003|6650057|05/04/2004|O|AS|01/01/2002|12/31/2002||0|0|0|13.34|13.34|0|0|13.34|0|0|13.34|13.34|0|0|0|20|20|0|20|0|0|20|20|7647.82|0|13.34|7661.16|20|7641.16|0|0|7641.16|
NE MANUFACTURED HOUSING PAC|PO BOX 22097; 5300 WEST O ST.|S|LINCOLN|NE|68542|99PAC00057|01/07/2004|01/14/2004|CHERYLD |01/06/2004|6650056|11/05/2002|A||01/01/2003|12/31/2003||0|0|0|151.41|151.41|0|0|151.41|0|0|151.41|151.41|0|0|0|0|0|0|0|0|0|0|0|7641.16|0|151.41|7792.57|0|7792.57|0|0|7792.57|
NE MANUFACTURED HOUSING PAC|PO BOX 22097; 5300 WEST O ST.|S|LINCOLN|NE|68542|99PAC00057|02/10/2005|08/15/2005|nadc04|02/10/2005|6920220|11/02/2004|G|70|01/01/2004|12/31/2004|S|0|0|0|137.63|137.63|0|0|137.63|0|0|137.63|137.63|0|0|0|0|0|0|0|0|0|0|0|7792.57|0|137.63|7930.2|0|7930.2|0|0|7930.2|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|01/24/2000|02/15/2001|SERENAD |01/21/2000||11/03/1998|A||01/01/1999|12/31/1999||0|20270|0|1508.31|21778.31|0|0|21778.31|0|0|21778.31|21778.31|0|4500|10244.11|123.4|14867.51|200|14667.51|0|0|14667.51|14667.51|22221.04|0|21778.31|43999.35|14667.51|29331.84|0|0|29331.84|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|04/11/2000|04/14/2000|KIMH    |04/10/2000||05/09/2000|P|30|01/01/2000|04/04/2000||0|6772|0|49.57|6821.57|0|0|6821.57|0|0|6821.57|6821.57|14667.51|1900|1212.5|119|3231.5|0|3231.5|0|0|3231.5|17899.01|29331.84|0|6821.57|36153.41|3231.5|32921.91|0|0|32921.91|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|05/02/2000|06/27/2001|DAVIDH  |05/01/2000||05/09/2000|P|10|04/05/2000|04/24/2000||6821.57|1303.11|0|0|1303.11|0|0|1303.11|0|0|1303.11|8124.68|3231.5|8000|0|0|8000|0|8000|0|0|8000|11231.5|32921.91|0|1303.11|34225.02|8000|26225.02|0|0|26225.02|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|06/19/2000|07/14/2000|SERENAD |06/16/2000||05/09/2000|P|40|04/25/2000|06/13/2000||8124.68|4286|0|31.98|4317.98|0|0|4317.98|0|0|4317.98|12442.66|11231.5|0|4982.5|67.5|5050|500|4550|0|0|4550|15781.5|26225.02|0|4317.98|30543|4550|25993|0|0|25993|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|10/06/2000|02/09/2001|SERENAD |10/05/2000|5980072|11/07/2000|G|30|06/14/2000|10/03/2000||12442.66|792|0|57.49|849.49|0|0|849.49|0|0|849.49|13292.15|15781.5|11150|450|0|11600|0|11600|0|0|11600|27381.5|25993|0|849.49|26842.49|11600|15242.49|0|0|15242.49|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|10/30/2000|12/27/2000|KAREN   |10/27/2000|6000078|11/07/2000|G|10|10/04/2000|10/23/2000||13292.15|4484|0|0|4484|0|0|4484|0|0|4484|17776.15|27381.5|1200|3262.5|0|4462.5|4400|62.5|0|0|62.5|27444|15242.49|0|4484|19726.49|62.5|19663.99|0|0|19663.99|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|01/17/2001|01/31/2001|KAREN   |01/12/2001|0      |11/07/2000|G|70|10/24/2000|12/31/2000||17776.15|396|0|880.33|1276.33|0|0|1276.33|0|0|1276.33|19052.48|27444|0|200|0|200|400|-200|0|0|-200|27244|19663.99|0|1276.33|20940.32|-200|21140.32|0|0|21140.32|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|01/24/2002|08/13/2003|DAVIDH  |01/23/2002|6250138|01/01/2001|A||01/01/2001|12/31/2001||0|11284|0|1413.19|12697.19|0|0|12697.19|0|0|12697.19|12697.19|0|6950|6362|136.4|13448.4|0|13448.4|0|0|13448.4|13448.4|21140.32|0|12697.19|33837.51|13448.4|20389.11|0|-300|20689.11|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|04/10/2002|05/28/2003|JIMS    |04/09/2002|6370218|05/14/2002|P|30|01/01/2002|04/09/2002||0|45144.23|0|7.13|45151.36|0|0|45151.36|0|0|45151.36|45151.36|0|11350|4587.5|36|15973.5|100|15873.5|0|0|15873.5|15873.5|20689.11|0|45151.36|65840.47|15873.5|49966.97|0|0|49966.97|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|05/06/2002|05/30/2003|JIMS    |05/06/2002|6400108|05/14/2002|P|10|04/10/2002|04/29/2002||45151.36|4655|0|5.92|4660.92|0|0|4660.92|0|0|4660.92|49812.28|15873.5|236|2900|0|3136|0|3136|262.4|0|3398.4|19271.9|49966.97|0|4660.92|54627.89|3136|51491.89|0|0|51491.89|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|06/21/2002|06/24/2002|TERII   |06/20/2002|6410215|05/14/2002|P|40|04/30/2002|06/18/2002||49812.28|13703|0|34.03|13737.03|0|0|13737.03|0|0|13737.03|63549.31|19271.9|466.92|6312.5|77.9|6857.32|0|6857.32|0|0|6857.32|26129.22|51491.89|0|13737.03|65228.92|6857.32|58371.6|0|0|58371.6|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|10/07/2002|10/21/2002|JIMS    |10/04/2002|6450004|11/05/2002|G|30|06/19/2002|10/01/2002||63549.31|7535|0|52.99|7587.99|0|0|7587.99|0|0|7587.99|71137.3|26129.22|12100|3325|0|15425|0|15425|0|0|15425|41554.22|58371.6|0|7587.99|65959.59|15425|50534.59|0|0|50534.59|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|11/04/2002|11/15/2002|JIMS    |11/04/2002|6470021|11/05/2002|G|10|10/02/2002|10/21/2002||71137.3|0|0|0|0|0|0|0|0|0|0|71137.3|41554.22|0|0|0|0|0|0|0|0|0|41554.22|50534.59|0|0|50534.59|0|50534.59|0|0|50534.59|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|01/15/2003|05/06/2004|JIMS    |01/14/2003|6490202|11/05/2002|G|70|10/22/2002|12/31/2002||71137.3|0|0|0|0|0|0|0|0|0|0|71137.3|41554.22|400|0|0|400|1000|-600|0|0|-600|40954.22|50534.59|0|0|50534.59|-600|51134.59|0|0|51134.59|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|02/10/2004|07/22/2005|nadc05|01/27/2004|6670042|12/31/2003|A|AS|01/01/2003|12/31/2003||0|25466|0|1754.75|27220.75|0|0|27220.75|0|0|27220.75|27220.75|0|2300|15550|0|17850|0|17850|0|0|17850|17850|51134.59|0|27220.75|78355.34|17850|60505.34|0|22138.16|38367.18|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|04/09/2004|08/09/2005|nadc04|04/08/2004|6770183|05/11/2004|P|30|01/01/2004|04/06/2004||0|8659|0|35.94|8694.94|0|0|8694.94|0|0|8694.94|8694.94|0|2338.75|1532.5|595.65|4466.9|0|4466.9|0|0|4466.9|4466.9|38367.18|0|8694.94|47062.12|4466.9|42595.22|0|0|42595.22|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|04/28/2004|05/07/2004|CHERYLD |04/27/2004|6790067|05/11/2004|P|10|04/07/2004|04/26/2004||8694.94|0|0|139.01|139.01|0|0|139.01|0|0|139.01|8833.95|4466.9|1000|0|0|1000|0|1000|0|0|1000|5466.9|42595.22|0|139.01|42734.23|1000|41734.23|0|0|41734.23|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|06/18/2004|07/13/2004|DAVIDH  |06/17/2004|6810234|11/05/2004|P|40|04/27/2004|06/15/2004||8833.95|499|0|21.91|520.91|0|0|520.91|0|0|520.91|9354.86|5466.9|4300|150|0|4450|0|4450|0|0|4450|9916.9|41734.23|0|520.91|42255.14|4450|37805.14|0|129.44|37675.7|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|10/01/2004|12/01/2004|DAVIDH  |09/30/2004|6850017|11/02/2004|G|30|06/16/2004|09/28/2004||9354.86|10081.54|0|32.87|10114.41|0|198|9916.41|0|0|9916.41|19271.27|9916.9|6000|4125|310.92|10435.92|0|10435.92|0|0|10435.92|20352.82|37675.7|0|9916.41|47592.11|10435.92|37156.19|0|99|37057.19|
NE MEDICAL PAC|233 SOUTH 13TH STREET, #1200,|I|LINCOLN|NE|68508|99PAC00058|10/20/2004|10/25/2004|CORIEJ  |10/19/2004|6860106|11/02/2004|G|10|09/29/2004|10/18/2004||19271.27|99|0|10.77|109.77|0|0|109.77|0|0|109.77|19381.04|20352.82|750|450|0|1200|0|1200|0|0|1200|21552.82|37057.19|0|109.77|37166.96|1200|35966.96|0|0|35966.96|
