Committee Name|Committee Address|Committee Type|Committee City|Committee State|Committee Zip|Committee ID Number|Date Last Revised|Last Revised By|Date Received|Postmark Date|Microfilm Number|Election Date|Type of Filing|Nature of Filing|Additional Ballot Question|Report Start Date|Report End Date|Field 1|Field 2A|Field 2B|Field 2C|Field 3|Field 4A|Field 4B|Field 5|Field 6|Field 7A|Field 7B|Field 7C|Field 7D|Field 8A|Field 8B|Field 8C|Field 8D|Field 9|Field 10|Field 11|Field 12|Field 13|Field 14|Field 15|Field 16|Field 17|Field 18|Field 19|Field 20|Field 21|Field 22|Field 23|Field 23|Field 24|Field 25|Field 26|Field 27|Adjustment|Total Unitemized Bills|Total Unpaid Bills|Total All Bills
CURT BROMM LEGISLATIVE COMMITTEE|551 N. Linden, P.O. Box 277|C|WAHOO|NE|68066|99CAC00150|02/16/2007|nadc03|04/11/2000|04/10/2000||05/09/2000|P|30| |01/01/2000|04/04/2000|3950|0|1900|6175|0|0|8075|0|8075|0|1551.71|0|1551.71|0|0|0|0|9626.71|13576.71|0|0|4133.95|1319.34|1551.71|2871.05|7005|10808.19|0|8075|18883.19|1319.34|17563.85|0|17563.85|0|17563.85||0|0|667.69|1163
CURT BROMM LEGISLATIVE COMMITTEE|551 N. Linden, P.O. Box 277|C|WAHOO|NE|68066|99CAC00150|02/16/2007|nadc03|05/01/2000|04/28/2000||05/09/2000|P|10| |04/05/2000|04/25/2000|13526.71|0|0|2800|0|0|2800|0|2800|0|0|0|0|0|0|0|0|2800|16326.71|0|0|7005|64.56|0|64.56|7069.56|17564.06|0|2800|20364.06|64.56|20299.5|0|20299.5|0|20299.5|||||1164
CURT BROMM LEGISLATIVE COMMITTEE|551 N. Linden, P.O. Box 277|C|WAHOO|NE|68066|99CAC00150|02/16/2007|nadc03|06/19/2000|06/16/2000||05/09/2000|P|40| |04/25/2000|06/13/2000|16376.71|0|0|500|0|0|500|0|500|0|0|0|0|0|0|0|0|500|16876.71|0|0|7069.56|1088.53|0|1088.53|8158.09|20299.5|0|500|20799.5|1088.53|19710.97|0|19710.97|0|19710.97||0|0|729|1165
CURT BROMM LEGISLATIVE COMMITTEE|551 N. Linden, P.O. Box 277|C|WAHOO|NE|68066|99CAC00150|02/16/2007|nadc03|10/10/2000|10/07/2000|5980118|11/07/2000|G|30| |06/14/2000|10/03/2000|16876.71|0|0|5900|0|0|5900|0|5900|0|0|0|0|0|0|0|0|5900|22776.71|0|0|8158.09|3174.4|0|3174.4|11332.49|19710.97|0|5900|25610.97|3174.4|22436.57|0|22436.57|0|22436.57||0|0|2829.68|1166
CURT BROMM LEGISLATIVE COMMITTEE|551 N. Linden, P.O. Box 277|C|WAHOO|NE|68066|99CAC00150|02/16/2007|nadc03|11/01/2000|11/01/2000|5990215|11/07/2000|G|10| |10/04/2000|10/23/2000|24201.71|0|100|1325|0|0|1425|0|1425|0|0|0|0|0|0|0|0|1425|25626.71|0|0|17059.27|5726.78|0|5726.78|22786.05|22436.57|0|1425|23861.57|5726.78|18134.79|0|18134.79|0|18134.79||0|0|0|1167
CURT BROMM LEGISLATIVE COMMITTEE|551 N. Linden, P.O. Box 277|C|WAHOO|NE|68066|99CAC00150|02/16/2007|nadc03|01/16/2001|01/16/2001|0      |11/07/2000|G|70| |10/24/2000|12/31/2000|24201.71|0|891|3950|0|0|4841|0|4841|0|0|0|0|0|0|0|0|4841|29042.71|0|0|17059.27|6013.18|0|6013.18|23072.45|18134.79|0|4841|22975.79|6013.18|16962.61|0|16962.61|0|16962.61||0|0|0|1168
CURT BROMM LEGISLATIVE COMMITTEE|551 N. Linden, P.O. Box 277|C|WAHOO|NE|68066|99CAC00150|02/16/2007|nadc03|01/29/2002|10/28/2002|6260086|05/04/2004|A|  | |01/01/2001|12/31/2001|0|0|0|1800|0|0|1800|0|1800|0|0|0|0|0|0|0|0|1800|1800|0|0|0|6508.15|0|6508.15|6508.15|16962.61|0|1800|18762.61|6508.15|12254.46|0|12254.46|0|12254.46||0|0|0|1169
CURT BROMM LEGISLATIVE COMMITTEE|551 N. Linden, P.O. Box 277|C|WAHOO|NE|68066|99CAC00150|04/04/2011|nadc01|01/31/2003|01/30/2003|6500092|11/05/2004|A|  | |01/01/2002|12/31/2002|0|0|150|4166.21|0|0|4316.21|0|4316.21|0|0|0|0|0|0|0|0|4316.21|4316.21|0|0|0|5761.04|0|5761.04|5761.04|12254.46|0|4316.21|16570.67|5761.04|10809.63|541.38|11351.01|0|11351.01||0|0|0|1170
CURT BROMM LEGISLATIVE COMMITTEE|551 N. Linden, P.O. Box 277|C|WAHOO|NE|68066|99CAC00150|11/30/2010|nadc01|01/29/2004|01/28/2004|6660189|11/07/2000|A|  | |01/01/2003|12/31/2003|0|0|150|7900|0|0|8050|0|8050|0|0|0|0|0|0|0|0|8050|8050|0|0|0|5562.25|0|5562.25|5562.25|11351.01|0|8050|19401.01|5562.25|13838.76|0|13838.76|0|13838.76||0|0|0|1171
CURT BROMM LEGISLATIVE COMMITTEE|551 N. Linden, P.O. Box 277|C|WAHOO|NE|68066|99CAC00150|02/16/2007|nadc03|02/01/2005|01/31/2005|7010002|11/07/2000|A|  | |01/01/2004|12/31/2004|0|0|100|200|0|0|300|0|300|0|0|0|0|0|0|0|0|300|300|0|0|0|6910.95|0|6910.95|6910.95|13838.76|0|300|14138.76|6910.95|7227.81|0|7227.81|0|7227.81||0|0|0|1172
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|02/09/1998|02/06/1998|5220089|05/09/2000|A|  | |06/23/1997|12/31/1997|0|0|1000|0|0|0|1000|0|1000|0|0|0|0|0|0|0|0|1000|1000|0|0|0|1338|0|1338|1338|608|0|1000|1608|1338|270|0|270|0|270||0|0|0|1173
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|02/01/1999|02/01/1999|5580048|05/09/2000|A|  | |01/01/1998|01/01/1999|1000|0|700|0|2600|0|3300|700|2600|0|0|0|0|0|0|0|0|2600|3600|0|0|1338|2600|0|2600|3938|270|0|2600|2870|2600|270|0|270|0|270|||||1174
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|01/31/2000|01/31/2000|5800114|05/04/2001|A|  | |12/01/1999|01/31/2000|0|0|0|2700|0|0|2700|900|1800|0|0|0|0|0|0|0|0|1800|1800|0|0|700|0|0|0|700|270|0|1800|2070|0|2070|0|2070|0|2070||0|1000|1900|1175
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|02/01/2001|01/31/2001|6040119|05/09/2000|A|  | |01/01/2000|12/31/2000|0|0|0|2750|0|0|2750|1000|1750|0|0|0|0|0|0|0|0|1750|1750|0|0|0|3349|0|3349|3349|2070|0|1750|3820|3349|471|0|471|0|471||0|0|0|1176
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|03/06/2001|03/06/2001|6070093|04/03/2001|P|30| |01/01/2001|02/28/2001|0|0|2500|10400|0|0|12900|0|12900|0|0|0|0|0|0|0|0|12900|12900|0|0|0|3145.22|0|3145.22|3145.22|471|0|12900|13371|3145.22|10225.78|0|10225.78|0|10225.78||0|0|0|1177
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|03/27/2001|03/26/2001|6130042|04/03/2001|P|10| |02/28/2001|03/20/2001|12900|0|1970|1500|0|0|3470|0|3470|0|0|0|0|0|0|0|0|3470|16370|0|0|3145.22|1908|0|1908|5053.22|10225.78|0|3470|13695.78|1908|11787.78|0|11787.78|0|11787.78||0|0|0|1178
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|05/08/2001|05/07/2001|6170187|05/15/2001|G|10| |03/31/2001|05/05/2001|11787.56|0|4850|4800|0|0|9650|0|9650|0|0|0|0|0|0|0|0|9650|21437.56|0|0|5053.22|6766|0|6766|11819.22|11787.78|0|9650|21437.78|6766|14671.78|0|14671.78|0|14671.78||0|0|0|1179
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|06/26/2001|06/25/2001|6200058|05/15/2001|G|70| |05/01/2001|06/19/2001|26020|0|500|500|0|0|1000|0|1000|0|91.52|0|91.52|0|0|0|0|1091.52|27111.52|0|0|11819.22|1008|91.52|1099.52|12918.74|14671.78|0|1000|15671.78|1008|14663.78|0|14663.78|0|14663.78||0|0|0|1180
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|02/04/2002|02/01/2002|6270173|05/15/2005|A|  | |06/19/2001|01/31/2002|0|0|0|1000|0|0|1000|0|1000|0|0|0|0|0|0|0|0|1000|1000|0|0|0|1912|0|1912|1912|14663.78|0|1000|15663.78|1912|13751.78|0|13751.78|0|13751.78||0|0|0|1181
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|01/31/2003|01/30/2003|6500093|05/04/2004|A|  | |01/01/2002|12/31/2002|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2974|0|2974|2974|13751.78|0|0|13751.78|2974|10777.78|0|10777.78|0|10777.78||0|0|0|1182
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|02/02/2004|01/30/2004|6670141|01/01/2001|A|  | |01/01/2003|12/31/2003|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2884|0|2884|2884|10777.78|0|0|10777.78|2884|7893.78|0|7893.78|0|7893.78||0|0|0|1183
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|11/09/2010|nadc01|01/27/2005|01/26/2005|7000110|05/04/2006|A|  | |01/01/2004|12/31/2004|0|0|1950|0|0|0|1950|0|1950|0|453.78|0|453.78|0|0|0|0|2403.78|2403.78|0|0|0|2818|453.78|3271.78|3271.78|7893.78|0|1950|9843.78|2818|7025.78|0|7025.78|0|7025.78||0|0|0|1184
FRANK BROWN FOR CITY COUNCIL|PO BOX 11248; 2004 FLORENCE MILLS PLAZA   |C|OMAHA|NE|68111|99CAC00151|02/16/2007|nadc03|03/07/2005|03/07/2005|6950125|04/05/2005|P|30||01/01/2005|03/01/2005|0|0|2325|0|0|0|2325|0|2325|0|0|0|0|0|0|0|0|2325|2325|0|0|0|314|0|314|314|7025.78|0|2325|9350.78|314|9036.78|0|9036.78|0|9036.78|||||1185
BRUNING FOR LEGISLATURE|17501 Riviera Drive,|C|OMAHA|NE|68136|99CAC00152|02/16/2007|nadc03|01/20/1998|01/20/1998|5170090|05/04/2000|A||L|01/01/1997|12/31/1997|0|0|3615|30203|0|1953.68|35771.68|2000|33771.68|0|0|0|0|0|0|0|0|33771.68|33771.68|0|0|0|16824.52|0|16824.52|16824.52|1220.13|0|33771.68|34991.81|16824.52|18167.29|0|18167.29|0|18167.29||0|0|12217.65|1186
BRUNING FOR LEGISLATURE|17501 Riviera Drive,|C|OMAHA|NE|68136|99CAC00152|02/16/2007|nadc03|01/20/1999|01/20/1999|5560240|05/04/2000|A|  | |01/01/1998|12/31/1998|0|0|2780|10800|0|422.18|14002.18|0|14002.18|0|0|0|0|0|0|0|0|14002.18|14002.18|0|0|0|8778.7|0|8778.7|8778.7|22261.84|0|14002.18|36264.02|8778.7|27485.32|0|27485.32|0|27485.32|||||1187
BRUNING FOR LEGISLATURE|17501 Riviera Drive,|C|OMAHA|NE|68136|99CAC00152|02/16/2007|nadc03|01/19/2000|01/19/2000||05/04/2000|P|30| |01/01/1999|12/31/1999|0|0|15582|36500|0|788.01|52870.01|0|52870.01|0|0|0|0|0|0|0|0|52870.01|52870.01|0|0|0|13674.29|0|13674.29|13674.29|27485.28|0|52870.01|80355.29|13674.29|66681|0|66681|0|66681||0|0|0|1188
BRUNING FOR LEGISLATURE|17501 Riviera Drive,|C|OMAHA|NE|68136|99CAC00152|02/16/2007|nadc03|04/10/2000|04/10/2000||05/09/2000|P|30| |01/01/2000|04/04/2000|0|0|10445|0|0|0|10445|0|10445|0|0|0|0|0|0|0|0|10445|10445|0|0|0|4001.75|0|4001.75|4001.75|66681|0|10445|77126|4001.75|73124.25|0|73124.25|0|73124.25||0|0|948.88|1189
BRUNING FOR LEGISLATURE|17501 Riviera Drive,|C|OMAHA|NE|68136|99CAC00152|02/16/2007|nadc03|05/02/2000|05/01/2000||05/09/2000|P|10| |04/05/2000|04/24/2000|10445|0|250|0|0|0|250|0|250|0|0|0|0|0|0|0|0|250|10695|0|0|3962.1|1212.82|0|1212.82|5174.92|24432.88|0|250|24682.88|1212.82|23470.06|0|23470.06|46199.6|69669.66||0|0|578.44|1190
BRUNING FOR LEGISLATURE|17501 Riviera Drive,|C|OMAHA|NE|68136|99CAC00152|02/16/2007|nadc03|06/15/2000|06/14/2000||05/09/2000|P|40| |04/25/2000|06/13/2000|10695|0|50|0|0|0|50|0|50|0|0|0|0|0|0|0|0|50|10745|0|0|5174.92|4305.18|0|4305.18|9480.1|23470.06|0|50|23520.06|4305.18|19214.88|0|19214.88|46199.6|65414.48||0|0|2849.95|1191
BRUNING FOR LEGISLATURE|17501 Riviera Drive,|C|OMAHA|NE|68136|99CAC00152|02/16/2007|nadc03|10/11/2000|10/10/2000|5980119|11/07/2000|G|30| |06/14/2000|10/03/2000|63615.01|0|50|0|0|0|50|0|50|0|0|0|0|0|0|0|0|50|63665.01|0|0|23194.04|2883.19|0|2883.19|26077.23|19175.23|0|50|19225.23|2883.19|16342.04|0|16342.04|0|16342.04||0|0|1111.01|1192
BRUNING FOR LEGISLATURE|17501 Riviera Drive,|C|OMAHA|NE|68136|99CAC00152|02/16/2007|nadc03|10/26/2000|10/25/2000|5990105|11/07/2000|G|10| |10/04/2000|10/23/2000|63665.01|0|100|0|0|0|100|0|100|0|0|0|0|0|0|0|0|100|63765.01|0|0|26077.23|672.51|0|672.51|26749.74|16342.04|0|100|16442.04|672.51|15769.53|0|15769.53|45972.8|61742.33|||||1193
BRUNING FOR LEGISLATURE|17501 Riviera Drive,|C|OMAHA|NE|68136|99CAC00152|02/16/2007|nadc03|01/09/2001|01/09/2001|0      |11/07/2000|G|70| |10/24/2000|12/31/2000|63765.01|0|25|0|0|0|25|0|25|0|0|0|0|0|0|0|0|25|63790.01|0|0|26749.74|1666.32|0|1666.32|28416.06|15769.53|0|25|15794.53|1666.32|14128.21|0|14128.21|45199.8|59328.01||0|0|0|1194
BRUNING FOR LEGISLATURE|17501 Riviera Drive,|C|OMAHA|NE|68136|99CAC00152|02/16/2007|nadc03|06/12/2001|06/12/2001|6190202|05/14/2002|O|FS| |01/01/2001|06/11/2001|0|0|1100|20173|0|0|21273|0|21273|0|0|0|0|0|0|0|0|21273|21273|0|0|0|82392.99|0|82392.99|82392.99|14128.21|0|21273|35401.21|82392.99|-46991.78|46991.78|0|0|0||0|0|0|1195
MIKE CAVANAUGH FOR O.P.P.D.|1228 North 162nd Street,|C|OMAHA|NE|68118|99CAC00154|02/16/2007|nadc03|02/14/2000|02/11/2000|5820056|05/09/2000|A|  | |01/01/1999|12/31/1999|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|374.56|0|0|374.56|0|374.56|0|374.56|0|374.56|||||1196
MIKE CAVANAUGH FOR O.P.P.D.|1228 North 162nd Street,|C|OMAHA|NE|68118|99CAC00154|02/16/2007|nadc03|04/04/2000|04/03/2000|5900195|05/09/2000|P|30| |01/01/2000|04/04/2000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25|0|25|25|374.56|0|0|374.56|25|349.56|0|349.56|0|349.56|||||1197
MIKE CAVANAUGH FOR O.P.P.D.|1228 North 162nd Street,|C|OMAHA|NE|68118|99CAC00154|02/16/2007|nadc03|04/27/2000|04/26/2000|5920086|05/09/2000|P|10| |04/05/2000|04/24/2000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25|0|25|25|349.56|0|0|349.56|25|324.56|0|324.56|0|324.56|||||1198
MIKE CAVANAUGH FOR O.P.P.D.|1228 North 162nd Street,|C|OMAHA|NE|68118|99CAC00154|02/16/2007|nadc03|06/19/2000|06/19/2000|5950202|05/09/2000|P|40| |04/25/2000|06/13/2000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25|75|0|75|100|324.56|0|0|324.56|75|249.56|0|249.56|0|249.56|||||1199
MIKE CAVANAUGH FOR O.P.P.D.|1228 North 162nd Street,|C|OMAHA|NE|68118|99CAC00154|02/16/2007|nadc03|10/06/2000||5980040|11/07/2000|G|30| |06/14/2000|10/03/2000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|75|210|0|210|285|249.5|0|0|249.5|210|39.5|0|39.5|0|39.5|||||1200
MIKE CAVANAUGH FOR O.P.P.D.|1228 North 162nd Street,|C|OMAHA|NE|68118|99CAC00154|02/16/2007|nadc03|10/31/2000|10/30/2000|5990219|11/07/2000|G|10| |10/04/2000|10/23/2000|||||||||||||||||||||||||||||||||||||||||1201
MIKE CAVANAUGH FOR O.P.P.D.|1228 North 162nd Street,|C|OMAHA|NE|68118|99CAC00154|02/16/2007|nadc03|01/08/2001|01/03/2001|6020197|11/07/2000|G|70| |10/24/2000|12/31/2000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|335|0|0|0|335|39.56|0|0|39.56|0|39.56|0|39.56|0|39.56|||||1202
MIKE CAVANAUGH FOR O.P.P.D.|1228 North 162nd Street,|C|OMAHA|NE|68118|99CAC00154|02/16/2007|nadc03|01/22/2002|01/19/2002|6250085|01/01/2001|A|  | |01/01/2001|12/31/2001|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|39.56|0|0|39.56|0|39.56|0|39.56|0|39.56|||||1203
MIKE CAVANAUGH FOR O.P.P.D.|1228 North 162nd Street,|C|OMAHA|NE|68118|99CAC00154|02/16/2007|nadc03|01/17/2003|01/16/2003|6490071|05/04/2004|A|  | |01/01/2002|12/31/2002|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|39.56|0|0|39.56|0|39.56|0|39.56|0|39.56|||||1204
MIKE CAVANAUGH FOR O.P.P.D.|1228 North 162nd Street,|C|OMAHA|NE|68118|99CAC00154|02/16/2007|nadc03|01/13/2004|01/12/2004|6650163|11/05/2000|A|  | |01/01/2003|12/31/2003|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|39.56|0|0|39.56|0|39.56|0|39.56|0|39.56|||||1205
MIKE CAVANAUGH FOR O.P.P.D.|1228 North 162nd Street,|C|OMAHA|NE|68118|99CAC00154|02/16/2007|nadc03|08/19/2004|08/18/2004|6830209|01/01/1978|O|FS| |01/01/2004|08/15/2014|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|39.56|0|39.56|39.56|39.56|0|0|39.56|39.56|0|0|0|0|0|                                                  ||||1206
TOM CAVANAUGH FOR COUNTY CLERK|4708 SHIRLEY STREET|C|OMAHA|NE|68106|99CAC00155|02/16/2007|nadc03|01/27/1998|01/26/1998|5180193|05/11/2000|A|  | |01/01/1997|12/31/1997|0|0|1000|0|0|0|1000|0|1000|0|0|0|0|0|0|0|0|1000|1000|0|0|0|1245.19|0|1245.19|1245.19|245.19|0|1000|1245.19|1245.19|0|0|0|0|0||0|0|0|1207
TOM CAVANAUGH FOR COUNTY CLERK|4708 SHIRLEY STREET|C|OMAHA|NE|68106|99CAC00155|02/16/2007|nadc03|02/01/1999|02/01/1999|5580049|05/11/2000|A|  | |01/01/1998|12/31/1998|||||||||||||||||||||||||||||||||||||||||1208
TOM CAVANAUGH FOR COUNTY CLERK|4708 SHIRLEY STREET|C|OMAHA|NE|68106|99CAC00155|02/16/2007|nadc03|01/31/2000|01/28/2000|5800120|05/11/2000|A|  | |01/01/1999|12/31/1999|0|0|2738|1275|0|0|4013|0|4013|0|0|0|0|0|0|0|0|4013|4013|0|0|0|957.45|0|957.45|957.45|0|0|4013|4013|957.45|3055.55|0|3055.55|0|3055.55||0|0|700.36|1209
TOM CAVANAUGH FOR COUNTY CLERK|4708 SHIRLEY STREET|C|OMAHA|NE|68106|99CAC00155|02/16/2007|nadc03|01/30/2001|01/29/2001|6040123|05/11/2000|G|70| |01/01/2000|12/31/2000|0|0|300|0|0|0|300|0|300|0|0|0|0|0|0|0|0|300|300|0|0|0|2477.29|0|2477.29|2477.29|3055.55|0|300|3355.55|2477.29|878.26|0|878.26|0|878.26||0|0|0|1210
TOM CAVANAUGH FOR COUNTY CLERK|4708 SHIRLEY STREET|C|OMAHA|NE|68106|99CAC00155|02/16/2007|nadc03|01/11/2002|01/10/2002|6230179|05/11/2004|A|  | |01/01/2001|12/31/2001|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|530.2|0|530.2|530.2|878.26|0|0|878.26|530.2|348.06|0|348.06|0|348.06|||||1211
TOM CAVANAUGH FOR COUNTY CLERK|4708 SHIRLEY STREET|C|OMAHA|NE|68106|99CAC00155|02/16/2007|nadc03|01/30/2003|01/28/2003|6500097|05/11/2004|A|  | |01/01/2002|12/31/2002|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|348.06|0|348.06|348.06|348.06|0|0|348.06|348.06|0|0|0|0|0|||||1212
TOM CAVANAUGH FOR COUNTY CLERK|4708 SHIRLEY STREET|C|OMAHA|NE|68106|99CAC00155|02/16/2007|nadc03|01/16/2004|01/14/2004|6650165|05/11/2004|A|  | |01/01/2003|12/31/2003|0|0|2309|0|0|0|2309|0|2309|0|0|0|0|0|0|0|0|2309|2309|0|0|0|209.21|0|209.21|209.21|0|0|2309|2309|209.21|2099.79|0|2099.79|0|2099.79|||||1213
TOM CAVANAUGH FOR COUNTY CLERK|4708 SHIRLEY STREET|C|OMAHA|NE|68106|99CAC00155|02/16/2007|nadc03|04/14/2004|04/13/2004|6780056|05/11/2004|P|30| |01/01/2004|04/06/2004|0|0|0|750|0|0|750|0|750|0|0|0|0|0|0|0|0|750|750|0|0|0|2287.21|0|2287.21|2287.21|2099.79|0|750|2849.79|2287.21|562.58|0|562.58|0|562.58||0|0|0|1214
TOM CAVANAUGH FOR COUNTY CLERK|4708 SHIRLEY STREET|C|OMAHA|NE|68106|99CAC00155|02/16/2007|nadc03|05/03/2004|04/29/2004|6790128|05/11/2004|P|10| |04/07/2004|04/26/2004|750|0|633|200|0|0|833|0|833|0|0|0|0|0|0|0|0|833|1583|0|0|2287.21|764.97|0|764.97|3052.18|562.58|0|833|1395.58|764.97|630.61|0|630.61|0|630.61|||||1215
TOM CAVANAUGH FOR COUNTY CLERK|4708 SHIRLEY STREET|C|OMAHA|NE|68106|99CAC00155|02/16/2007|nadc03|06/23/2004|06/21/2004|6820025|05/11/2004|P|40||04/27/2004|06/15/2004|1583|0|1512|1975|0|0|3487|0|3487|0|0|0|0|0|0|0|0|3487|5070|0|0|3052.18|2082.07|0|2082.07|5134.25|630.61|0|3487|4117.61|2082.07|2035.54|0|2035.54|0|2035.54||0|0|0|1216
TOM CAVANAUGH FOR COUNTY CLERK|4708 SHIRLEY STREET|C|OMAHA|NE|68106|99CAC00155|02/16/2007|nadc03|10/04/2004|10/01/2004|6850060|11/02/2004|G|30| |06/16/2004|09/28/2004|5070|0|200|0|0|0|200|0|200|0|0|0|0|0|0|0|0|200|5270|0|0|5134.25|1728|0|1728|6862.25|2035.54|0|200|2235.54|1728|507.54|0|507.54|0|507.54|||||1217
PEOPLE FOR PREISTER|4522 BORMAN STREET|C|OMAHA|NE|68157-0000|99CAC00178|02/16/2007|nadc03|01/16/2001|01/16/2001|0      |11/07/2000|G|70| |10/24/2000|12/31/2000|42053.46|0|1170|-250|0|0|920|0|920|0|0|0|0|0|0|0|0|920|42973.46|0|0|25328.32|8106.38|0|8106.38|33434.7|19316.57|0|920|20236.57|8106.38|12130.19|0|12130.19|0|12130.19||0|0|0|1218
PEOPLE FOR PREISTER|4522 BORMAN STREET|C|OMAHA|NE|68157-0000|99CAC00178|02/16/2007|nadc03|01/30/2002|01/30/2002||05/04/2004|A|  | |01/01/2001|12/31/2001|0|0|1200|12455|0|0|13655|0|13655|0|0|483.45|483.45|0|0|0|0|14138.45|14138.45|0|0|0|19508.55|483.45|19992|19992|12130.19|0|13655|25785.19|19508.55|6276.64|0|6276.64|0|6276.64||0|0|0|1219
PEOPLE FOR PREISTER|4522 BORMAN STREET|C|OMAHA|NE|68157-0000|99CAC00178|02/16/2007|nadc03|01/30/2003|01/30/2003||05/04/2004|A|  | |01/01/2002|12/31/2002|0|0|875|22255|0|0|23130|0|23130|0|0|670|670|0|0|0|0|23800|23800|0|0|0|14365.04|670|15035.04|15035.04|6276.64|0|23130|29406.64|14365.04|15041.6|0|15041.6|0|15041.6||0|0|0|1220
PEOPLE FOR PREISTER|4522 BORMAN STREET|C|OMAHA|NE|68157-0000|99CAC00178|02/16/2007|nadc03|01/28/2004|01/28/2004|0      |05/11/2004|P|30||01/01/2003|12/31/2003|0|0|500|14077.67|0|0|14577.67|0|14577.67|0|0|651.26|651.26|0|0|0|0|15228.93|15228.93|0|0|0|9049.86|651.26|9701.12|9701.12|15041.6|0|14577.67|29619.27|9049.86|20569.41|0|20569.41|0|20569.41||0|0|0|1221
PEOPLE FOR PREISTER|4522 BORMAN STREET|C|OMAHA|NE|68157-0000|99CAC00178|02/16/2007|nadc03|04/13/2004|04/13/2004|6780089|05/11/2004|P|30| |01/01/2004|04/06/2004|15228.93|0|630.7|6250|0|0|6880.7|0|6880.7|0|0|651.81|651.81|0|0|0|0|7532.51|22761.44|0|0|9701.12|4771.93|651.81|5423.74|15124.86|20569.41|0|6880.7|27450.11|4771.93|22678.18|0|22678.18|0|22678.18||0|0|0|1222
PEOPLE FOR PREISTER|4522 BORMAN STREET|C|OMAHA|NE|68157-0000|99CAC00178|02/16/2007|nadc03|04/29/2004|04/28/2004|6790042|05/11/2004|P|10||04/07/2004|04/26/2004|22761.44|0|0|450|0|0|450|0|450|0|0|0|0|0|0|0|0|450|23211.44|0|0|15124.86|1329.48|0|1329.48|16454.34|22678.18|0|450|23128.18|1329.48|21798.7|0|21798.7|0|21798.7||0|0|0|1223
