Committee Name|Committee Address|Committee City|Committee State|Committee Zip|Committee ID|Date Received|Date Last Revised|Last Revised By|Postmark Date|Microfilm Number|Election Date|Type of Filing|Nature Of Filing|Report Start Date|Report End Date|Financial Activity
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|02/01/2010|03/17/2011|nadc06|02/01/2010||12/31/2009|A||06/13/2009|12/31/2009|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|04/14/2008|03/18/2009|nadc05|04/14/2008||05/13/2008|P|30|01/01/2008|04/08/2008|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|06/23/2008|10/07/2008|nadc01|06/23/2008|7790065|05/13/2008|P|40|04/29/2008|06/17/2008|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|10/06/2008|10/20/2008|nadc06|10/06/2008|7810225|11/04/2008|G|30|06/18/2008|09/30/2008|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|10/27/2008|11/04/2008|nadc01|10/27/2008|7830124|11/04/2008|G|10|10/01/2008|10/20/2008|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|01/11/2011|04/04/2011|nadc05|01/11/2011|8330139|11/02/2010|G||10/19/2010|12/31/2010|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|03/29/2005|04/20/2005|nadc05|03/28/2005|7010069|04/05/2005|P|10|01/01/2005|03/21/2005|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|04/26/2005|06/01/2005|nadc05||7030154|05/03/2005|G|10|03/22/2005|04/18/2005|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/14/2005|04/04/2011|nadc01|06/13/2005|7060103|05/03/2005|G|40|04/19/2005|06/07/2005|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/31/2006|08/27/2007|nadc05|01/31/2006||12/31/2005|A||06/08/2005|12/31/2005|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|04/10/2006|04/01/2011|nadc01|04/10/2006|7260237|05/09/2006|P|30|01/01/2006|04/04/2006|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|05/01/2006|06/06/2006|nadc05|05/01/2006|7290032|05/09/2006|P||04/05/2006|04/24/2006|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/19/2006|04/04/2011|nadc01|06/19/2006|7330010|05/09/2006|P|40|04/25/2006|06/13/2006|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/10/2006|01/29/2007|nadc05|10/06/2006|7370020|11/07/2006|G|30|06/14/2006|10/03/2006|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/30/2006|04/04/2011|nadc01|10/30/2006|7390039|11/07/2006|G|10|10/04/2006|10/23/2006|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/12/2007|08/27/2007|nadc05|01/12/2007|7420164|11/07/2006|G|70|10/24/2006|12/31/2006|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|03/26/2007|08/27/2007|nadc05|03/26/2007|7530115|04/03/2007|P|10|01/01/2007|03/19/2007|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|04/23/2007|04/01/2011|nadc01|04/23/2007|7560046|05/01/2007|G|10|03/20/2007|04/16/2007|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/11/2007|08/27/2007|nadc05|06/11/2007|7580086|05/01/2007|G|40|04/17/2007|06/05/2007|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/30/2008|02/29/2008|nadc05|01/29/2008|7640013|12/31/2007|A||06/06/2007|12/31/2007|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/14/1999|07/13/1999|SHELLYS   |06/14/1999|5730233|05/04/1999|G|70|04/20/1999|06/08/1999|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/31/2000|04/01/2011|nadc01|01/31/2000||11/03/2000|A||06/09/1999|12/31/1999|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|04/10/2000|04/05/2011|nadc01|04/10/2000||05/09/2000|P|30|01/01/2000|04/04/2000|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|05/01/2000|01/03/2001|SERENAD   |05/01/2000||05/09/2000|P|10|04/05/2000|04/24/2000|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/20/2000|07/30/2001|DAVIDH    |06/19/2000||05/09/2000|P|40|04/25/2000|06/13/2000|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/12/2000|07/30/2001|DAVIDH    |10/11/2000|5980202|11/07/2000|G|30|06/14/2000|10/03/2000|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/30/2000|07/30/2001|DAVIDH    |10/30/2000|6000046|10/11/2000|G|10|10/03/2000|10/23/2000|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/16/2001|07/30/2001|DAVIDH    |01/16/2001|6030174|11/07/2000|G|70|10/24/2000|12/31/2000|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|03/26/2001|04/04/2011|nadc01|03/26/2001||04/03/2001|P|10|01/01/2001|03/19/2001|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|05/08/2001|11/14/2001|TERII     |05/08/2001|6170212|05/15/2001|G|10|03/20/2001|04/30/2001|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/13/2001|07/30/2002|DAVIDH    |06/11/2001|6190219|05/08/2001|G|70|04/27/2001|06/05/2001|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/26/2001|07/31/2001|TERII     |06/25/2001||05/15/2001|G|70|05/01/2001|06/19/2001|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/29/2002|07/10/2002|DAVIDH    |01/29/2002|6260205|01/01/2001|A||06/20/2001|12/31/2001|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|04/15/2002|04/05/2011|nadc01|04/15/2002|6380172|05/14/2002|P|30|01/01/2002|04/09/2002|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|05/06/2002|05/23/2002|DAVIDH    |05/06/2002|6400084|05/14/2002|P|10|04/10/2002|04/29/2002|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/21/2002|12/12/2002|DAVIDH    |06/21/2002|6410193|05/14/2002|P|40|04/30/2002|06/18/2002|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/07/2002|07/06/2004|DAVIDH    |10/07/2002|6440226|11/05/2002|G|30|06/19/2002|10/01/2002|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/28/2002|01/14/2003|SERENAD   |10/28/2002||11/05/2002|G|10|10/01/2002|10/21/2002|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/14/2003|03/04/2003|DAVIDH    |01/14/2003||11/05/2002|G|70|10/22/2002|12/31/2002|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|03/10/2003|09/15/2004|DAVIDH    |03/10/2000||04/08/2003|P|30|01/01/2003|03/04/2003|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|03/31/2003|04/04/2011|nadc01|03/31/2003||04/08/2003|P|10|03/05/2003|03/24/2003|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|04/28/2003|05/11/2004|DAVIDH    |04/28/2003||05/06/2003|G|10|03/25/2003|04/21/2003|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/17/2003|04/01/2011|nadc01|06/16/2003||05/08/2003|G|70|04/22/2003|06/10/2003|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/30/2004|07/06/2004|DAVIDH    |01/29/2004|6670021|01/01/2001|A||06/11/2003|12/13/2003|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|04/13/2004|04/04/2011|nadc01|04/12/2004|6780106|05/11/2004|P|30|01/01/2004|04/06/2004|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|05/04/2004|05/11/2004|CHERYLD   |05/03/2004|6790197|05/11/2004|P|10|04/07/2004|04/26/2004|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/22/2004|01/07/2005|DAVIDH    |06/21/2004|6820073|11/05/2004|P|10|04/27/2004|06/15/2004|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/05/2004|04/04/2011|nadc01|10/04/2004|6850124|11/02/2004|G|30|06/16/2004|09/28/2004|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/26/2004|11/01/2004|CORIEJ    |10/25/2004|6860231|11/02/2004|G|10|09/29/2004|10/18/2004|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/11/2005|09/13/2005|nadc05|01/10/2005|6900089|11/02/2004|G|70|10/19/2004|12/31/2004|0
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/25/2010|04/01/2011|nadc05|10/25/2010|8300049|11/02/2010|G|10|09/29/2010|10/18/2010|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/10/2011|04/01/2011|nadc05|01/10/2011|8330141|11/02/2010|G|70|10/19/2010|12/31/2010|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/04/2010|10/12/2010|nadc06|10/04/2010|8280119|11/02/2010|G|30|06/16/2010|09/28/2010|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|04/25/2011|05/19/2011|nadc05|04/25/2011|8460214|05/03/2011|G|10|01/01/2011|04/18/2011|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/13/2011|06/20/2011|nadc01|06/13/2011|8480036|05/03/2011|G|70|04/19/2011|06/07/2011|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/30/2011|01/31/2012|nadc01|01/30/2012||05/12/2012|A||06/08/2011|12/31/2011|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|05/03/2010|03/17/2011|nadc06|05/03/2010||05/11/2010|P|10|01/01/2010|04/26/2010|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/21/2010|04/01/2011|nadc05|06/21/2010|8250196|05/11/2010|P|40|04/27/2010|06/15/2010|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|05/05/2008|05/09/2011|nadc05|05/05/2008|7760172|05/13/2008|P|10|04/09/2008|04/28/2008|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|04/14/2008|05/07/2008|nadc05|04/14/2008|7740249|05/13/2008|P|30|01/01/2008|04/08/2008|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|06/23/2008|06/30/2008|nadc06|06/23/2008|7790066|05/13/2008|P|40|04/29/2008|06/17/2008|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/06/2008|01/14/2009|nadc01|10/06/2008|7810226|11/04/2008|G|30|06/18/2008|09/30/2008|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|10/27/2008|01/14/2009|nadc05|10/27/2008|7830125|11/04/2008|G|10|10/01/2008|10/20/2008|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/28/2010|11/29/2010|nadc05|01/27/2010|8090014|01/01/2009|A||01/01/2009|12/31/2009|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/13/2009|03/10/2010|nadc05|01/13/2009|0|11/04/2008|G|70|10/21/2008|12/31/2008|
NE REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00002|01/30/2012|02/27/2012|nadc05|01/30/2012|8530195|05/15/2012|A||06/08/2011|12/31/2011|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|01/20/2000|11/17/2010|nadc01|01/20/2000||11/03/1998|A||01/01/1999|12/31/1999|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|01/12/2001|08/13/2001|DAVIDH    |01/11/2001|6020227|11/07/2000|G|70|01/01/2000|12/31/2000|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/08/2001|11/17/2010|nadc01|06/07/2001|0      |05/01/2001|G|70|04/17/2001|06/05/2001|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|10/08/2002|02/18/2003|JIMS      |10/07/2002|6440224|11/05/2002|G|30|01/01/2002|10/01/2002|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|10/28/2002|01/21/2004|SERENAD   |10/28/2002|6460129|11/05/2002|G|70|01/01/2002|10/21/2002|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|01/30/2003|06/05/2003|JIMS      |01/30/2003|6500170|11/05/2002|G|70|10/22/2002|12/31/2002|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|03/11/2003|08/08/2003|DAVIDH    |03/10/2003|6540130|04/08/2003|P|30|01/01/2003|04/08/2003|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|03/31/2003|04/14/2003|JIMS      |03/31/2003|6600105|04/08/2003|P|10|01/01/2003|03/24/2003|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|04/28/2003|05/08/2003|JIMS      |04/28/2003|6610095|05/06/2003|G|10|01/01/2003|04/21/2003|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/16/2003|06/16/2003|SERENAD   |06/16/2003||05/08/2003|G|70|01/01/2003|06/10/2003|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|10/04/2004|04/04/2011|nadc01|10/04/2004|6850122|11/02/2004|G|30|01/01/2004|09/28/2004|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|10/25/2004|01/26/2005|JIMS      |10/25/2004|6860229|11/02/2004|G|10|09/29/2004|10/18/2004|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|01/11/2005|01/26/2005|JIMS      |01/11/2005|6900085|05/06/2006|G|70|10/20/2004|12/31/2004|0
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/21/2005|06/27/2005|nadc01|06/21/2005|7060173|04/05/2005|P|10|03/02/2005|03/21/2005|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/22/2005|01/24/2006|nadc06|06/21/2005|7060174|04/05/2005|G|30|03/22/2005|04/18/2005|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/23/2005|04/04/2011|nadc01|06/21/2005|7060175|04/05/2005|G|70|04/19/2005|06/07/2005|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|01/24/2006|02/03/2006|nadc06|01/23/2006||05/09/2006|A||06/08/2005|12/31/2005|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/20/2005|01/24/2006|nadc06|06/21/2005|7060172|04/05/2005|P|10|01/01/2005|03/01/2005|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|04/11/2006|01/19/2007|nadc02|04/10/2006|7260234|05/09/2006|P||01/01/2006|04/04/2006|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|05/01/2006|01/19/2007|nadc02|04/27/2006|7290029|05/09/2006|P|10|04/05/2006|04/24/2006|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/20/2006|01/19/2007|nadc02|06/19/2006|7330004|05/09/2006|P|40|04/25/2006|06/13/2006|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|10/10/2006|01/19/2007|nadc02|10/06/2006||11/07/2006|G|30|06/14/2006|10/03/2006|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|10/30/2006|01/19/2007|nadc02|10/27/2006||11/07/2006|G|10|10/04/2006|10/23/2006|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|01/17/2007|01/19/2007|nadc02|01/17/2006||11/07/2006|G|70|10/24/2006|12/31/2006|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|03/06/2007|06/29/2010|nadc01|03/05/2007|7490008|04/03/2007|P|30|01/01/2007|02/27/2007|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|03/27/2007|04/10/2007|nadc05|03/26/2007|7530113|04/03/2007|P|10|02/28/2007|03/19/2007|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|04/23/2007|05/07/2007|nadc05|04/21/2007|7560044|05/01/2007|G|10|03/20/2007|04/16/2007|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/12/2007|07/05/2007|nadc05|06/11/2007|7580083|05/01/2007|G|70|04/17/2007|06/05/2007|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|01/28/2008|02/28/2008|nadc05|01/25/2008|7640012|12/31/2007|A||06/06/2007|12/31/2007|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|03/23/2011|03/23/2011|nadc06|03/22/2011||04/05/2011|P|10|03/02/2011|03/21/2011|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/14/2011|07/07/2011|nadc05|06/13/2011|8480033|05/03/2011|G|70|04/19/2011|06/07/2011|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|10/25/2010|11/04/2010|nadc06|10/23/2010|8300046|11/02/2010|G|10|09/29/2010|10/18/2010|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|01/11/2011|01/27/2011|nadc06|01/10/2011|8330138|11/02/2010|G|70|10/19/2010|12/31/2010|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|10/05/2010|03/30/2011|nadc05|10/04/2010|8280116|11/02/2010|G|30|06/16/2010|09/28/2010|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|01/12/2012|01/24/2012|nadc05|01/11/2012|8510093|12/31/2011|A||06/08/2011|12/31/2011|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|04/25/2011|05/02/2011|nadc01|04/22/2011|8460210|05/03/2011|G|10|03/22/2011|04/18/2011|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|03/16/2011|07/07/2011|nadc05|03/16/2011|8400214|04/05/2011|P|30|01/01/2011|03/01/2011|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|01/14/2009|03/19/2009|nadc06|01/13/2009|7870023|11/04/2008|G|70|01/01/2008|12/31/2008|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|03/31/2009|01/20/2010|nadc06|03/30/2009|7980085|04/07/2009|P|10|03/04/2009|03/23/2009|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|04/12/2010|03/30/2011|nadc05|04/09/2010|8210037|05/11/2010|P|30|01/01/2010|04/06/2010|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|05/04/2010|03/30/2011|nadc05|05/03/2010|8230071|05/11/2010|P|10|04/07/2010|04/26/2010|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/22/2010|11/30/2010|nadc05|06/21/2010|8250192|05/11/2010|P|40|04/27/2010|06/15/2010|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|05/05/2008|05/15/2008|nadc05|05/03/2008||05/13/2008|P|10|04/09/2008|04/28/2008|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/16/2009|01/20/2010|nadc06|06/15/2009|8020114|05/05/2009|G|70|04/21/2009|06/09/2009|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|04/14/2008|05/15/2008|nadc05|04/14/2008|7740247|05/13/2008|P|30|01/01/2008|04/08/2008|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|03/10/2009|01/20/2010|nadc06|03/09/2009|7930024|04/07/2009|P|30|01/01/2009|03/03/2009|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|06/23/2008|07/18/2008|nadc05|06/20/2008|7790062|05/13/2008|P|40|04/29/2008|06/17/2008|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|10/06/2008|10/27/2008|nadc01|10/04/2008|7810222|11/04/2008|G|30|06/18/2008|09/30/2008|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|10/27/2008|12/08/2008|nadc05|10/24/2008|7830122|11/04/2008|G|10|10/01/2008|10/20/2008|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|04/28/2009|01/21/2010|nadc06|04/27/2009|8000034|05/05/2009|G|10|03/24/2009|04/20/2009|
LANCASTER COUNTY DEMOCRATS|P O BOX 83213|Lincoln|NE|68501|99PPC00055|01/20/2010|01/28/2010|nadc05|01/19/2010|8070223|05/05/2009|A||06/10/2009|12/31/2009|
WASHINGTON COUNTY REPUBLICAN PARTY|1219 SOUTH ST|BLAIR|NE|68008|99PPC00051|02/02/2000|02/04/2000|KIMH      |02/01/2000||11/07/1999|A||01/01/1999|12/31/1999|1
WASHINGTON COUNTY REPUBLICAN PARTY|1219 SOUTH ST|BLAIR|NE|68008|99PPC00051|04/17/2000|04/19/2000|KIMH      |04/14/2000||05/09/2000|P|30|01/01/2000|04/04/2000|1
WASHINGTON COUNTY DEMOCRATIC PARTY|1031 N. 28th Street,|BLAIR|NE|68008|99PPC00047|01/04/2000|01/10/2000|KIMH      |01/03/2000|5770217|05/04/2000|A||01/01/1999|12/31/1999|0
DODGE COUNTY REPUBLICAN CENTRAL COMMITTEE|2003 NORTH D ST|FREMONT|NE|68025|99PPC00022|01/30/2004|04/27/2005|nadc06|01/28/2004|6670022|11/05/2002|O|FS|01/01/2003|12/31/2003|1
DODGE COUNTY REPUBLICAN CENTRAL COMMITTEE|2003 NORTH D ST|FREMONT|NE|68025|99PPC00022|03/22/2000|02/19/2003|JIMS      |03/21/2000|5880030|05/09/2000|A||01/01/1999|12/31/1999|1
DODGE COUNTY REPUBLICAN CENTRAL COMMITTEE|2003 NORTH D ST|FREMONT|NE|68025|99PPC00022|01/13/2003|02/19/2003|JIMS      |01/13/2003|6490162|01/01/2001|A||01/01/2002|12/31/2002|0
DODGE COUNTY REPUBLICAN CENTRAL COMMITTEE|2003 NORTH D ST|FREMONT|NE|68025|99PPC00022|01/14/2003|02/19/2003|JIMS      |01/14/2003|6490161|01/01/2001|A||01/01/2001|12/31/2001|0
DODGE COUNTY REPUBLICAN CENTRAL COMMITTEE|2003 NORTH D ST|FREMONT|NE|68025|99PPC00022|01/15/2003|02/19/2003|JIMS      |01/14/2003|6490160|01/01/2001|A||01/01/2000|12/31/2000|0
DODGE COUNTY DEMOCRATIC PARTY|920 West 6th Street,|FREMONT|NE|68025|99PPC00021|01/20/2000|08/05/2010|nadc05|01/19/2000||11/03/1998|O|FS|01/01/1999|12/31/1999|0
CASS COUNTY DEMOCRATS|9103 Hwy #66,|LOUISVILLE |NE|68037|99PPC00010|01/10/2000|01/10/2000|KIMH      |01/07/2000||05/09/2000|A||01/01/1999|12/31/1999|0
CASS COUNTY DEMOCRATS|9103 Hwy #66,|LOUISVILLE |NE|68037|99PPC00010|04/11/2000|04/14/2000|KIMH      |04/10/2000||05/09/2000|P|30|01/01/2000|04/04/2000|1
CASS COUNTY DEMOCRATS|9103 Hwy #66,|LOUISVILLE |NE|68037|99PPC00010|04/27/2000|04/27/2000|KIMH      |04/26/2000||05/09/2000|P|30|04/08/2000|04/24/2000|1
CASS COUNTY DEMOCRATS|9103 Hwy #66,|LOUISVILLE |NE|68037|99PPC00010|05/18/2000|02/13/2001|KAREN     |05/17/2000|5940155|05/09/2000|P|40|04/30/2000|06/19/2000|0
CASS COUNTY DEMOCRATS|9103 Hwy #66,|LOUISVILLE |NE|68037|99PPC00010|10/10/2000|10/20/2000|KAREN     |10/06/2000|5980197|11/07/2000|G|30|06/19/2000|10/02/2000|0
CASS COUNTY DEMOCRATS|9103 Hwy #66,|LOUISVILLE |NE|68037|99PPC00010|10/25/2000|12/27/2000|KAREN     |10/25/2000|5990128|11/07/2000|G|10|10/03/2000|10/23/2000|0
CASS COUNTY DEMOCRATS|9103 Hwy #66,|LOUISVILLE |NE|68037|99PPC00010|01/10/2001|02/13/2001|KAREN     |01/10/2001|6020226|11/07/2000|G|70|10/22/2000|12/31/2000|1
CASS COUNTY DEMOCRATS|9103 Hwy #66,|LOUISVILLE |NE|68037|99PPC00010|02/12/2002|02/19/2002|TERII     |02/11/2002|6280170|01/01/2001|A||01/01/2001|01/01/2002|0
BURT COUNTY DEMOCRATIC CENTRAL COMMITTEE|2051 COUNTY ROAD N|OAKLAND|NE|68045|99PPC00009|01/12/2006|01/12/2006|nadc06|01/11/2006||12/31/2005|A||01/01/2005|01/01/2006|
