Committee Name|Committee ID|Date Received|Transaction Date|Amount|Nature of Transaction|Description|Expense Category
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/17/1999|03/23/1999|25|P|IA ETHICS & CAMPAIGN-PENALTY FEE ON VSR |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/17/1999|04/19/1999|40|P|STATE OF NE -(LATE FEES ON ACCT. & DISCL|025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/27/2000|12/23/1999|60|P|NE STATE AFL-CIO                        |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/10/2000|07/12/2000|50|P|STATE OF IA -- PENALTY                  |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/10/2000|09/12/2000|194|P|NE DEPT. OF REVENUE                     |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/10/2000|09/18/2000|150|P|TED MCELDERRY CPA                       |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/31/2000|10/16/2000|500|C|DAN LYNCH                               |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/16/2001|11/20/2000|9.18|P|US TREASURY PENALTY & INTEREST          |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/16/2001|11/30/2000|32|A|WIRE TRANSFER FEES FROM GREAT WESTERN BA|025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/16/2001|12/30/2000|32|A|WIRE TRANSFER FEES FROM GREAT WESTERN BA|025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/07/2001|01/29/2001|40|A|WIRE TRANSFER FEES FROM GREAT WESTERN BA|025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/07/2001|02/26/2001|32|A|WIRE TRANSFER FEES FROM GREAT WESTERN BA|025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/07/2001|03/26/2001|24|A|WIRE TRANSFER FEE                       |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/07/2001|03/27/2001|46.75|A|CHECK CHARGES                           |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/07/2001|04/30/2001|32|A|WIRE TRANSFER FUND                      |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/26/2001|05/21/2001|24|A|WIRE TRANSFER FEES                      |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2002|03/31/2002|296|A|WIRE TRANSFER FEES                      |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2002|08/30/2001|250|P|TED MCELDERRY CPA - AUDIT               |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2002|09/06/2001|1546|P|1120 POL                                |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/11/2001|12/11/2000|272.7|P|PAYMENT TO NAT'L ORG FOR RECEIPTS COLLEC|025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|01/11/2001|447.7|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|02/07/2001|291.45|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|05/18/2001|393.95|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|06/13/2001|268.95|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|07/21/2001|393.78|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|08/20/2001|1076.28|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|09/12/2001|895.15|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|10/10/2001|405.4|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|11/13/2001|525.15|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|12/12/2001|380.15|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|12/31/2001|788.9|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|03/25/2001|272.7|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/31/2002|04/17/2001|372.7|P|AOA PAC                                 |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|04/16/2002|02/20/2002|311.86|P|AMOUNTS COLLECTED ON BEHALF OF AOA PAC  |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|04/16/2002|03/11/2002|279.37|P|AMOUNTS COLLECTED ON BEHALF OF AOA PAC  |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|05/07/2002|04/10/2002|379.37|P|RECEIPTS COLLECTED ON BEHALF OF NATL ORG|025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|06/25/2002|05/07/2002|280.62|P|RECEIPTS COLLECT ON BEHALF OF NATL ORG  |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|06/25/2002|06/18/2002|323.12|P|RECEIPTS COLLECTED ON BEHALF OF NATL ORG|025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|10/04/2002|09/13/2002|2858.53|P|RECEIPTS COLLECTED ON BEHALF NAT'L ORG  |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|10/24/2002|10/21/2002|.54|A|CHECK WENT THRU FOR HIGHER AMOUNT       |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|10/24/2002|10/11/2002|415.83|P|PAID TO NATL ORG. RECIEPTS COLLECTED    |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/13/2003|10/31/2002|402.08|P|PAYMENTS COLLECTED ON BEHALF OF NATL ORG|025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/13/2003|11/30/2002|354.58|P|PAYMENTS COLLECETD ON BEHALF OF NATL ORG|025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/13/2003|12/31/2002|370.83|P|PAYMENTS COLLECTED ON BEHALF OF NATL ORG|025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/30/2004|12/31/2003|6506.19|P|PAYMENTS COLLECTED ON BEHALF OF NATIONAL|025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|04/12/2004|02/06/2004|371.66|A|CONTRIBUTIONS COLLECTED ON BEHALF OF NAT|025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|04/12/2004|03/31/2004|395.41|A|CONTRIBUTIONS COLLECTED ON BEHALF OF NAT|025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|05/03/2004|04/12/2004|280.41|A|CONTRIB. BEHALF OF NAT'L                |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|10/05/2004|07/17/2004|270.41|P|CONTRIBS RECEIVED ON BEHALF OF NATL ORG |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|10/05/2004|09/13/2004|550.82|P|CONTRIBS RECEIVED ON BEHALF OF NATL ORG |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|10/25/2004|10/13/2004|2522.91|A|RECEIPTS COLLECT ON BEHALF OF NAT'L ORG.|025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/11/2005|11/10/2004|500.41|A|NAT'L CONTRIBS RECEIVED AND TRANSFERRED |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/11/2005|12/15/2004|322.91|A|NAT'L CONTRIBS RECEIVED AND TRANSFERRED |025
NE OPTOMETRIC ASSOCIATION PAC|99PAC00061|01/11/2005|12/31/2004|250|C|CORNETT DISBURSEMENT RETURNED           |025
NE PETROLEUM PAC|99PAC00062|02/18/2000|03/10/1999|26|A|98 NEBRASKA TAX                         |025
NE PETROLEUM PAC|99PAC00062|02/18/2000|03/10/1999|161|A|98 FEDERAL TAX                          |025
NE PETROLEUM PAC|99PAC00062|02/18/2000|07/27/1999|54.5|A|UNION BANK                              |025
NE PETROLEUM PAC|99PAC00062|04/10/2000|03/15/2000|105|A|FEDERAL TAX                             |025
NE PETROLEUM PAC|99PAC00062|04/10/2000|03/15/2000|0|A|STATE TAX                               |025
NE PETROLEUM PAC|99PAC00062|04/10/2000|02/17/2000|1|A|BANK STATEMENT FEE                      |025
NE PETROLEUM PAC|99PAC00062|10/04/2002|07/01/2002|223.27|I|OFFICE RENT JOHN GALE                   |025
NE PETROLEUM PAC|99PAC00062|10/04/2002|08/01/2002|223.27|I|OFFICE RENT JOHN GALE                   |025
NE PETROLEUM PAC|99PAC00062|10/04/2002|09/01/2002|223.27|I|OFFICE RENT JOHN GALE                   |025
NE PETROLEUM PAC|99PAC00062|10/04/2002|10/01/2002|100|A|DISALLOWED LOBBYIST EXPENSE TO BE REIMBU|025
NE PETROLEUM PAC|99PAC00062|02/03/2003|11/01/2002|223.27|I|OFFICE RENT - JOHN GALE                 |025
NE PETROLEUM PAC|99PAC00062|02/03/2003|12/01/2002|223.27|I|OFFICE RENT - JOHN GALE                 |025
NE PETROLEUM PAC|99PAC00062|02/03/2003|12/31/2002|100|A|REIMBURSEMENT OF LOBBYIST LATE FEE      |025
NE PODIATRY PAC|99PAC00063|01/10/2001|10/26/2000|300|C|REFUND OF CONTRIB SEN MARK QUANDAHL     |025
NE PODIATRY PAC|99PAC00063|01/10/2001|10/23/2000|200|C|REFUND OF CONTRIB SEN DON PREISTER      |025
NE PODIATRY PAC|99PAC00063|01/10/2001|10/31/2000|250|C|REFUND OF CONTRIB SEN GERALD MATZKE     |025
NE PODIATRY PAC|99PAC00063|01/10/2001|10/31/2000|200|C|REFUND OF CONTRIB SEN JOHN HILGERT      |025
NE PODIATRY PAC|99PAC00063|01/10/2001|10/30/2000|300|C|REFUND OF CONTRIB SEN DWITE PEDERSEN    |025
NE PODIATRY PAC|99PAC00063|01/10/2001|10/24/2000|400|C|REFUND OF CONTRIB SEN PAUL HARTNETT     |025
NE PODIATRY PAC|99PAC00063|10/04/2002|09/02/2002|300|R|DEB SUTTLE                              |025
NE PODIATRY PAC|99PAC00063|10/23/2002|10/02/2002|200|C|CONNEALY FOR LEGISLATURE                |025
NE PODIATRY PAC|99PAC00063|10/23/2002|10/16/2002|200|C|JOEL JOHNSON FOR LEGISLATURE            |025
NE REALTORS PAC|99PAC00064|03/29/1999|03/03/1999|215|P|FEDERAL INCOME TAX                      |025
NE REALTORS PAC|99PAC00064|03/29/1999|03/03/1999|34|P|STATE INCOME TAX                        |025
NE REALTORS PAC|99PAC00064|01/07/2000|12/31/1999|628.11|A|RECONCILE ACTUAL CASH ON HAND           |025
NE REALTORS PAC|99PAC00064|11/01/2000|10/15/2000|500|C|DOUG KRISTENSEN RETURNED CHECK          |025
NE REALTORS PAC|99PAC00064|11/01/2000|10/15/2000|500|C|DAN LYNCH RETURNED CHECK                |025
NE REALTORS PAC|99PAC00064|01/16/2001|10/15/2000|500|R|DAN LYNCH AUGUST CONTRIB RETURNED       |025
NE REALTORS PAC|99PAC00064|01/16/2001|10/15/2000|500|R|DOUG KRISTENSEN AUG CONTRIB RETURNED    |025
NE REALTORS PAC|99PAC00064|03/07/2001|02/08/2001|5000|U|MIKE JOHANNS FOR GOVERNOR               |025
NE REALTORS PAC|99PAC00064|03/07/2001|02/08/2001|2500|U|JOHN GALE FOR SECRETARY OF STATE        |025
NE REALTORS PAC|99PAC00064|04/30/2002|12/31/2001|135.33|A|PARTIAL MONTH ADJUSTMENT TO BALANCE ACCT|025
NE REALTORS PAC|99PAC00064|06/25/2002|05/03/2002|250|R|DUPLICATE ROSEMARY HORNER CONTRIB RETURN|025
NE REALTORS PAC|99PAC00064|10/29/2002|10/09/2002|400|C|CONNEALY FOR LEGISLATURE - RETURNED     |025
NE REALTORS PAC|99PAC00064|04/28/2003|04/01/2003|10|P|STATE TAX LIABILITY                     |025
NE REALTORS PAC|99PAC00064|04/28/2003|04/01/2003|65|P|FEDERAL TAX LIABILITY                   |025
NE REPUBLICANS FOR CHOICE, INC.|99PAC00065|08/13/2003|08/11/2003|1291.42|A|DONATED-PLANNED PARENTHD VOTERS FOR CHOI|025
NE RESTAURANT ASSOCIATION PAC|99PAC00066|01/18/2000|01/15/1999|55.98|A|COST TO PURCHASE CHECKBOOK & CHECKS     |025
NE RESTAURANT ASSOCIATION PAC|99PAC00066|10/25/2000|10/20/2000|100|C|SEN SCHIMEK RPTD $100 CK NEVER RCVD, CK |025
NE RESTAURANT ASSOCIATION PAC|99PAC00066|10/23/2002|10/14/2002|250|C|CUNNINGHAM FOR LEGISLATURE              |025
NE RIGHT TO LIFE PAC|99PAC00067|06/26/1998|05/10/1998|2760|P|PRINTER FOR LIT DROP                    |025
NE RIGHT TO LIFE PAC|99PAC00067|10/16/1998|05/10/1998|2760|P|PRINTING                                |025
NE RIGHT TO LIFE PAC|99PAC00067|04/12/2000|04/12/2000|1500|F|NEBRASKA RIGHT TO LIFE INC.    REPAID   |025
NE RIGHT TO LIFE PAC|99PAC00067|04/12/2000|04/12/2000|2260|F|OUTSTANDING LOANS                       |025
NE RIGHT TO LIFE PAC|99PAC00067|05/01/2000|05/01/2000|2260|F|OUTSTANDING LOAN                        |025
NE RIGHT TO LIFE PAC|99PAC00067|06/21/2000|05/01/2000|841.27|F|FROM NE RIGHT TO LIFE TO COVER OVERDRAFT|025
NE RIGHT TO LIFE PAC|99PAC00067|06/21/2000|06/21/2000|2260|F|REPAID LOAN                             |025
NE RIGHT TO LIFE PAC|99PAC00067|06/21/2000|06/20/2000|748.19|A|REIMBURSEMENT FOR OVERPAYMENT........   |025
NE RIGHT TO LIFE PAC|99PAC00067|01/17/2001|10/24/2000|1400|A|REIMBURSEMENT FROM NAT'L FOR LISTS      |025
NE RIGHT TO LIFE PAC|99PAC00067|06/12/2001|05/01/2001|2216.3|F|NE RIGHT TO LIFE, INC. FOR POSTAGE OMAHA|025
NE RIGHT TO LIFE PAC|99PAC00067|04/16/2002|04/17/2002|3100|F|REPAID LOAN TO NE RIGHT TO LIFE INC.    |025
NE RIGHT TO LIFE PAC|99PAC00067|04/16/2002|02/13/2002|319|F|REPAID LOAN TO NE RIGHT TO LIFE INC.    |025
NE RIGHT TO LIFE PAC|99PAC00067|05/06/2002|04/29/2002|2270|P|ESTIMATED BILL FOR PRINTING             |025
NE RIGHT TO LIFE PAC|99PAC00067|06/25/2002|05/03/2002|651.34|F|NRTL INC.  FOR POSTAGE ON VOTERS GUIDE  |025
NE RIGHT TO LIFE PAC|99PAC00067|06/25/2002|06/18/2002|2908|P|BACK TO BIBLE FOR PRIMARY PRINTING      |025
NE RIGHT TO LIFE PAC|99PAC00067|06/25/2002|05/30/2002|788|P|NRTL INC. FOR PAYMENT TO WRONG ACCOUNT..|025
NE RIGHT TO LIFE PAC|99PAC00067|10/07/2002|08/21/2002|2000|P|PAID BACK TO THE BIBLE ON ACCOUNT FOR VO|025
NE RIGHT TO LIFE PAC|99PAC00067|10/07/2002|08/21/2002|908|P|OWE BACK TO THE BIBLE FOR PRINTING GUIDE|025
NE RIGHT TO LIFE PAC|99PAC00067|10/30/2002|10/08/2002|908|P|PAID BACK TO BIBLE PRIMARY VOTER GUIDE  |025
NE RIGHT TO LIFE PAC|99PAC00067|10/30/2002|05/03/2002|651.34|F|OWE NRLC-4 POSTAGE PRIMARY VOTER GUIDE  |025
NE RIGHT TO LIFE PAC|99PAC00067|10/30/2002|10/22/2002|1357.7|F|OWE NRL INC FOR POSTATE VOTER GUIDE GENE|025
NE RIGHT TO LIFE PAC|99PAC00067|01/15/2003|05/03/2002|651.34|F|OUTSTANDING LOAN FROM NRL INC -POSTAGE  |025
NE RIGHT TO LIFE PAC|99PAC00067|01/15/2003|05/30/2002|788|P|OWED TO NRL INC. FOR DEPOSIT ERROR      |025
NE RIGHT TO LIFE PAC|99PAC00067|01/15/2003|10/22/2002|1357.7|F|OUTSTANDING LOAN FROM NRL INC -POSTAGE  |025
NE RIGHT TO LIFE PAC|99PAC00067|01/15/2003|12/31/2002|6.15|A|BANK RECONCILIATION                     |025
NE RIGHT TO LIFE PAC|99PAC00067|04/28/2003|12/31/2002|2797.04|P|NRL, INC. C-4                           |025
NE RIGHT TO LIFE PAC|99PAC00067|06/21/2004|12/31/2002|2797.04|F|OUTSTANDING LOAN FROM NRL, INC.         |025
NE RIGHT TO LIFE PAC|99PAC00067|06/21/2004|04/27/2004|3337.32|F|LOAN FROM NRL C-4                       |025
NE RIGHT TO LIFE PAC|99PAC00067|10/26/2004|09/28/2004|6134.36|P|TOTAL OWED TO NRL, INC. C-4             |025
NE RIGHT TO LIFE PAC|99PAC00067|10/27/2004|10/18/2004|6734.36|A|TOTAL OWED TO NRL, INC. C-4             |025
NE RIGHT TO LIFE PAC|99PAC00067|01/04/2005|10/19/2004|2841.67|F|LOAN FROM NRL C-4                       |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|03/04/1999|01/05/1999|252.96| |WILLHOFT FOR LEGISLATURE                |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|03/29/1999|03/04/1999|2000| |BYARS FOR LEGISLATURE                   |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|03/29/1999|03/22/1999|368|R|REFUNDS OF CONTRIBUTIONS                |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|04/21/1999|03/24/1999|262|R|                                        |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|04/21/1999|04/12/1999|17.5|R|                                        |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|06/14/1999|05/07/1999|7|R|                                        |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|09/07/1999|08/31/1999|495| |CHECK TO KSYZ RADIO STATION-NEVER CASHED|025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|09/22/1999|09/20/1999|3000| |NSEA PAC CONTRIBUTION THAT WAS REPLACED |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|04/09/2000|12/08/1999|8|R|                                        |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|04/10/2000|03/08/2000|564|R|REFUNDS LESS THAN $250                  |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|04/10/2000|01/25/2000|350|A|ASSOCIATION REIMBURSEMENT               |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|05/01/2000|04/20/2000|350|A|REPLENISHED FUND - CORNHUSKER REP. WOMAN|025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|05/01/2000|04/11/2000|300| |RETURN FUNDS FROM QUANDAHL              |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|10/31/2000|10/19/2000|150|C|RETURN FUNDS FROM BOB KELLY             |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|01/10/2001|11/15/2000|91.14|C|KIDS 2000 655 CHESNUT HICKMAN, NE 68372 |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|03/26/2001|01/31/2001|1482.6|C|HEWITT FOR LEGISLATURE - RETURNED       |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|03/26/2001|03/05/2001|384|R|REFUND OF CONTRIBUTIONS                 |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|06/11/2001|05/16/2001|8|R|REFUND OF PREVIOUS CONTRIBUTION         |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|04/16/2002|03/05/2002|316|R|                                        |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|04/16/2002|03/11/2002|300|C|CONNEALY                                |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|06/24/2002|04/30/2002|8|R|JAMES KARASEK - REFUND CONTRIBUTION     |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|06/24/2002|05/20/2002|8|R|LINDA SWANSON - REFUND OF CONTRIBUTION  |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|01/15/2003|11/26/2002|200|C|RETURN FROM PARTNERS IN EDUCATION       |025
NE STATE EDUCATION ASSOCIATION PAC|99PAC00069|04/03/2003|03/06/2003|320|R|REFUNDS OF CONTRIBUTIONS PREVIOUSLY RECE|025
NEBRASKANS FOR CHOICE CAMPAIGN FUND|99PAC00071|01/22/2002|12/01/2001|671.2|A|ADJUSTMENT FOR BANK FEE'S, ETC.         |025
NE INSURANCE FEDERATION PAC|99PAC00073|01/18/2000|01/29/1999|500|A|CHECK 1034 $500 TO HILGERT FOR LEG. NEVE|025
NE INSURANCE FEDERATION PAC|99PAC00073|01/10/2003|12/31/2002|500|C|MINES FOR LEGISLATURE - RETURNED        |025
NE INSURANCE FEDERATION PAC|99PAC00073|11/10/2004|07/27/2004|100|C|ERDMAN FOR LEGISLATURE                  |025
NORTHWESTERN PUBLIC SERVICE EMPLOYEES PAC|99PAC00074|10/30/2000|06/30/2000|3|A|SERVICE FEE                             |025
NORTHWESTERN PUBLIC SERVICE EMPLOYEES PAC|99PAC00074|10/30/2000|07/31/2000|3|A|SERVICE FEE                             |025
NORTHWESTERN PUBLIC SERVICE EMPLOYEES PAC|99PAC00074|10/30/2000|08/31/2000|3|A|SERVICE FEE                             |025
NORTHWESTERN PUBLIC SERVICE EMPLOYEES PAC|99PAC00074|10/30/2000|09/29/2000|3|A|SERVICE FEE                             |025
NORTHWESTERN PUBLIC SERVICE EMPLOYEES PAC|99PAC00074|01/17/2001|10/31/2000|3|A|CK ACCT MONTHLY SERVICE FEE             |025
NORTHWESTERN PUBLIC SERVICE EMPLOYEES PAC|99PAC00074|01/17/2001|11/30/2000|3|A|CK ACCT MONTHLY SERVICE FEE             |025
NORTHWESTERN PUBLIC SERVICE EMPLOYEES PAC|99PAC00074|01/17/2001|12/31/2000|3|A|CK ACCT MONTHLY SERVICE FEE             |025
NORTHWESTERN PUBLIC SERVICE EMPLOYEES PAC|99PAC00074|02/06/2002|01/31/2001|36|A|$3/MO SERVICE FEE                       |025
WELLS FARGO STATE PAC|99PAC00075|01/19/2000|12/28/1999|10|R|ERROR IN PAYROLL                        |025
WELLS FARGO STATE PAC|99PAC00075|01/19/2000|12/28/1999|25|R|ERROR IN PAYROLL                        |025
WELLS FARGO STATE PAC|99PAC00075|01/19/2000|12/28/1999|40|R|ERROR IN PAYROLL                        |025
WELLS FARGO STATE PAC|99PAC00075|01/19/2000|12/28/1999|500|R|ERROR IN PAYROLL                        |025
WELLS FARGO STATE PAC|99PAC00075|01/14/2002|06/13/2001|200|A|CK TO NANCY THOMPSON FOR DIST 14 CANCELD|025
WELLS FARGO STATE PAC|99PAC00075|01/14/2002|07/06/2001|500|A|CONTRIBUTION DEPOSIT IN ERROR/AMT REFUND|025
WELLS FARGO STATE PAC|99PAC00075|10/23/2002|10/19/2002|200|C|THOMPSON FOR LEGISLATURE                |025
WELLS FARGO STATE PAC|99PAC00075|10/23/2002|10/19/2002|200|C|PAM BROWN FOR LEGISLATURE               |025
WELLS FARGO STATE PAC|99PAC00075|01/09/2004|01/19/2002|130|A|SEE BELOW                               |025
WELLS FARGO STATE PAC|99PAC00075|01/04/2005|12/17/2004|2|R|INDIVIDUAL CANCELLED FROM PAC           |025
OMAHA EDUCATION ASSOCIATION PAC|99PAC00076|07/01/2002|04/11/2002|14|A|MONEY COLLECTED FROM CAF RAFFLE HELD    |025
OMAHA EDUCATION ASSOCIATION PAC|99PAC00076|07/01/2002|04/29/2002|57|A|CHECK 1064 REVERSE TRANSACTION          |025
OMAHA EDUCATION ASSOCIATION PAC|99PAC00076|07/01/2002|05/09/2002|2.95|P|PENALTY FROM NE DEPT OF REVENUE         |025
OMAHA EDUCATION ASSOCIATION PAC|99PAC00076|05/04/2004|03/17/2004|500|C|1998 CAMPAIGN CONTRIBUTION TO MELE MASON|025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|05/07/1999|04/12/1999|158.54|F|FUNDS DISTRIBUTED TO INCORRECT PAC      |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|04/12/2000|03/28/2000|200| |                                        |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|65|R|GORDON WELCH (MI)                       |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|33.2|R|GREGORY WALTERS (MN)                    |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|27.72|R|LAWRENCE RODENZ (MN)                    |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|36.01|R|GARY PIKE (MN)                          |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|55.44|R|STEVEN ODEGARD (MN)                     |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|55.44|R|DAVID KULT (MN)                         |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|16.56|R|JEROME BURGR (MN)                       |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|65|R|DENISE TILLMAN (MI)                     |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|60|R|THOMAS MANDERSCHEID (MI)                |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|130|R|RONALD HERR (MI)                        |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|36.01|R|CHARLES HUDLER (MN)                     |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|04/12/2001|65|R|PAUL LIVERNOIS (MI)                     |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|03/16/2001|100|C|CH 1658 - VICTORY COMMITTEE 2000        |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|03/16/2001|150|C|CH 1665 (KS) RE-ELECT ETHEL PETERSON TO |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|01/09/2002|03/16/2001|150|C|CH 1677 (SK) RE-ELECT MELVIN NEUFELD TO |025
AQUILA, INC EMPLOYEE STATE PAC|99PAC00078|04/09/2002|01/09/2002|260|R|REFUND FROM MISSOURI EMPL. PAC          |025
TRUCKERS PAC|99PAC00093|01/29/2002|01/31/2001|100.8|A|JAN INTEREST                            |025
TRUCKERS PAC|99PAC00093|01/29/2002|02/28/2001|81.83|A|FEB INT                                 |025
TRUCKERS PAC|99PAC00093|01/29/2002|03/31/2001|83.64|A|MAR INTEREST                            |025
TRUCKERS PAC|99PAC00093|01/29/2002|04/30/2001|85.52|A|APR                                     |025
TRUCKERS PAC|99PAC00093|01/29/2002|05/31/2001|90.29|A|MAY                                     |025
TRUCKERS PAC|99PAC00093|01/29/2002|06/30/2001|78.46|A|JUNE                                    |025
TRUCKERS PAC|99PAC00093|01/29/2002|07/31/2001|62.63|A|JULY                                    |025
TRUCKERS PAC|99PAC00093|01/29/2002|08/31/2001|58.19|A|AUGUST                                  |025
TRUCKERS PAC|99PAC00093|01/29/2002|09/30/2001|50.28|A|SEPTEMBER                               |025
TRUCKERS PAC|99PAC00093|01/29/2002|10/31/2001|54.99|A|OCTOBER                                 |025
TRUCKERS PAC|99PAC00093|01/29/2002|11/30/2001|48.77|A|NOVEMBER                                |025
