ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
833|Sam Properties, Inc.|January|02/10/1998|05/04/1998|$300.00|REDUCED|$0.00|05/18/1998||
834|The Sampson Firm, PC|May|06/10/1996|06/27/1996|$170.00|REDUCED|$0.00|07/22/1996||
835|Keith D. Samuelson Land Leveling, Inc.|March|04/10/1998|04/21/1998|$110.00|REDUCED|$0.00|05/05/1998||
836|Sand Livestock Systems, Inc.|December|01/12/1998|03/18/1998|$300.00|PAID|$10.00|04/03/1998||
837|Sand Livestock Systems|July|08/11/1997|03/05/1998|$300.00|REDUCED|$0.00|03/16/1998||
838|Sand Systems, Inc.|February|03/10/1998|03/18/1998|$80.00|REDUCED|$0.00|04/03/1998||
839|Sapp Brothers Ford Center, Inc.|October|11/10/1997|04/08/1997|$300.00|REDUCED|$0.00|04/27/1998||
840|Schaaf Refuse Service|February|03/10/1998|04/06/1998|$270.00|REDUCED|$0.00|04/27/1998||
841|Schaefer Electric, Inc.|September|10/10/1996|06/16/1997|$300.00|REDUCED|$0.00|08/08/1997||
842|Schirber Law Firm, PC|November|12/10/1997|02/18/1997|$300.00|REDUCED|$0.00|03/06/1998||
843|Jeff Schrier Ford, Inc.|October|11/12/1996|12/24/1996|$300.00|REDUCED|$0.00|01/23/1997||
844|Scottsbluff Vision Clinic|March|04/10/1998|06/01/1998|$300.00|REDUCED|$0.00|06/17/1998||
845|Scottsbluff/Gering Chamber of Commerce|April|05/10/1996|05/28/1996|$180.00|REDUCED|$0.00|06/19/1998||
846|R.D. Schuller, Inc.|March|04/10/1997|10/17/1997|$300.00|REDUCED|$0.00|11/24/1997||
847|Schulte-Pearson Chevrolet, Buick, Olds, Inc.|October|11/12/1996|11/19/1996|$70.00|REDUCED|$0.00|12/17/1996||
848|The Scoular Company|December|01/12/1997|02/19/1998|$300.00|PAID||||
849|The Scoular Company|August|09/10/1996|09/17/1996|$70.00|REDUCED|$0.00|11/25/1996||
850|Scribner Bank|August|09/10/1997|02/19/1998|$300.00|REDUCED|$0.00|03/02/1998||
851|Security National Bank of Omaha|August|09/10/1997|09/17/1997|$70.00|PAID||||
852|Service Employees International Union|April|05/10/1996|05/16/1996|$60.00|REDUCED|$0.00|06/18/1996||
853|Seventy-One Twenty-Eight & Pacific, Inc.|November|12/10/1997|04/30/1998|$300.00|PAID||||
854|Seventy-One Twenty-Eight & Pacific, Inc.|April|05/10/1996|05/17/1996|$70.00|PAID||||
855|Shamrock Concrete Co.|January|02/10/1997|06/10/1997|$300.00|REDUCED|$0.00|08/28/1997||
856|Shamrock Concrete Co.|February|03/10/1997|06/10/1997|$300.00|REDUCED|$0.00|08/28/1997||
857|Shamrock Concrete Co.|March|04/10/1997|06/10/1997|$300.00|REDUCED|$0.00|08/28/1997||
858|Shasteen & Crawford, PC|October|11/12/1996|01/13/1997|$300.00|REDUCED|$0.00|03/17/1997||
1033|Wilkinson Manufacturing Company|January|02/10/1998|08/26/1998|$300.00|REDUCED|$0.00|09/10/1998||
1034|Cummins Great Plains|April|05/10/1998|09/04/1998|$300.00|REDUCED|$0.00|09/16/1998||
1035|Charles Vrana & Sons Construction Co.|January|02/10/1998|09/04/1998|$300.00|REDUCED|$0.00|09/16/1998||
1036|Hansen, Engles & Locher, PC|May|06/10/1998|09/04/1998|$300.00|RED/PAID|$10.00|10/19/1998|10/19/1998|
1037|RDG Schuttee, Wilscam, Birge|May|06/10/1997|08/31/1998|$300.00|PAID|||10/15/1998|
1038|McCann Plumbing Service|January|02/10/1998|09/03/1998|$300.00|REDUCED|$0.00|09/16/1998||
1039|Gage Financial Services|February|03/10/1998|08/31/1998|$300.00|REDUCED|$0.00|09/16/1998||
1040|Associated Electrical Sales|February|03/10/1998|09/02/1998|$300.00|REDUCED|$0.00|09/16/1998||
1041|American Association of University Professors|July|08/10/1998|09/11/1998|$300.00|REDUCED|$0.00|09/30/1998||
1042|Beatrice Motor Freight, Inc.|April|05/11/1998|09/09/1998|$300.00|REDUCED|$0.00|10/13/1998||
1043|Stanton Telecom, Inc.|May|06/10/1998|09/09/1998|$300.00|RED/PAID|$10.00|09/30/1998|09/30/1998|
1044|Central Sales Lighting Systems, Inc.|January|02/10/1998|09/10/1998|$300.00|REDUCED|$0.00|09/23/1998||
1045|Hansens & Associates, Inc.|March|04/10/1998|09/08/1998|$300.00|REDUCED|$0.00|09/23/1998||
1046|Hansens & Associates, Inc.|April|05/11/1998|09/08/1998|$300.00|REDUCED|$0.00|09/23/1998||
1047|Hansens & Associates, Inc.|May|06/10/1998|09/08/1998|$300.00|REDUCED|$0.00|09/23/1998||
1048|Mid American Benefits, Inc.|January|02/10/1998|09/11/1998|$300.00|REDUCED|$0.00|09/23/1998||
1049|Nebco, Inc.|April|05/11/1998|09/10/1998|$300.00|REDUCED|$0.00|09/23/1998||
1050|Nebraska Transport Co., Inc.|July|08/10/1998|08/26/1998|$160.00|REDUCED|$0.00|09/23/1998||
1051|P.J. Morgan Investments, Inc.|March|04/10/1998|09/18/1998|$300.00|REDUCED|$0.00|09/24/1998||
1052|American Express Travel Related Services|February|03/10/1998|09/17/1998|$300.00|REDUCED|$0.00|09/24/1998||
1053|Printer's Sales Idea Service Co.|April|05/11/1998|09/17/1998|$300.00|REDUCED|$0.00|09/24/1998||
1054|Henderson Cooperative|August|09/10/1998|09/14/1998|$40.00|PAID|||10/01/1998|
1055|MLH, Inc. d/b/a Garbo's Salons|August|09/10/1998|09/17/1998|$70.00|REDUCED|$0.00|09/30/1998||
1056|Mundy & Associates, Inc.|August|09/10/1998|09/17/1998|$70.00|REDUCED|$0.00|10/13/1998||
1057|Nebraska Petroleum Marketers & Convience Store Association|June|07/10/1998|09/14/1998|$300.00|REDUCED|$0.00|10/16/1998||
1058|Service Employees International Union Local 226|August|09/10/1998|09/17/1998|$70.00|REDUCED|$0.00|09/30/1998||
1059|Variety Motors, Inc.|April|05/11/1998|09/16/1998|$300.00|REDUCED|$0.00|09/30/1998||
1060|American Communications Group, Inc.|August|09/10/1998|09/14/1998|$40.00|PAID|||10/05/1998|
1061|Center for Rural Affairs|August|09/10/1998|09/14/1998|$40.00|PAID|||10/05/1998|
1062|Butler County Education Association|August|09/10/1998|09/14/1998|$40.00|REDUCED|$0.00|10/13/1998||
1063|Fletcher Farm Service, Inc.|August|09/10/1998|09/23/1998|$130.00|REDUCED|$0.00|10/19/1998||
1064|Northeast Nebraska Insurance Agency, Inc.|August|09/10/1998|09/21/1998|$110.00|REDUCED|$0.00|10/19/1998||
1065|Pac N Save|August|09/10/1998|09/22/1998|$120.00|REDUCED|$0.00|10/19/1998||
1066|Quality Food Center|August|09/10/1998|09/22/1998|$120.00|REDUCED|$0.00|10/19/1998||
1067|Vakoc Home Bldg. Center (Vakoc Construction Co.)|August|09/10/1998|09/23/1998|$130.00|REDUCED|$0.00|10/19/1998||
1068|Otte Construction|August|09/10/1998|09/21/1998|$110.00|REDUCED|$0.00|10/19/1998||
1069|Carhart Lumber Company|August|09/10/1998|09/25/1998|$150.00|REDUCED|$0.00|10/19/1998||
1070|Arnie's Ford Merc Inc.|August|09/10/1998|09/22/1998|$120.00|REDUCED|$0.00|10/19/1998||
1071|Agri-Products Inc.|August|09/10/1998|09/24/1998|$140.00|REDUCED|$0.00|10/19/1998||
1072|Ag Processing, Inc|April|05/11/1998|09/19/1998|$300.00|PAID|||10/27/1998|
1073|State National Bank & Trust Co.|August|09/10/1998|09/22/1998|$120.00|REDUCED|$0.00|11/13/1998||
1074|Farmers State Bank|August|09/10/1998|09/22/1998|$120.00|REDUCED|$0.00|10/19/1998||
1075|Farmers & Merchants State Bank|August|09/10/1998|09/22/1998|$120.00|REDUCED|$0.00|10/19/1998||
1076|First National Bank|August|09/10/1998|09/23/1998|$130.00|REDUCED|$0.00|10/19/1998||
1077|Cymru Am Byth, Ltd.|August|09/10/1998|09/23/1998|$130.00|REDUCED|$0.00|10/19/1998||
1078|Design - A - Sign, Inc.|March|04/10/1998|09/21/1998|$300.00|REDUCED|$0.00|10/09/1998||
1079|Crete Carrier Corporation|April|04/13/1998|09/24/1998|$300.00|REDUCED|$0.00|10/09/1998||
1080|Communication Design Marketing Consultants, Inc.|March|04/10/1998|09/21/1998|$300.00|REDUCED|$0.00|10/09/1998||
1081|Consolidated Services|March|04/10/1998|09/25/1998|$300.00|REDUCED|$0.00|10/09/1998||
1082|Chief School Bus Service, Inc.|February|03/10/1998|09/23/1998|$300.00|REDUCED|$0.00|10/09/1998||
1083|Fraternal Order of Police Lodge #8|February|03/10/1998|09/24/1998|$300.00|PAID|||10/30/1998|
1084|Greater Omaha Chamber of Commerce|February|03/10/1998|09/25/1998|$300.00|PAID|||10/29/1998|
1085|Rod Rehm, PC|April|05/11/1998|09/21/1998|$300.00|RED/PAID|$10.00|10/23/1998|10/23/1998|
1086|Biermans, Inc.|April|05/11/1998|09/28/1998|$300.00|REDUCED|$0.00|11/13/1998||
1087|Biermans, Inc.|August|09/10/1998|09/28/1998|$180.00|REDUCED|$0.00|11/13/1998||
1088|Hawkins Construction Company|February|03/10/1998|09/24/1998|$300.00|PAID|||10/15/1998|
1089|The Benefit Group, Inc.|April|05/11/1998|10/02/1998|$300.00|RED/PAID|$10.00|10/23/1998|10/23/1998|
1090|Blue Cross & Blue Shield of NE|February|03/10/1998|09/30/1998|$300.00|PAID|||10/28/1998|
1091|Centre Court, Inc.|March|04/10/1998|10/02/1998|$300.00|REDUCED|$0.00|10/19/1998||
1092|International Union of Elevator Contructors|January|02/10/1998|10/02/1998|$300.00|REDUCED|$0.00|10/19/1998||
1093|Omaha Bldg. & Construction Trades Council|February|03/10/1998|09/29/1998|$300.00|REDUCED|$0.00|10/19/1998||
1094|Plumbers Local Union #16|January|02/21/1998|09/30/1998|$300.00|REDUCED|$0.00|10/19/1998||
1095|Plumbers Local Union #16|February|03/10/1998|09/30/1998|$300.00|REDUCED|$0.00|10/19/1998||
1096|Plumbers Local Union #16|April|05/11/1998|09/30/1998|$300.00|REDUCED|$0.00|10/19/1998||
1097|Plumbers Local Union #16|July|08/10/1998|09/30/1998|$300.00|REDUCED|$0.00|10/19/1998||
1098|Plumbers Local Union #16|August|09/10/1998|09/30/1998|$300.00|REDUCED|$0.00|10/19/1998||
1099|United Health Care of the Midlands, Inc.|April|05/11/1998|09/30/1998|$300.00|REDUCED|$0.00|10/19/1998||
1100|Universal Revenue Services, Inc.|April|05/11/1998|10/02/1998|$300.00|REDUCED|$0.00|10/19/1998||
1101|DLR Group Services|April|05/11/1998|10/08/1998|$300.00|PAID|||10/05/1998|
1102|Ameritas Life Insurance Corporation|August|09/10/1998|10/07/1998|$270.00|PAID|||10/07/1998|
1103|Columbus Education Association|September|10/13/1998|10/15/1998|$20.00|PAID|||10/28/1998|
1104|Rural/Metro Medical Services|February|03/10/1998|10/05/1998|$300.00|REDUCED|$0.00|10/26/1998||
1105|Rural/Metro Medical Services|March|04/10/1998|10/05/1998|$300.00|REDUCED|$0.00|10/26/1998||
1106|Keeler Raynor Hinz Architects, PC|April|05/11/1998|10/09/1998|$300.00|REDUCED|$0.00|10/26/1998||
1107|Aesthetic Surgical Images, PC|September|10/10/1996|10/09/1998|$300.00|REDUCED|$0.00|10/26/1998||
1108|Aesthetic Surgical Images, PC|February|03/10/1998|10/09/1998|$300.00|REDUCED|$0.00|10/26/1998||
1109|Aesthetic Surgical Images, PC|August|09/10/1998|10/09/1998|$290.00|REDUCED|$0.00|10/26/1998||
1110|Aesthetic Surgical Images, PC|June|07/10/1997|10/09/1998|$300.00|REDUCED|$0.00|10/26/1998||
1111|Aesthetic Surgical Images, PC|November|12/10/1997|10/09/1998|$300.00|REDUCED|$0.00|10/26/1998||
1112|Minatare Feedlot, Inc.|May|06/10/1998|10/08/1998|$300.00|REDUCED|$0.00|10/26/1998||
1283|Aon Risk Services, Inc. of Nebraska|September|10/10/1998|02/11/1999|$300.00|REDUCED|$0.00|02/22/1999||
1284|Lincoln, Mutual Life Insurance Company|October|11/10/1998|02/08/1999|$300.00|REDUCED|$0.00|02/22/1999||
1285|The Lund Company|October|11/10/1998|02/08/1999|$300.00|PAID|||03/08/1999|
1286|Rotella's Italian Bakery, Inc.|October|11/10/1998|02/12/1999|$300.00|REDUCED|$0.00|02/22/1999||
1287|Strictly Business Magazine|December|01/11/1999|02/10/1999|$300.00|REDUCED|$0.00|02/22/1999||
1288|W & J Carpenter, Inc.|October|11/10/1998|02/11/1999|$300.00|REDUCED|$0.00|02/22/1999||
1289|Blackman Business Services, Inc.|October|11/10/1998|02/03/1999|$300.00|REDUCED|$0.00|02/03/1999||
1290|Community Housing, Inc.|January|02/10/1999|02/16/1999|$60.00|REDUCED|$0.00|04/08/1999||
1291|Cornhusker Bank|October|11/10/1998|02/16/1999|$300.00|RED/PAID|$10.00|03/15/1999|03/15/1999|
1292|Ernst Auto Center|January|02/10/1999|02/16/1999|$60.00|REDUCED|$0.00|03/09/1999||
1293|First Nebraska Bank|January|02/10/1999|02/18/1999|$80.00|REDUCED|$0.00|03/09/1999||
1294|Gerhold Concrete Company, Inc.|January|02/10/1999|02/17/1999|$70.00|REDUCED|$0.00|04/08/1999||
1295|KVI Associates, Inc.|October|11/10/1998|02/18/1999|$300.00|PAID|||05/03/1999|
1297|Kurtenbach Law Office|January|02/10/1999|02/19/1999|$90.00|REDUCED|$0.00|03/09/1999||
1298|Lincoln Babe Ruth Baseball Association, Inc.|October|11/10/1998|02/16/1999|$300.00|REDUCED|$0.00|03/02/1999||
1299|MP Printing, Inc. d/b/a Ultra Graphics|January|02/10/1999|02/17/1999|$70.00|REDUCED|$0.00|03/11/1999||
1300|Micro Data, Inc.|January|02/10/1999|02/17/1999|$70.00|REDUCED|$0.00|03/09/1999||
1301|Midwest Glass Service, Inc.|January|02/10/1999|02/16/1999|$60.00|REDUCED|$0.00|03/09/1999||
1302|Missouri River Title Company, Inc.|February|03/10/1998|02/16/1999|$300.00|REDUCED|$0.00|03/02/1999||
1303|NE State AFL-CIO|January|02/10/1999|02/16/1999|$60.00|REDUCED|$0.00|03/11/1999||
1304|Pandorf Land & Cattle, Inc.|September|10/10/1998|02/16/1999|$300.00|REDUCED|$0.00|03/02/1999||
1305|Paxton & Vierling Steel Company|October|11/10/1998|02/17/1999|$300.00|PAID|||04/26/2000|
1306|Peoples Natural Gas|November|12/10/1998|02/19/1999|$300.00|RED/PAID|$100.00|05/06/1999|05/06/1999|
1307|Philip Morris U.S.A.|October|11/10/1998|02/16/1999|$300.00|PAID|||02/16/1999|
1308|Realty Team, Inc. d/b/a Century 21|January|02/10/1999|02/16/1999|$60.00|REDUCED|$0.00|03/09/1999||
1309|Sapp Brothers Petroleum, Inc.|November|12/10/1998|02/18/1999|$300.00|REDUCED|$0.00|03/02/1999||
1310|Sapp Brothers Truck Stops, Inc.|November|12/10/1998|02/18/1999|$300.00|REDUCED|$0.00|03/02/1999||
1311|Wayne State Education Association|November|12/10/1998|02/17/1999|$300.00|REDUCED|$0.00|03/02/1999||
1312|Rail Car Nebraska|October|11/10/1998|02/24/1999|$300.00|REDUCED|$10.00|03/09/1999|03/09/1999|
1313|Five Points Bank|August|09/10/1998|02/26/1999|$300.00|RED/PAID|$20.00|04/01/1999|04/01/1999|
1316|Wunderlich Friendly Bar, Inc.|January|02/10/1999|02/26/1999|$160.00|REDUCED|$0.00|03/25/1999||
1317|Asbestos Workers Local #39|October|11/10/1998|03/03/1999|$300.00|RED/PAID|$10.00|03/30/1999|03/30/1999|
1318|Wauneta Telephone Company, Inc.|September|10/10/1998|03/04/1999|$300.00|REDUCED|$0.00|03/25/1999||
1319|IBP, Inc.|November|12/10/1998|03/01/1999|$300.00|PAID|||03/23/1999|
1320|Corner Shop, Inc.|January|02/10/1999|03/01/1999|$190.00|REDUCED|$0.00|03/25/1999||
1321|Blum's Auto Repair, Inc.|January|02/10/1999|03/05/1999|$230.00|RED/PAID|$10.00|04/20/1999|04/20/1999|
1322|BWTelecom, Inc. (Benkelman Telephone)|September|10/10/1998|03/04/1999|$300.00|REDUCED|$0.00|03/25/1999||
1324|Quality Snapshots, Inc. d/b/a Camera Concepts|December|01/10/1999|03/02/1999|$300.00|REDUCED|$0.00|03/16/1999||
1325|Hartington Telecommunications Company, Inc.|September|10/10/1998|03/05/1999|$300.00|REDUCED|$0.00|03/16/1999||
1326|T.O. Haas Tire Company, Inc.|September|10/10/1998|03/04/1999|$300.00|RED/PAID|$20.00|||
1327|Ainsworth Education Association|September|10/10/1998|03/01/1999|$300.00|REDUCED|$0.00|03/16/1999||
1328|Clark J. Grant, P.C.|January|02/10/1999|02/22/1999|$120.00|REDUCED|$0.00|03/09/1999||
1329|Gene Lilly Surety Bonds|October|11/10/1998|02/23/1999|$300.00|REDUCED|$0.00|03/09/1999||
1330|Pete Becker, Inc.|September|10/10/1998|02/22/1999|$300.00|REDUCED|$0.00|03/09/1999||
1332|Omaha Police Union Local 101|February|03/10/1999|03/12/1999|$20.00|PAID|||05/11/1999|
1333|Midstates Construction Products, Inc.|April|05/10/1998|03/11/1999|$300.00|REDUCED|$0.00|03/23/1999||
1334|Herbert Development, Inc.|November|12/10/1998|03/12/1999|$300.00|REDUCED|$0.00|03/23/1999||
1335|Union Pacific Railroad|January|03/10/1999|03/11/1999|$10.00|REDUCED|$0.00|03/23/1999||
1336|Brotherhood of Locomotive Engineers PAC Fund|February|03/10/1999|03/15/1999|$50.00|REDUCED|$0.00|04/08/1999||
1337|Steamfitters Local Union 464 C.O.P.E. Fund|February|03/10/1999|03/17/1999|$70.00|PAID|||04/14/1999|
1338|American Communications Group, Inc.|February|03/10/1999|03/11/1999|$10.00|PAID|||04/16/1999|
1339|Hampton Development Services, Inc.|January|02/10/1998|03/15/1999|$300.00|REDUCED|$0.00|03/31/1999||
1340|Hampton Development Services, Inc.|March|04/10/1998|03/15/1999|$300.00|REDUCED|$0.00|03/31/1999||
1341|Hampton Development Services, Inc.|May|06/10/1998|03/15/1999|$300.00|REDUCED|$70.00|03/31/1999|03/31/1999|
1342|I A M A W Local Lodge 612|February|03/10/1999|03/15/1999|$50.00|REDUCED|$0.00|03/25/1999||
1343|Bennington Keno, Inc. d/b/a Keno Cabana|October|11/10/1998|03/18/1999|$300.00|REDUCED|$0.00|03/25/1999||
1344|T.O. Haas Tire Co., Inc.|September|10/10/1998|03/04/1999|$300.00|RED/PAID|$20.00|03/25/1999|03/25/1999|
1345|Architectural Partnership, P.C.|February|03/10/1999|03/24/1999|$140.00|REDUCED|$0.00|04/13/1999||
1346|Pfizer, Inc.|March|04/10/1998|03/22/1999|$300.00|RED/PAID|$10.00|04/21/1999|04/21/1999|
1347|Security Termite Inspections, Inc.|August|09/10/1998|03/24/1999|$300.00|Reduced|$0.00|04/06/1999||
1348|S & M, Inc.|February|03/10/1999|03/26/1999|$160.00|Reduced|$0.00|04/06/1999||
1349|MindVision, Inc.  d/b/a MindVision Software|January|02/10/1999|03/24/1999|$300.00|Reduced|$0.00|04/06/1999||
1350|Huscroft's Preffered Auto Body, Inc.|February|03/10/1998|03/22/1999|$300.00|Reduced|$0.00|04/06/1999||
1351|R. D. Hinkley & Associates, Inc.|September|10/10/1998|03/23/1999|$300.00|Reduced|$0.00|04/06/1999||
1352|Guns Unlimited, Inc.|July|08/10/1998|03/22/1999|$300.00|Reduced|$0.00|04/06/1999||
1353|Green Furnace & Plumbing Company, Inc.|February|03/10/1999|03/25/1999|$150.00|Reduced|$0.00|04/06/1999||
1354|Chances R, Inc.|October|11/10/1998|03/26/1999|$300.00|Reduced|$0.00|04/06/1999||
1355|Asbestos Removers, Inc.|January|02/10/1999|03/22/1999|$300.00|Reduced|$0.00|04/06/1999||
1357|Scotty's Drive In, Inc.|October|11/10/1998|04/01/1999|$300.00|REDUCED|$0.00|04/15/1999||
1358|Nebraska State Grange|September|10/10/1998|04/01/1999|$30.00|REDUCED|$0.00|04/15/1999||
1359|Journal Broadcasting Group, Inc.|October|11/10/1998|04/02/1999|$300.00|REDUCED|$0.00|04/15/1999||
1360|Fraternal Order of Police Lodge #36|October|11/10/1998|03/29/1999|$300.00|REDUCED|$0.00|04/15/1999||
1361|Farmers & Merchants Investment, Inc.|December|01/10/1999|03/30/1999|$300.00|REDUCED|$0.00|04/15/1999||
1362|Eakes, Inc.|April|05/10/1998|03/31/1999|$300.00|REDUCED|$0.00|04/15/1999||
1363|American Security Services|August|04/12/1999|04/16/1999|$40.00|REDUCED|$0.00|04/26/1999||
1366|Truck Services, Inc.|January|04/12/1999|04/16/1999|$40.00|REDUCED|$0.00|05/11/1999||
1368|Nebraska Retail Federation|February|03/10/1998|04/12/1999|$300.00|Reduced|$0.00|05/12/1999||
1369|Nebraska Retail Federation|March|04/10/1998|04/12/1999|$300.00|Reduced|$0.00|05/12/1999||
1370|Nebraska Retail Federation|September|10/10/1998|04/12/1999|$300.00|Reduced|$0.00|05/12/1999||
1371|Nebraska Retail Federation|December|01/10/1999|04/12/1999|$300.00|Reduced|$0.00|05/12/1999||
1372|Spence Title Services, Inc.|October|11/10/1998|04/19/1999|$300.00|RED/PAID|$10.00|05/05/1999|05/05/1999|
1373|Umberger Refuse, Inc.|March|04/12/1999|04/20/1999|$80.00|REDUCED|$0.00|06/01/1999||
1374|Huntel Systems, Inc.|August|09/10/1998|04/13/1999|$300.00|PAID|||05/13/1999|
1375|Nebraska Blueprint Company, Inc|November|12/10/1998|05/03/1999|$300.00|REDUCED|$0.00|05/18/1999||
1376|Ameritas Life Insurance|September|10/13/1998|11/02/1998|$200.00|REDUCED|$0.00|05/25/1999||
1377|Communications Workers of America Local 7470|February|03/10/1998|04/06/1999|$300.00|REDUCED|$0.00|05/25/1999||
1378|The Lund Company|November|12/10/1998|06/01/1999|$300.00|PAID|||06/01/1999|
1379|Seldin Company|April|05/10/1999|05/19/1999|$90.00|REDUCED|$0.00|06/02/1999||
1380|Omnium Worldwide, Inc.|August|09/10/1997|05/17/1999|$300.00|PAID|||06/17/1999|
1382|Strictly Business Magazine|April|05/10/1999|05/17/1999|$70.00|RED/PAID|$10.00|06/18/1999|06/18/1999|
1383|21st Century Financial Group|April|05/10/1998|05/18/1999|$300.00|REDUCED|$0.00|09/13/1999||
1384|Aliant Communications|March|04/12/1999|05/17/1999|$300.00|PAID|||06/18/1999|
1385|Aliant Communications|April|05/10/1999|05/17/1999|$70.00|PAID|||06/18/1999|
1386|Consolidated Sign Service|September|10/10/1997|05/18/1999|$300.00|RED/PAID|$10.00|06/18/1999|06/15/1999|
1387|Cummins Great Plains|August|09/10/1997|05/19/1999|$300.00|RED/PAID|$10.00|06/18/1999|06/18/1999|
1388|Development & Equity Services Corporation|September|10/10/1998|05/19/1999|$300.00|REDUCED|$0.00|06/08/1999||
1389|Eggers Consulting Company, Inc.|April|05/10/1999|05/18/1999|$80.00|REDUCED|$0.00|06/09/1999||
1390|Eggers Consulting Company, Inc.|April|05/10/1998|05/18/1999|$300.00|REDUCED|$0.00|06/09/1999||
1391|Lanoha Pacific Development, Inc.|September|10/10/1998|05/20/1999|$300.00|REDUCED|$0.00|06/08/1999||
1392|Lanoha Development, Inc.|September|10/10/1998|05/20/1999|$300.00|REDUCED|$0.00|06/08/1999||
1393|Omaha Neon Sign Company, Inc.|September|10/10/1997|05/18/1999|$300.00|REDUCED|$0.00|06/08/1999||
1394|Great Plains Communications|April|05/10/1999|05/13/1999|$30.00|PAID|||06/18/1999|
1396|United Retailers Liquor Association of Nebraska|April|05/10/1999|05/11/1999|$10.00|REDUCED|$0.00|08/10/1999||
1397|T.O. Haas Tire Company|March|04/10/1999|05/18/1999|$70.00|PAID|||06/17/1999|
1398|Birchwood Homes, Inc.|October|11/10/1996|05/12/1999|$300.00|REDUCED|$0.00|06/09/1999||
1399|Eggers Consulting Company, Inc.|April|05/10/1999|05/18/1999|$80.00|REDUCED|$0.00|06/09/1999||
1400|Eggers Consulting Company, Inc|April|05/10/1998|05/18/1999|$300.00|REDUCED|$0.00|06/09/1999||
1401|Soda Crackers, Inc.|May|06/10/1998|05/11/1999|$300.00|REDUCED|$0.00|06/09/1999||
1402|Soda1 Crackers, Inc.|October|11/10/1998|05/11/1999|$300.00|REDUCED|$0.00|06/09/1999||
1403|Jenny Foundation, The|January|02/10/1998|05/12/1999|$300.00|REDUCED|$0.00|06/09/1999||
1406|DLR Group Services, Inc.|April|05/10/1998|05/27/1999|$300.00|PAID|||06/30/1999|
1407|Cinnamon Creek Land Corporation|March|04/10/1998|05/28/1999|$300.00|REDUCED|$0.00|06/16/1999||
1408|Americans for Sound Public Policy|April|05/10/1999|05/26/1999|$160.00|PAID|||06/28/1999|
1409|Sartor Hamann|April|05/10/1999|06/02/1999|$230.00|REDUCED|$0.00|06/22/1999||
1410|Prairie Home Builders, Inc.|January|02/10/1999|06/10/1999|$300.00|REDUCED|$0.00|06/18/1999||
1411|Prairie Hills Neighborhood Association|March|04/12/1999|06/07/1999|$300.00|REDUCED|$0.00|06/18/1999||
1412|John Markel, Inc.|April|05/10/1998|06/11/1999|$300.00|REDUCED|$0.00|06/18/1999||
1413|Carol Corp d/b/a Hillaero Modification Center|March|04/12/1999|06/09/1999|$300.00|REDUCED|$0.00|06/18/1999||
1414|Carol Corp d/b/a Hillaero Modification Center|April|05/10/1999|06/09/1999|$300.00|REDUCED|$0.00|06/18/1999||
1415|Applied Communications, Inc.|August|09/10/1997|06/07/1999|$300.00|REDUCED|$0.00|06/18/1999||
1416|Wilkinson Manufacturing Company|September|10/10/1998|06/10/1999|$300.00|RED/PAID|$10.00|07/06/1999|07/06/1999|
1417|Jensen Tire Company|April|05/10/1999|06/07/1999|$280.00|REDUCED|$0.00|06/22/1999||
1418|Management One|January|02/10/1999|06/03/1999|$300.00|REDUCED|$0.00|06/16/1999||
1419|Fulton Contruction|January|02/10/1999|06/08/1999|$300.00|REDUCED|$0.00|06/22/1999||
1420|Fulton Construction|March|04/12/1999|06/08/1999|$300.00|REDUCED|$0.00|06/22/1999||
1421|Fulton Construction|April|05/10/1999|06/08/1999|$290.00|REDUCED|$0.00|06/22/1999||
1422|Aliant Communications|April|05/10/1999|05/14/1999|$40.00|PAID|||06/18/1999|
1423|Perry Associates, Inc.|March|04/12/1999|06/15/1999|$300.00|REDUCED|$0.00|06/29/1999||
1424|Perry Associates, Inc.|April|05/10/1999|06/15/1999|$300.00|REDUCED|$0.00|06/29/1999||
1425|Ridge Development Company|March|04/10/1998|04/07/1999|$300.00|RED/PAID|$30.00|07/14/1999|07/14/1999|
1426|Kelley, Lehan & Hall, PC|January|05/10/1999|05/11/1999|$10.00|PAID|||07/07/1999|
1427|Precision Industries, Inc.|September|10/10/1997|06/24/1999|$300.00|REDUCED|$0.00|07/06/1999||
1428|Cubby's Inc.|September|10/10/1998|06/22/1999|$300.00|REDUCED|$0.00|07/02/1999||
1429|Barnhart Press|January|02/10/1999|06/25/1999|$300.00|PAID|$10.00|07/21/1999||
1430|C L Enterprises, Inc.|December|01/10/1999|06/24/1999|$300.00|REDUCED|$0.00|08/10/1999||
1431|Donald Young Safaris, Inc.|April|05/10/1999|06/23/1999|$300.00|REDUCED|$0.00|08/10/1999||
1432|Rail Car Nebraska|September|09/10/1998|06/23/1999|$300.00|REDUCED|$0.00|03/09/1999|03/09/1999|
1433|Bozell Worldwide|January|02/10/1998|07/08/1999|$300.00|PAID|||08/18/1999|
1434|McGregor Interests|December|01/10/1999|06/29/1999|$300.00|RED/PAID|$20.00|08/18/1999|08/18/1999|
1435|Barry Larson & Son, Inc.|December|01/10/1999|06/29/1999|$300.00|REDUCED|$0.00|08/10/1999||
1436|Bailey Lauerman & Associates|June|07/12/1999|07/15/1999|$30.00|REDUCED|$0.00|08/10/1999||
