ID|Committee Name|Statement Due|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Candidate Last Name|Candidate First Name|Interest Paid
429|Sarpy Citizens for Tim Schram|98 1st Primary Campaign Statement|04/13/1998|04/15/1998|$20.00|PAID|||10/15/1998|Schram|Tim|
430|Sarpy Citizens for Tim Schram|98 Post Pri. (Paid $90) (Paid $10 10-15-98)|06/22/1998|07/02/1998|$100.00|PAID|||10/15/1998|Schram|Tim|
431|Bernbeck for Secretary of State|98 Post Primary Campaign Statement|06/22/1998|08/06/1998|$300.00|RED/PAID|$10.00|09/03/1998||Bernbeck|Kent|
432|Kathy Baasch for Register of Deeds|98 Post Primary Campaign Statement|06/22/1998|06/24/1998|$20.00|PAID|||09/09/1998|Baasch|Kathy|
433|Langan for School Board|98 1st Primary Campaign Statement|04/13/1998|04/28/1998|$150.00|REDUCED|$0.00|08/24/1998||Langan|John|
434|Lightner for NRD|98 Post Primary Campaign Statement|06/22/1998|06/23/1998|$10.00|REDUCED|$0.00|08/24/1998||Lightner|Lynn|
435|Citizens for Nolte|98 2nd Primary Campaign Statement|05/04/1998|05/06/1998|$20.00|PAID|||09/09/1998|Nolte|Dan|
437|Witek for Auditor|98 1st Primary Campaign Statement|04/13/1998|04/15/1998|$20.00|REDUCED|$0.00|08/26/1998||Witek|Kathleen|
438|Mark Doyle for MUD Committee|Report of Late Contribution|05/06/1998|06/22/1998|$1500.00|REDUCED|$0.00|09/10/1998||Doyle|Mark|
439|Scott Hazelrigg for District 66 School Board|2nd Primary Campaign Statement|05/04/1998|05/06/1998|$20.00|REDUCED|$0.00|09/03/1998||Hazelrigg|Scott|
440|Scott Hazelrigg for District 66 School Board|98 Post Primary Campaign Statement|06/22/1998|06/24/1998|$20.00|REDUCED|$0.00|09/03/1998||Hazelrigg|Scott|
441|Mele Mason for School Board|98 2nd Primary Campaign Statement|05/04/1998|05/06/1998|$20.00|REDUCED|$0.00|09/03/1998||Mason|Mele|
442|Committee to Re-Elect Pat Thomas Sheriff|98 Post Primary Campaign Statement|06/22/1998|06/24/1998|$20.00|PAID|||09/08/1998|Thomas|Pat|
444|James Anderson for Public Service Commission|98 Post Primary Campaign Statement|06/22/1998|08/14/1998|$300.00|REDUCED|$0.00|10/13/1998||Anderson|James|
445|James Anderson for Public Service Commission|Report of Late Contribution|05/11/1998|08/14/1998|$1500.00|REDUCED|$0.00|10/13/1998||Anderson|James|
446|Urwiller for Public Service Commission|98 Post Primary Campaign Statement|06/22/1998|06/24/1998|$20.00|PAID|||09/20/1999|Urwiller|Daniel|
448|Building Better Schools Committee|Statement of Organization|06/22/1996|07/08/1996|$160.00|REDUCED|$0.00|08/06/1998||||
449|Building Better Schools Committee|96 Post Primary Campaign Statement|06/24/1996|07/08/1996|$140.00|REDUCED|$0.00|08/06/1996||||
452|Citizens Committee for Westside Community Schools|Report of Late Contribution|03/09/1998|04/14/1998|$1500.00|PAID|||09/21/1998|||
453|Citizens for a Better Community|95 Post Election Campaign Statement|11/20/1995|11/22/1995|$20.00|REDUCED|$0.00|02/14/1996||||
454|Citizens for Better Waterways|Statement of Organization|05/09/1997|05/20/1997|$110.00|REDUCED|$0.00|06/27/1997||||
455|Citizens for Education|93 Annual Campaign Statement|01/31/1994|03/04/1994|$300.00|REDUCED|$0.00|06/24/1994||||
456|Citizens for Education|94 2nd General Campaign Statement|11/07/1994|11/09/1994|$20.00|PAID|$0.00|||||
457|Citizens for Informed Taxpayers|96 2nd Primary Campaign Statement|05/06/1996|05/20/1996|$140.00|PAID|$0.00|||||
458|Citizens for Informed Taxpayers|96 1st Primary Campaign Statement|04/15/1996|05/20/1996|$300.00|PAID|$0.00|||||
459|Citizens for Local Option and Control|96 Post Primary Campaign Statement|08/05/1996|09/03/1996|$290.00|PAID|$0.00|||||
460|Citizens for Local Option and Control|96 June Monthly Campaign Statement|07/01/1996|08/14/1996|$300.00|PAID|$0.00|||||
461|Citizens for New Jobs|95 2nd Special Election Campaign Statement|05/15/1995|06/08/1995|$240.00|REDUCED|$0.00|06/29/1995||||
462|Citizens for Schools|94 Post Primary Campaign Statement|06/20/1994|06/28/1994|$80.00|REDUCED|$10.00|09/14/1994|09/14/1994|||
463|Citizens for Westside Community Schools|97 1st Special Election Campaign Statement|08/18/1997|08/29/1997|$110.00|PAID|$0.00|||||
464|Citizens for Westside Community Schools|97 2nd Special Election Campaign Statement|09/08/1997|09/29/1997|$210.00|PAID|$0.00|||||
465|Clean Environment Committee|96 Annual Campaign Statement|01/31/1997|02/03/1997|$30.00|REDUCED|$0.00|04/09/1997||||
466|Committee for a Responsible LPS Budget|96 Annual Campaign Statement|01/31/1997|02/10/1997|$100.00|REDUCED|$0.00|04/14/1997||||
467|Committee for Judicial Integrity|Statement of Organization|11/04/1996|11/06/1996|$20.00|PAID|$0.00|||||
468|Committee for Westside Community Schools|Report of Late Contribution|09/10/1997|09/29/1999|$950.00|REDUCED|$0.00|12/03/1997||||
469|Community Preservation Committee|Statement of Organization|11/04/1996|11/12/1996|$80.00|PAID|$0.00|||||
470|Cornerstone Builders|Statement of Organization|04/29/1996|05/07/1996|$80.00|REDUCED|$0.00|09/13/1996||||
471|G.I. Pride|97 Annual Campaign Statement|02/02/1998|05/22/1998|$300.00|RED/PAID|$257.40|||||
472|G.I. Pride|96 Annual Campaign Statement|01/31/1997|05/22/1998|$300.00|PAID|$0.00|||||
473|Gambling with the Good Life|96 June Monthly Campaign Statement|07/01/1996|07/08/1996|$70.00|REDUCED|$0.00|10/02/1996||||
474|Gering New Horizons|Statement of Organization|04/27/1998|05/04/1998|$80.00|REDUCED|$0.00|06/16/1998||||
475|Gering New Horizons|Report of Late Contribution|05/11/1998|06/10/1998|$1500.00|RED/PAID|$10.00|09/10/1998|09/10/1998|||
476|Gering New Horizons|98 2nd Primary Campaign Statement|05/04/1998|06/10/1998|$300.00|RED/PAID|$10.00|09/10/1998|09/10/1998|||
477|NE Term Limit Committee|96 June Monthly Campaign Statement|07/01/1996|07/09/1996|$80.00|PAID|$0.00|||||
478|NE Term Limit Committee|Statement of Organization|04/15/1996|04/22/1996|$70.00|REDUCED|$0.00|05/08/1996||||
479|NE Term Limit Committee|96 March Monthly Campaign Statement|04/01/1996|06/10/1996|$300.00|PAID||||||
480|NE Term Limit Committee|96 May Monthly Campaign Statement|05/31/1996|06/10/1996|$100.00|PAID||||||
481|NE Term Limit Committee|96 1st General Campaign Statement|10/07/1996|10/15/1996|$80.00|PAID||||||
482|Nebraskans for an Impartial Judiciary|97 Annual Campaign Statement|02/02/1998|04/03/1998|$300.00|REDUCED|$0.00|05/07/1998||||
483|Property Tax Relief Amendment|96 April Monthly Campaign Statement|04/30/1996|05/03/1996|$30.00|PAID||||||
484|Voters for the Lincoln Children\'s Museum|Report of Late Contribution|05/11/1998|06/23/1998|$1500.00|REDUCED|$0.00|08/31/1998||||
485|Voters for the Lincoln Children\'s Museum|Report of Late Contribution|05/11/1998|06/23/1998|$1500.00|REDUCED|$0.00|08/31/1998||||
486|Voters for the Lincoln Children\'s Museum|Report of Late Contribution|05/18/1998|06/23/1998|$1500.00|REDUCED|$0.00|08/31/1998||||
487|NRA Political Victory Fund|98 1st Primary Campaign Statement|04/13/1998|06/15/1998|$300.00|PAID|||08/11/1998|||
488|NRA Political Victory Fund|98 2nd Primary Campaign Statement|05/04/1998|06/15/1998|$300.00|PAID|||08/11/1998|||
489|NE Manufactured Housing PAC|98 Post Primary Campaign Statement|06/22/1998|06/25/1998|$30.00|PAID|||08/25/1998|||
490|Ironworkers Local #21 Legislative Fund|98 2nd Primary Campaign Statement|05/04/1998|07/31/1998|$300.00|PAID|||08/20/1998|||
491|Ironworkers Local #21 Legislative Fund|98 Post Primary Campaign Statement|06/22/1998|07/31/1998|$300.00|PAID|||08/20/1998|||
492|NE Bankers State PAC|Report of Late Contribution|05/04/1998|06/22/1998|$1500.00|RED/PAID|$10.00|09/14/1998|09/14/1998|||
493|Retail PAC|Report of Late Contribution|05/11/1998|06/15/1998|$1500.00|PAID|||09/04/1998|||
494|Custer County Republican Party|98 Post Primary Campaign Statement|06/22/1998|08/03/1998|$300.00|RED/PAID|$10.00|08/24/1998|08/24/1998|||
495|Committee to Re-Elect Shirley Tyree to School Board|98 1st Primary Campaign Statement|04/13/1998|06/22/1998|$300.00|REDUCED|$0.00|09/17/1998||Tyree|Shirley|
496|Committee to Re-Elect Shirley Tyree to School Board|98 2nd Primary Campaign Statement|05/04/1998|06/22/1998|$300.00|REDUCED|$0.00|09/17/1998||Tyree|Shirley|
497|Friends of Mines for Mayor|98 Post Primary Campaign Statement|06/22/1998|07/16/1998|$240.00|REDUCED|$0.00|09/03/1998||Mines|Michael|
498|Friends of Highways PAC|98 1st Primary Campaign Statement|04/13/1998|08/19/1998|$300.00|REDUCED|$0.00|09/01/1998||||
499|Friends of Highways PAC|98 2nd Primary Campaign Statement|05/04/1998|08/19/1998|$300.00|REDUCED|$0.00|09/01/1998||||
500|Friends of Highways PAC|98 Post Primary Campaign Statement|06/22/1998|08/19/1998|$300.00|RED/PAID|$110.00|09/01/1998||||
501|Endacott for State Board of Education|94 Post General Campaign Statement|12/12/1994|12/21/1994|$90.00|PAID|||05/02/1996|Endacott|Katherine|
502|Committee to Elect Harold Obermeyer|Post Primary Campaign Statement|01/01/1996|02/01/1996|$150.00|REDUCED||||Obermeyer (Adm. Diss 9/26/02)|Harold|
503|A T & T PAC|96 Post Primary Campaign Statement|06/24/1996|06/26/1996|$20.00|REDUCED|$0.00|08/16/1996||||
504|A T & T PAC|98 2nd Primary Campaign Statement|05/04/1998|06/22/1998|$300.00|RED/PAID|$10.00|08/03/1998|08/03/1998|||
505|Ameritas Financial Services|94 2nd Primary Campaign Statement|05/02/1994|05/09/1994|$70.00|PAID||||||
506|Ameritas Financial Services|95 1st Primary Campaign Statement|03/06/1995|03/14/1995|$80.00|PAID||||||
508|Carpenters #444 COPE|97 2nd General Campaign Statement|06/23/1997|06/18/1998|$300.00|REDUCED|$0.00|10/23/1998||||
509|Carpenters #444 COPE|97 1st General Campaign Statement|05/05/1997|06/18/1998|$300.00|REDUCED|$0.00|10/23/1998||||
510|Carpenters #444 COPE|Statement of Organization|07/05/1996|01/26/1997|$300.00|REDUCED|$0.00|03/14/1997||||
511|Carpenters #444 COPE|96 Annual Campaign Statement|01/31/1997|03/19/1997|$300.00|REDUCED|$0.00|09/19/1997||||
512|Citizens for Better Schools|97 Annual Campaign Statement|02/02/1998|03/17/1998|$300.00|REDUCED|$0.00||04/13/1998|||
513|Commercial Federal Savings and Loan|95 Annual Campaign Statement|01/31/1996|02/13/1996|$130.00|PAID||||||
514|Committee for Affordable Housing|95 Annual Campaign Statement|01/31/1996|02/12/1996|$120.00|PAID||||||
515|Committee for Affordable Housing|94 1st Primary Campaign Statement|04/11/1994|04/13/1994|$20.00|PAID||||||
516|Committee for Affordable Housing|93 Annual Campaign Statement|01/31/1994|02/16/1994|$160.00|PAID||||||
517|Dealer Political Action Committee|96 2nd General Campiagn Statement|10/28/1996|12/18/1996|$300.00|PAID||||||
518|Democratic Labor Club|93 Annual Campaign Statement|01/31/1994|04/07/1994|$300.00|REDUCED|$0.00|06/16/1994||||
519|Donna\'s List|96 Post General Campaign Statement|01/06/1997|01/14/1997|$80.00|PAID||||||
520|Fire Fighters for Better Government|97 2nd General Campaign Statement|05/05/1997|05/12/1997|$70.00|PAID||||||
521|First National Bank of Omaha PAC|Report of Late Contribution|05/13/1997|05/15/1997|$100.00|REDUCED|$0.00|09/04/1997||||
523|Friends of Highways PAC|97 Annual Campaign Statement|01/06/1997|01/16/1997|$100.00|REDUCED|$0.00|09/03/1998||||
524|Gas Industry Political Fund|96 1st General Campaign Statement|10/07/1996|10/15/1996|$80.00|REDUCED|$0.00|12/26/1996||||
525|Gas Industry Political Fund|96 2nd General Campaign Statement|10/28/1996|11/01/1996|$40.00|REDUCED|$0.00|12/26/1996||||
526|Governor\'s Council|96 Post General Campaign Fund|01/06/1997|01/07/1997|$10.00|PAID||||||
527|Governor\'s Council|97 Annual Campaign Statement|02/02/1998|02/10/1998|$80.00|PAID||||||
528|Lincoln P.A.C.E.|97 Post General Campaign Statement|06/16/1997|06/20/1997|$40.00|RED/PAID|$10.00|08/01/1997|08/01/1997|||
529|Lincoln P.A.C.E.|98 1st Primary Campaign Statement|04/13/1998|04/20/1998|$70.00|PAID||||||
530|Metro Right to Life PAC|96 Post General Campaign Statement|01/06/1997|01/08/1997|$20.00|REDUCED|$0.00|04/09/1997||||
531|NRA Political Victory Fund|96 1st General Campaign Statement|10/07/1996|10/15/1996|$80.00|PAID||||||
532|NE Beer Wholesalers Association PAC|98 1st Primary Campaign Statement|04/13/1998|04/14/1998|$10.00|REDUCED|$0.00|06/09/1998||||
533|NE Consumer Credit PAC|96 2nd General Campaign Statement|10/28/1996|12/18/1996|$300.00|RED/PAID|$30.00|02/03/1997|02/03/1997|||
534|NE Federation of Young Republicans|97 Annual Campaign Statement|02/02/1998|02/03/1998|$10.00|REDUCED|$0.00|02/20/1998||||
535|NE Petroleum PAC|98 1st Primary Campaign Statement|04/13/1998|04/22/1998|$90.00|REDUCED|$0.00|05/05/1998||||
536|NE Podiatry PAC|96 Post General Campaign Statement|01/06/1997|01/15/1997|$110.00|REDUCED|$0.00|02/12/1997||||
537|NE Realtors PAC|96 1st General Campaign Statement|10/07/1996|10/09/1996|$20.00|PAID||||||
538|NE Restaurant Association PAC|97 Post General Campaign Statement|06/16/1997|06/26/1997|$100.00|REDUCED|$0.00|07/28/1997||||
539|NE Right to Life|97 Post General Campaign Statement|06/16/1997|07/10/1997|$240.00|PAID||||||
540|NE Right to Life PAC|96 2nd General Campaign Statement|10/28/1996|11/08/1996|$110.00|REDUCED|$0.00|01/04/1997||||
541|NE State Victory Committee|97 Annual Campaign Statement|02/02/1998|03/25/1998|$300.00|REDUCED|$0.00|04/08/1998||||
542|Neb Farm PAC|97 Annual Campaign Statement|02/02/1998|04/16/1998|$300.00|RED/PAID|$10.00|||||
543|NE Dental Association|98 2nd Primary Campaign Statement|05/04/1998|06/16/1998|$300.00|REDUCED|$0.00|08/17/1998||||
544|NE Manufactured Housing PAC|98 Post Primary Campaign Statement|06/22/1998|06/25/1998|$30.00|PAID|||08/25/1998|||
545|Norwest State PAC - Nebraska|96 Post General Campaign Statement|01/06/1997|01/14/1997|$80.00|PAID||||||
546|P T PAC|96 1st General Campaign Statement|10/07/1996|10/29/1996|$220.00|REDUCED|$0.00|03/17/1997||||
547|P T PAC|96 Post General Campaign Statement|01/06/1997|01/15/1997|$90.00|REDUCED|$0.00|03/17/1997||||
548|Professional Insurance Agents of Nebraska|98 2nd Primary Campaign Statement|05/04/1998|06/19/1998|$300.00|REDUCED|$0.00|07/28/1998||||
549|Pop PAC|96 1st General Campaign Statement|10/07/1996|10/15/1996|$80.00|REDUCED|$0.00|01/28/1997||||
550|Pop PAC|96 2nd General Campaign Statement|10/28/1996|11/01/1996|$40.00|RED/PAID|$10.00|01/28/1997|01/28/1997|||
551|Professionals Political Action Committee|98 2nd Primary Campaign Statement|05/04/1998|05/13/1998|$90.00|PAID||||||
552|Retail PAC|Report of Earmarked Contribution|01/06/1997|06/04/1997|$300.00|RED/PAID|$10.00|08/27/1997|08/27/1997|||
553|Retail PAC|98 2nd Primary Campaign Statement|05/04/1998|06/15/1998|$300.00|PAID|||07/23/1998|||
554|State Chamber PAC|Report of Late Contribution|05/12/1998|06/17/1998|$1500.00|REDUCED|$0.00|08/26/1998||||
555|Box Butte County Democrats|97 Annual Campaign Statement|02/02/1998|04/01/1998|$300.00|REDUCED|$0.00|||||
556|Buffalo County Republican Party|96 Post General Campaign Statement|01/06/1997|01/08/1997|$20.00|PAID||||||
557|Burt County Democratic Central Committee|97 Annual Campaign Statement|02/02/1998|04/02/1998|$300.00|REDUCED|$0.00|04/14/1998||||
558|Cass County Democrats|97 Annual Campaign Statement|02/02/1998|03/13/1998|$300.00|REDUCED|$0.00|03/24/1998||||
559|Colfax County Republican Central Committee|96 Annual Campaign Statement|01/31/1997|02/18/1997|$180.00|RED/PAID|$10.00|07/10/1997|07/10/1997|||
560|Custer County Republicans|98 1st Primary Campaign Statement|04/13/1998|04/20/1998|$70.00|REDUCED|$0.00|05/05/1998||||
561|Dakota County Democratic Party|96 Post General Campaign Statement|01/06/1997|01/16/1997|$100.00|REDUCED|$0.00|04/09/1997||||
562|Dawson County Republicans|97 Annual Campaign Statement|02/02/1998|02/17/1998|$150.00|REDUCED|$0.00|03/19/1998||||
563|Dawson County Republicans|96 Annual Campaign Statement|01/31/1997|05/27/1997|$300.00|REDUCED|$0.00|08/19/1997||||
685|Citizens to Elect Blankenship for Clerk of the District Court|1998 2nd General Campaign Statement|10/26/1998|11/17/1998|$220.00|PAID|||01/22/1999|Blankenship|Jason|
686|Buffalo County Republican Party|1998 2nd General Campaign Statement|10/26/1998|12/30/1998|$300.00|REDUCED|$0.00|02/05/1999||Heathcock|Karen|
687|Central Nebraskans for Loschen|1998 2nd General Campaign Statement|10/26/1998|10/29/1998|$30.00|PAID|||01/19/1999|Shields|Fletcher|
688|Mehring for Mayor|1998 2nd General Campaign Statement|10/26/1998|10/28/1998|$20.00|PAID|||04/14/1999|Gorka|Michael|
689|Nebraska Chapter of NASW PACE|1998 2nd General Campaign Statement|10/26/1998|10/27/1998|$10.00|REDUCED|$0.00|03/08/2000||Remington|June|
690|Nebraska committee for Medical Eye Care|1998 1st General Campaign Statement|10/05/1998|10/08/1998|$30.00|REDUCED|$0.00|02/10/1999||Goldstein|Michael|
691|Nebraska committee for Medical Eye Care|1998 Post General Campaign Statement|01/04/1998|01/06/1998|$20.00|REDUCED|$0.00|02/10/1999||Goldstein|Michael|
692|Kermit O. Pearson Re-Election Committee|1998 Statement of Organization|08/31/1998|09/18/1998|$180.00|REDUCED|$0.00|02/10/1999||Esslinger|Marcella|
693|Kermit O. Pearson Re-Election Committee|1998 2nd General Campaign Statement|10/26/1998|10/28/1998|$20.00|REDUCED|$0.00|02/10/1999||Esslinger|Marcella|
694|Keith Helms for Sheriff|1998 Statement of Organization|10/19/1998|11/23/1998|$300.00|REDUCED|$0.00|01/28/1999||Helms|Keith|
695|Keith Helms for Sheriff|1998 2nd General Campaign Statement|10/26/1998|12/18/1998|$300.00|REDUCED|$0.00|01/28/1999||Helms|Keith|
696|Friends of Floyd Vrtiska|CFLA-1|01/04/1999|01/12/1999|$80.00|REDUCED|$0.00|01/12/1999||Vrtiska|Floyd|
697|Ramon Janssen for Legislature|CFLA-1|01/04/1999|01/11/1999|$70.00|REDUCED|$0.00|01/12/1999||||
699|Alan Hersch|Report of Earmarked Contribution|10/26/1998|11/17/1998|$220.00|REDUCED|$0.00|01/20/1999||||
700|Gerald Soukup|Report of Earmarked Contribution|10/26/1998|11/17/1998|$220.00|REDUCED|$0.00|01/20/1999||||
701|Donald Nordell|Report of Earmarked Contribution|10/26/1998|11/17/1998|$220.00|REDUCED|$0.00|01/20/1999||||
702|Dan Mechtenberg|Report of Earmarked Contribution|10/26/1998|11/12/1998|$170.00|REDUCED|$0.00|01/20/1999||||
703|Raikes for Legislature|CFLA-1|01/04/1999|01/11/1999|$70.00|REDUCED|$0.00|01/13/1999||Raikes|Ron|
706|Bourne for Legislature|Report of Late Contribution|11/08/1998|01/04/1999|$1500.00|REDUCED|$0.00|02/10/1999||Bourne|Patrick|
707|Edquist for OPPD|Report of Late Contribution|10/27/1998|12/31/1998|$1500.00|RED/PAID|$40.00|03/02/1999|03/02/1999|Edquist|Keith|
708|Edquist for OPPD|Report of Late Contribution|11/02/1998|12/31/1998|$1500.00|RED/PAID|$20.00|03/02/1999|03/02/1999|Edquist|Keith|
709|Committee to Elect John W. Payne|Report of Late Contribution|11/02/1998|01/05/1999|$1500.00|REDUCED|$0.00|02/01/1999||Payne|John|
710|Committee to Re-Elect Dick Galusha|98 Post General Campaign Statement|01/04/1999|01/07/1999|$30.00|PAID|||02/03/1999|Galusha|Dick|
711|Morgheim for Mayor|98 1st General Campaign Statement|10/05/1998|10/07/1998|$20.00|REDUCED|$0.00|11/01/1999||Morgheim|Steve|
712|Morgheim for Mayor|98 Post General Campaign Statement|01/04/1999|01/08/1999|$40.00|REDUCED|$0.00|11/01/1999||Morgheim|Steve|
713|NE Right to Life|98 2nd General Campaign Statement|10/26/1998|11/25/1998|$300.00|RED/PAID|$100.00|02/04/1999||||
714|Committee to Elect Ann Rosenberry|98 Post General Campaign Statement|01/04/1999|01/06/1999|$20.00|REDUCED|$0.00|04/09/2001||Rosenberry|Ann|
715|Citizens for Mike Kennedy|98 2nd General Campaign Statement|10/26/1998|12/28/1998|$300.00|REDUCED|$0.00|01/20/1999||Kennedy|Mike|
716|Committee to Elect Paul Hartnett|CFLA-1|01/04/1999|01/11/1999|$70.00|REDUCED|$0.00|01/14/1999||Hartnett|Paul|
717|Freeman for Legislature|CFLA-1|01/04/1999|01/13/1999|$90.00|REDUCED|$0.00|02/01/1999||Freeman|Glenn|
718|Morrissey for Legislature|CFLA-1|01/04/1999|01/11/1999|$70.00|REDUCED|$0.00|03/03/1999||Morrissey|Spencer|
719|Kelley, Lehan & Hall, PC|Report of Earmarked Contribution|04/04/1997|01/15/1999|$300.00|RED/PAID|$250.00|05/10/1999|05/10/1999|||
720|Kelley, Lehan & Halll, PC|Report of Earmarked Contribution|09/22/1997|01/15/1999|$300.00|REDUCED|$0.00|05/10/1999||||
721|Kelley, Lehan & Hall, PC|Report of Earmarked Contribution|07/09/1997|01/15/1999|$300.00|REDUCED|$0.00|05/10/1999||||
722|Kelley, Lehan & Hall, PC|Report of Earmarked Contribution|05/23/1997|01/15/1999|$300.00|REDUCED|$0.00|05/10/1999||||
723|Kelley, Lehan & Hall, PC|Report of Earmarked Contribution|01/20/1997|01/15/1999|$300.00|REDUCED|$0.00|05/10/1999||||
724|Hersch, Alan|Report of Earmarked Contribution|01/19/1999|01/21/1999|$20.00|PAID|||02/05/1999|||
725|Mutual of Omaha Companies PAC|Report of Earmarked Contribution|10/26/1998|01/06/1999|$300.00|REDUCED|0.00|04/01/2011||||
732|Jim Cudaback for Legislature|98 Post General Campaign Statement|01/04/1999|01/19/1999|$150.00|REDUCED|$0.00|01/29/1999||Cudaback|Jim|
733|The Heartland Agriculture and Business Coalition Against the Lid|Report of Late Contribution|10/29/1998|12/07/1998|$1500.00|REDUCED|$0.00|02/10/1999||||
734|Dierks for Legislature|98 Post General Campaign Statement|01/04/1999|01/07/1999|$30.00|REDUCED|$0.00|02/10/1999||Dierks|Merton|
735|Chizek for Legislature|CFLA-1|01/04/1999|01/25/1999|$210.00|REDUCED|$0.00|02/08/1999||Chizek|Jerry|
736|Dawson County Republican Committee|98 1st General Campaign Statement|10/05/1998|12/22/1998|$300.00|REDUCED|$0.00|02/16/1999||||
737|Dawson County Republican Committee|98 2nd General Campaign Statement|10/26/1998|12/22/1998|$30.00|RED/PAID|$10.00|02/16/1999|02/16/1999|||
738|Knapp, Fangmeyer, Aschwege, Besse & Marsh, PC|Report of Earmarked Contribution|10/13/1998|01/12/1999|$300.00|REDUCED|$0.00|02/05/1999||||
739|NRA Political Victory Fund|98 Post General Campaign Statement|01/04/1999|01/29/1999|$250.00|PAID|||03/01/1999|||
741|Nebraska Right to Life PAC|98 2nd General Campaign Statement|10/26/1998|11/25/1998|$300.00|RED/PAID|$100.00|02/03/1999|02/03/1999|||
742|Vote On Total Equity (V.O.T.E.)|Statement of Organization|01/04/1999|01/28/1999|$240.00|REDUCED|$0.00|02/26/1999||||
743|Urwiller for Public Office|98 Post General Campaign Statement|01/04/1999|01/29/1999|$250.00|PAID|||09/20/1999|Urwiller|Dan|
744|Citizens for Nebraska\'s Future|Report of Late Contribution|10/28/1998|11/03/1998|$300.00|REDUCED|$0.00|06/04/1999||||
745|Citizens for Nebraska\'s Future|Report of Late Contribution|10/28/1998|11/03/1998|$300.00|REDUCED|$0.00|06/04/1999||||
746|Citizens for Nebraska\'s Future|Report of Late Contribution|10/28/1998|11/03/1998|$1445.26|REDUCED|0.00|04/10/2010||||
747|Citizens for Nebraska\'s Future|Report of Late Contribution|10/28/1998|11/03/1998|$300.00|REDUCED|$0.00|06/04/1999||||
748|Citizens for Nebraska\'s Future|Report of Late Contribution|10/28/1998|11/03/1998|$1000.00|PAID|||06/16/1999|||
749|Citizens for Nebraska\'s Future|Report of Late Contribution|10/28/1998|11/03/1998|$1000.00|PAID|||06/28/1999|||
750|Citizens for Nebraska\'s Future|Report of Late Contribution|10/28/1998|11/03/1998|$4000.00|PAID|||06/28/1999|||
751|Citizens for Nebraska\'s Future|Report of Late Contribution|10/28/1998|11/03/1998|$1000.00|PAID|||06/16/1999|||
752|Citizens for Nebraska\'s Future|Report of Late Contribution|10/28/1998|11/03/1998|$1000.00|PAID|||06/16/1999|||
753|Citizens for Nebraska\'s Future (Paid $337.99)|Report of Late Contribution|10/28/1998|11/03/1998|$24495.02|REDUCED|0.00|04/12/2010||||
755|Smith for Legislature|Report of Late Contribution|11/02/1998|01/06/1999|$1500.00|REDUCED|0.00|04/02/2010||Smith|Steven|
252|McCollister for MUD|93 Annual Campaign Statement|01/31/1994|02/16/1994|$160.00|REDUCED|$0.00|04/19/1994||McCollister|John|
253|Janis McKenzie for Legislature|94 1st General Campaign Statement|10/11/1994|10/13/1994|$20.00|PAID||||McKenzie|Janis|
567|Lancaster County Democratic Party|96 Annual Campaign Statement|01/31/1997|02/10/1997|$100.00|PAID||||||
568|NE Democratic State Central Committee|Report of Late Contribution|11/12/1996|01/06/1997|$1500.00|REDUCED|$0.00|12/09/1997||||
569|NE Democratic State Central Committee|Report of Late Contribution|11/04/1996|01/06/1997|$1500.00|REDUCED|$0.00|12/09/1997||||
570|Nuckolls County Democrats|96 Annual Campaign Statement|01/31/1997|02/13/1997|$130.00|RED/PAID|$10.00|04/30/1998|04/30/1998|||
571|Otoe County Democratic Central Committee|96 2nd General Campaign Statement|10/28/1996|01/06/1997|$300.00|RED/PAID|$50.00|06/18/1997|06/18/1997|||
572|Platte County Central Republican Committee|Statement of Organization|10/21/1997|11/17/1997|$270.00|REDUCED|$0.00|12/05/1997||||
573|Polk County Democratic Committee|96 Annual Campaign Statement|01/31/1997|02/07/1997|$70.00|REDUCED|$0.00|04/04/1997||||
574|Richardson County Republican Central Committee|97 Annual Campaign Statement|02/02/1998|05/11/1998|$300.00|RED/PAID|$10.00|06/16/1998|06/16/1998|||
575|Saunders County Democratic Party|97 Annual Campaign Statement|02/02/1998|02/19/1998|$170.00|REDUCED|$0.00|03/19/1998||||
576|Scotts Bluff County Republican Central Committee|97 Annual Campaign Statement|02/02/1998|02/05/1998|$30.00|REDUCED|$0.00|03/20/1998||||
577|Washington County Democratic Central Committee|96 Post Primary Campaign Statement|01/06/1997|01/15/1997|$90.00|REDUCED|$0.00|01/20/1997||||
578|Morgheim for Mayor|98 Post Primary Campaign Statement|06/22/1998|08/19/1998|$300.00|REDUCED|$0.00|09/30/1998||Morgheim|Steve|
579|Josiah Woodward for Buffalo County Assessor|98 2nd Primary Campaign Statement|05/04/1998|05/06/1998|$20.00|PAID|||11/09/1998|Woodward|Josiah|
580|Committee to Elect Monica McManigal|Statement of Organization|03/02/1998|06/17/1998|$300.00|REDUCED|$0.00|10/30/1998||McManigal|Monica|
581|Committee to Elect Monica McManigal|98 1st Primary Campaign Statement|04/12/1998|06/22/1998|$300.00|REDUCED|$0.00|10/30/1998||McManigal|Monica|
582|Committee to Elect Monica McManigal|98 2nd Primary Campaign Statement|05/04/1998|06/22/1998|$300.00|REDUCED|$0.00|10/23/1998||McManigal|Monica|
