Committee Name|Committee ID|Date Received|Transaction Date|Amount|Type of Transaction|Description|unknownNumeric
LANDIS FOR PSC|99CAC00277|01/12/2001|11/14/2000|5|C|LAST STMT CASH EXP $65.00 CK WAS ACTUALL|1627
LANDIS FOR PSC|99CAC00277|01/27/1999|01/01/1998|100|C|RETURN OF CHECK #204 DATED 11/08/1995   |1619
LANDIS FOR PSC|99CAC00277|01/27/1999|01/01/1998|45|C|RETURN OF CHECK #155 DATED 10/04/1994   |1619
DAN LYNCH FOR LEGISLATURE|99CAC00279|02/04/1998|12/31/1997|80|C|REIMBURSEMENT OF OVERPAYMENT            |1677
MATZKE FOR LEGISLATURE|99CAC00284|01/10/2001|12/31/2000|13.77|C|PAYMENT TO CFLA FUND TO DISSOLVE COMMITT|1647
FRIENDS OF DREW MILLER|99CAC00286|01/31/1996|02/01/1995|149.7|C|INTEREST ON LOAN PAID TO BANK           |1648
BEN NELSON FOR GOVERNOR|99CAC00290|01/28/2002|01/29/2001|40300|C|DONATION TO NELSON INSTITUE AT NE COMMUN|1804
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|12/31/2000|132.26|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|11/30/2000|114.49|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|10/31/2000|117.96|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|09/29/2000|113.84|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|08/31/2000|117.29|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|07/31/2000|116.94|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|06/30/2000|112.86|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|05/31/2000|116.28|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|04/28/2000|112.21|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|03/31/2000|116.34|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|02/29/2000|109.36|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/31/2001|01/31/2010|116.55|O|FIRST NATIONAL BANK, OMAHA              |1803
BEN NELSON FOR GOVERNOR|99CAC00290|01/28/2000|03/22/1999|109|C|TAX REFUND                              |1802
BEN NELSON FOR GOVERNOR|99CAC00290|01/28/2000|12/31/1999|1351.89|C|INTEREST EARNED                         |1802
COMMITTEE TO ELECT THOMAS RILEY|99CAC00300|01/30/1998|12/31/1997|29.34|C|CORRECTION OF ERROR IN CHECKBOOK        |1570
COMMITTEE TO ELECT THOMAS RILEY|99CAC00300|01/30/1998|12/31/1997|125|C|CHECK # 1035 TO MARIAN HIGH SCHOOL      |1570
COMMITTEE TO ELECT THOMAS RILEY|99CAC00300|01/30/1998|03/13/1997|7101.75|C|REFUND FROM REDSTONE                    |1570
COMMITTEE TO ELECT THOMAS RILEY|99CAC00300|01/30/1998|02/25/1997|883.35|C|REFUND FROM US WEST COMMUNICATION       |1570
COMMITTEE TO ELECT THOMAS RILEY|99CAC00300|01/30/1998|02/25/1997|680.4|C|REFUND FROM REDSTONE                    |1570
CITIZENS FOR ROBAK|99CAC00301|01/30/2012|12/31/2011|27237.05|A|value of investment|12098
FRIENDS OF FLOYD VRTISKA|99CAC00304|01/19/2005|07/13/2004|4672.39|O|CASHED IN REMAINING CDS                 |1834
FRIENDS OF FLOYD VRTISKA|99CAC00304|01/22/2004|12/02/2003|4642.28|C|ROLLED OVER 12 MONTH CD...              |1833
FRIENDS OF FLOYD VRTISKA|99CAC00304|01/14/2003|11/26/2002|4500|C|REINVESTED PORTION OF CDS CASHED IN     |1832
FRIENDS OF FLOYD VRTISKA|99CAC00304|01/14/2003|11/26/2002|5716.97|C|CASHED IN CD                            |1832
FRIENDS OF FLOYD VRTISKA|99CAC00304|01/14/2003|05/09/2002|5512.3|C|CASHED IN CD                            |1832
FRIENDS OF FLOYD VRTISKA|99CAC00304|01/15/2002|11/28/2001|333.87|C|INTEREST/MATURITY OF CD'S               |1831
FRIENDS OF FLOYD VRTISKA|99CAC00304|01/09/2001|11/28/2000|15000|O|PURCHASE OF 3 CD'S AT STATE BANK OF TABL|1830
FRIENDS OF FLOYD VRTISKA|99CAC00304|05/02/2000|04/13/2000|25|C|REIMBURSEMENT FROM SENATOR VRTISKA      |2114
FRIENDS OF FLOYD VRTISKA|99CAC00304|01/12/2000|08/09/1999|50|O|FROSTY SPECIALTY ADVERTISING            |2112
FRIENDS OF FLOYD VRTISKA|99CAC00304|01/12/2000|09/22/1999|765|O|SENATOR VRTISKA REIMBURSED FOOTBALL TICK|2112
FRIENDS OF FLOYD VRTISKA|99CAC00304|01/22/1999|06/18/1998|45|C|REIMBURSEMENT FROM VRTISKA FOR MILEAGE  |2111
WEBER FOR OPPD|99CAC00305|01/03/2008|12/14/2007|3|O|Online Software Banking fee|4425
BOB WICKERSHAM FOR LEGISLATURE|99CAC00307|02/04/2003|01/30/2003|9630.62|C|TRANSFER TO GAME & PARKS FOUNDATION     |1858
BOB WICKERSHAM FOR LEGISLATURE|99CAC00307|01/25/2002|07/02/2001|101.03|O|REFUND OF BAL ON MAIL ACCT, USPS        |1856
BOB WICKERSHAM FOR LEGISLATURE|99CAC00307|01/05/2001|11/09/2000|17|O|PARTIAL REFUND OR BOX RENT(CLOSED BOX)  |1855
HARTNETT FOR LEGISLATURE|99CAC00311|02/01/2002|02/28/2001|500|C|CONTRIUBTION RETURN TO - RJ REYNOLDS CO.|1869
HARTNETT FOR LEGISLATURE|99CAC00311|02/01/2002|02/28/2001|1000|C|CONTRIBUTION RETURN TO - LINDA FORD     |1869
HASSETT FOR MUD COMMITTEE|99CAC00313|01/12/2001|02/09/2001|169.23|C|JOURNAL BROADCASTING CREDIT             |1896
HASSETT FOR MUD COMMITTEE|99CAC00313|01/12/2001|02/09/2001|280.95|C|REFUND OF OVERCHARGE ON TV ADV.-CREDIT  |1896
SOUTH OMAHANS FOR HILGERT|99CAC00315|03/12/2003|12/01/2001|2813.6|C|U.S. POST OFFICE                        |2016
CAROL HUDKINS LEGISLATURE COMMITTEE|99CAC00318|01/23/1998|10/30/1997|949|C|NCPA REFUND OF CONTRIBUTIONS            |1902
RAMON JANSSEN FOR STATE LEGISLATURE|99CAC00321|01/22/2002|12/01/2001|2090.89|C|TO RECONCILE CAMPAIGN STMT TO BANK STMNT|1929
LOWELL JOHNSON FOR PUBLIC SERVICE COMMISSION|99CAC00324|10/06/2000|09/29/2000|305|C|CANCELLED CK #58 TO DAVID LOEFFLER      |1948
LOWELL JOHNSON FOR PUBLIC SERVICE COMMISSION|99CAC00324|10/06/2000|08/30/2000|98.33|C|CANCELLED CK #75 TO DAVID LOEFFLER      |1948
LOWELL JOHNSON FOR PUBLIC SERVICE COMMISSION|99CAC00324|06/16/2000|04/26/2000|30.45|C|REFUND FOR ADVERTISING                  |1947
LOWELL JOHNSON FOR PUBLIC SERVICE COMMISSION|99CAC00324|04/26/2000|04/20/2000|48.7|C|REFUND FOR ADVERTISING FROM MORNING SHOP|1946
SCHIMEK FOR LEGISLATURE|99CAC00327|01/29/2010|11/15/2009|-100|A|ck to cornhusker hotel for leg reception|7122
SCHIMEK FOR LEGISLATURE|99CAC00327|01/29/2010|01/21/2009|5.67|A|omaha world herald refund|7122
SCHIMEK FOR LEGISLATURE|99CAC00327|01/29/2010|01/03/2009|-100|A|ck to john carlini-pianist for leg recep|7122
SCHIMEK FOR LEGISLATURE|99CAC00327|01/29/2010|12/08/2009|50|A|check 1621 voided|7122
SCHIMEK FOR LEGISLATURE|99CAC00327|02/03/2004|12/31/2003|3.86|C|CASH ERROR CORRECTION                   |1972
SCHIMEK FOR LEGISLATURE|99CAC00327|05/02/2000|04/19/2000|200|O|200.00 DEPOSIT FOR RENT RETURNED        |1965
SCHIMEK FOR LEGISLATURE|99CAC00327|01/28/2000|12/31/1999|.2|C|ERROR IN CASH                           |1963
ROSEMARY SKRUPA FOR REGENT|99CAC00332|06/15/2000|06/13/2000|1000|C|$2000 CHECK NOT CASHED RETURNED FROM KFA|2054
TAKECHI FOR REGISTER OF DEEDS|99CAC00335|02/02/1998|01/01/1997|110.5|C|ADJUSTMENT TO BALANCE TO ACTUAL         |2060
LEE TERRY FOR CITY COUNCIL|99CAC00337|01/31/2002|12/31/2001|36.88|O|INTEREST INCOME                         |2081
LEE TERRY FOR CITY COUNCIL|99CAC00337|01/30/2001|12/31/2000|303.63|C|INT INCOME ENTERPRISE BANK OMAHA, NE    |2080
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|12/10/1999|26.91|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|11/10/1999|28.19|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|10/08/1999|23.92|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|09/10/1999|24.84|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|08/11/1999|16.06|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|07/22/1999|8.75|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|07/09/1999|22.22|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|06/11/1999|22.2|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|05/14/1999|27.12|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|04/09/1999|20.71|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|03/12/1999|21.23|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|02/12/1999|27.09|C|INTEREST                                |2079
LEE TERRY FOR CITY COUNCIL|99CAC00337|02/01/2000|01/08/1999|20.9|C|INTEREST                                |2079
BOB TWISS FOR LEGISLATURE (DISSOLVED)|99CAC00339|01/28/2008|12/31/2007|47|A|transfer to bob twiss for oppd|4634
WILSON FOR REGENT|99CAC00342|01/09/2007|12/11/2006|-100|A|GIFTS OF ACKNOWLEDGEMENT - 2 PEOPLE|6171
WILSON FOR REGENT|99CAC00342|01/04/2006|12/02/2005|100|O|GIFTS OF ACKNOWLEDGEMENT 2 PEOPLE $50|3835
WILSON FOR REGENT|99CAC00342|01/04/2006|12/12/2005|50|O|GIFT OF ACKNOWLEDGEMENT 1 PERSON $50|3835
WILSON FOR REGENT|99CAC00342|01/05/2009|12/16/2008|100|O|Gifts of aknowledgement for 2 persons|5491
WILSON FOR REGENT|99CAC00342|01/05/2009|07/22/2008|250|O|Clare for Regent fund raising event|5491
WILSON FOR REGENT|99CAC00342|01/04/2008|12/08/2007|100|O|Gifts for acknowledgement -2 people|4429
WILSON FOR REGENT|99CAC00342|01/04/2008|12/08/2007|50|O|Scudder for Regent fundraiser event |4429
WILSON FOR REGENT|99CAC00342|01/12/2010|12/10/2009|100|O|Gifts of acknowledgement for 2 persons|5664
WILSON FOR REGENT|99CAC00342|01/12/2010|11/14/2009|250|O|Citizens for Beutler event 11/14/09|5664
WILSON FOR REGENT|99CAC00342|01/12/2010|10/08/2009|100|O|Gene Carroll- City Council event 10/15|5664
WILSON FOR REGENT|99CAC00342|01/12/2010|10/05/2009|100|O|Deb Schorr for Co. Comm event 10/13/09|5664
WILSON FOR REGENT|99CAC00342|01/12/2010|06/17/2009|50|O|Jayne Snyder for City Council event 6/17|5664
WILSON FOR REGENT|99CAC00342|01/12/2010|04/15/2009|50|O|Boswell for Lincoln School Board event |5664
WILSON FOR REGENT|99CAC00342|01/12/2010|02/22/2009|125|O|Ken Svoboda for Council event 3/12/09|5664
WILSON FOR REGENT|99CAC00342|01/05/2011|12/18/2010|100|O|Gifts of acknowledgement for 2 persons|8648
WILSON FOR REGENT|99CAC00342|01/05/2011|10/18/2010|100|O|Phares for regent event|8648
WILSON FOR REGENT|99CAC00342|01/05/2011|10/01/2010|500|O|Citizens for Beutler event 11/10/10|8648
WILSON FOR REGENT|99CAC00342|01/05/2011|09/30/2010|100|O|Avery for Legislature event 10/5/10|8648
WILSON FOR REGENT|99CAC00342|01/10/2005|12/09/2004|150|C|REIMBURSE CANDIDATE FOR GIFT CERTIFICATS|1999
WILSON FOR REGENT|99CAC00342|01/10/2005|03/12/2004|35|C|LUNCHEON FEE HONORING UNMC FACULTY PERSO|1999
WILSON FOR REGENT|99CAC00342|06/21/2002|04/24/2002|100|C|REIMBURSEMENT FOR DESTROYED SIGNS       |1994
FRIENDS OF KEN WINSTON|99CAC00343|02/02/2004|03/31/2003|30.7|C|CHECK WAS NOT CASHED, AMOUNT LATER CONTR|2004
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|01/26/2005|01/21/2005|0|C|                                        |2274
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|01/26/2005|01/21/2005|727.82|O|TRANSFER CASH BALANCE TO CAROLE WOODS CO|2274
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|01/26/2005|01/21/2005|100|O|DONATE TO LINKS FOUNDATION              |2274
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|01/30/2003|01/01/2003|30|C|BEGINNING BALANCE 2036 NOT 2066         |2272
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|02/01/2002|01/30/2002|3|C|TO RECONCILE W/  12/31/01 BANK BALANCE  |2271
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|10/30/2000|10/23/2000|27|C|                                        |2269
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|10/30/2000|10/13/2000|500|O|RETURNED DONATION FROM FRATERNAL ORDER O|2269
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|06/20/2000|06/13/2000|1|C|TO AGREE WITH CHECKING BALANCE          |2267
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|05/02/2000|03/06/2000|50|C|DEPOSIT DUPLICATED                      |2266
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|01/14/2000|01/08/2000|3|C|RECONCILE W/ CHECKBOOK BALANCE          |2264
SALLY WYSONG FOR SCHOOL BOARD CAMPAIGN|99CAC00348|05/13/1999|05/11/1999|449.41|O|DONATION TO THE LINCOLN PUBLIC SCHOOLS  |2275
CITIZENS FOR NEBRASKA'S FUTURE|99BQC00004|01/25/2001|11/17/2000|1054.78|O|REFUND FOR US POSTAL SERVICE PERMIT #287|109
NEBRASKANS FOR TERM LIMITS|99BQC00006|06/30/2000|06/28/2000|46.39|C|TO MATCH BANK STATEMENT                 |116
NEBRASKANS FOR TERM LIMITS|99BQC00006|06/30/2000|02/08/1999|10|O|PAYMENT TO BRING BANK ACCOUNT CURRENT   |116
NEBRASKANS FOR TERM LIMITS|99BQC00006|06/30/2000|01/08/1999|38.71|O|PAYMENT TO BRING BANK ACCOUNT CURRENT   |116
NEBRASKANS FOR TERM LIMITS|99BQC00006|06/30/2000|02/01/1999|35|O|PAYMENT BY TREASURER FOR BANK FEES      |116
CLEAN ENVIRONMENT COMMITTEE|99BQC00008|02/08/2000|12/31/1999|5.01|C|MATH MISTAKE                            |118
CLEAN ENVIRONMENT COMMITTEE|99BQC00008|01/28/2000|12/01/1999|5.01|C|MATH MISTAKE                            |117
NEBRASKANS TO PROTECT OUR PHONE SERVICE|99BQC00009|01/31/2000|04/14/1999|1237.88|C|ADVERTISING REFUND FROM BAILEY LAUERMAN |124
JOHNSON FOR MAYOR|99CAC00002|01/31/2001|01/25/2000|150|C|ASAP PRINTING PMY ON INV# 1001          |266
JOHNSON FOR MAYOR|99CAC00002|01/31/2001|01/11/2000|30|C|MEMBERSHIP TO LWCC                      |266
JOHNSON FOR MAYOR|99CAC00002|01/31/2000|12/31/1999|1291.73|C|REFUNDS & EXPENDITURES LESS THAN $100   |264
JOHNSON FOR MAYOR|99CAC00002|06/14/1999|03/23/1999|5050|C|ADJ. FOR ITEMS REPORTED IN 6/11/99 LETTE|263
JOHNSON FOR MAYOR|99CAC00002|03/08/1999|03/08/1999|4701.34|C|CONTRIBUTIONS LESS THAT $100 AND MISCELL|260
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|06/14/2011|06/07/2011|.32|A|reconcile to bank account|10841
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|01/30/2002|01/31/2001|5|C|BANK SERVICE CHARGE                     |321
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|01/31/2001|12/31/2000|10|C|BANK CHARGES FOR RETURN CK              |320
CITIZENS FOR WESELY|99CAC00006|04/16/2004|12/31/2003|1500|C|2002 CONTRIBUTIONS DEPOSITED IN 2003    |335
CITIZENS FOR WESELY|99CAC00006|02/03/2003|12/31/2002|1500|C|2002 CONTRIBUTIONS NOT DEPOSITED YET    |334
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|01/24/2006|05/05/2005|740.49|O|IN-KIND 13@52.89 AND 1@ 52.92|3840
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|03/14/2007|03/24/2006|683.57|O|17 inkind contributions|5267
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|01/21/2005|12/17/2004|37|O|AUCTION FOR BENIFIT OF NORTH LINCOLN VOT|404
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|01/29/2004|07/14/2003|25|O|AUCTION FOR BENEFIT OF NORTH LINCOLN VOT|403
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|01/29/2004|09/12/2003|250|O|AUCTION FOR BENEFIT OF NORTH LINCOLN VOT|403
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|01/31/2000|12/31/1999|85|C|ADDED BACK CHECK #2795; NEVER CASHED    |394
BAKER FOR LEGISLATURE|99CAC00025|01/11/2012|02/01/2011|279.65|A|refund for radio ads over payment|11622
BAKER FOR LEGISLATURE|99CAC00025|01/11/2012|02/02/2011|-112|A|nfib stop payment of check 100&12 bank|11622
BAKER FOR LEGISLATURE|99CAC00025|01/30/2006|04/27/2005|25|O|ROBERT OLSEN RETURN GIFT LIMIT|3925
CITIZENS TO ELECT BLANKENSHIP FOR CLERK OF THE DIS|99CAC00031|02/02/2000|10/01/1999|112.5|C|OVERPAYMENT REFUND FROM OMAHA WORLD HERA|314
BOURNE FOR LEGISLATURE|99CAC00033|06/24/2002|01/01/1900|0|C|                                        |610
BRANDT FOR MAYOR|99CAC00034|01/13/2006|09/16/2005|150|A|PURCHASE TICKETS JEFF DAVIS FOR SHERIFF|3688
KERMIT BRASHEAR FOR LEGISLATURE|99CAC00035|01/24/2005|05/19/2004|97.58|O|REFUND FROM AT&T FOR PHONE SERVICES     |637
BRUEGGEMANN FOR SHERIFF|99CAC00037|01/28/2000|01/25/2000|46.87|C|POSTING ERROR                           |649
HAHN FOR STATE AUDITOR|99CAC00043|12/16/1999|02/28/1999|120.5|O|RECEIVED FROM KFAB RADIO WHICH RESULTED |495
JULIE HANEY FOR COUNTY TREASURER|99CAC00045|01/17/2008|02/21/2007|435|A|refund from redstone communications|5014
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|06/22/2010|06/15/2010|25|A|check not deducted from 12/14/09|6902
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|01/28/2010|12/04/2009|25|A|Check to Sec of State was not deducted|7065
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|01/11/2005|12/29/2004|567.1|C|REIM. UNUSED WIRES FROM DESIGN 4        |528
COMMITTEE TO RE-ELECT THOMAS LYNAM SARPY COUNTY SU|99CAC00056|04/15/2002|04/09/2002|50|C|RELIEF LATE FEE PREVIOUSLY REPORTED     |532
MCFARLAND FOR GOVERNOR|99CAC00061|05/01/2000|08/11/1998|927|O|REFUND OF PHONE CHARGES - US WEST COMM. |564
ROGER MORRISSEY FOR DOUGLAS COUNTY ASSESSOR|99CAC00072|06/22/2010|06/10/2010|225|A|return of late fee payment|6917
ROGER MORRISSEY FOR DOUGLAS COUNTY ASSESSOR|99CAC00072|01/18/2007|12/23/2006|668.77|O|refund of partial payment to redstone|5165
ROGER MORRISSEY FOR DOUGLAS COUNTY ASSESSOR|99CAC00072|02/03/2009|08/09/2008|100|O|rebate from at&t phones|5993
ROGER MORRISSEY FOR DOUGLAS COUNTY ASSESSOR|99CAC00072|02/04/2008|02/26/2007|34|A|refund from clear communications|4762
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|01/17/2008|05/04/2007|104.25|A|refund from time warner cable|5015
THE PRICE IS RIGHT FOR LEGISLATURE|99CAC00085|02/09/2010|01/31/2009|250|A|$250 campaign check from unclaims proper|6600
ALFREDO RAMIREZ ELECTION COMMITTEE|99CAC00087|01/30/2003|01/29/2003|137.79|O|DONATION TO NE COMMUNITY FOUNDATION     |997
REDFIELD FOR LEGISLATURE|99CAC00088|01/29/2008|06/06/2007|11736.98|O|cd matured transfered to checking acct|5597
REDFIELD FOR LEGISLATURE|99CAC00088|01/24/2011|01/03/2010|950.16|A|interest on CD|9243
REDFIELD FOR LEGISLATURE|99CAC00088|01/05/2006|01/04/2005|5246.55|A|CD CASHED TO DEPOSIT IN CAMPAIGN CHECKIN|3870
REDFIELD FOR LEGISLATURE|99CAC00088|01/14/2002|12/24/2001|5815.19|C|CASHED CERTIFICATE OF DEPOSIT           |1001
REDFIELD FOR LEGISLATURE|99CAC00088|01/30/2001|10/16/2000|1100|C|TRANSFER FROM CD TO CHECKING ACCT.      |1000
REDFIELD FOR LEGISLATURE|99CAC00088|01/28/2000|08/10/1999|6500|C|TRANSFER TO CERTIFICATE OF DEPOSIT      |999
ROBAK FOR LEGISLATURE|99CAC00090|01/15/2003|10/20/2002|47.25|C|REFUND LEIGH WORLD                      |714
ROBAK FOR LEGISLATURE|99CAC00090|01/15/2003|12/30/2002|53.28|C|REFUND LINCOLN JOURNAL STAR             |714
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|01/30/2007|04/21/2006|2370.15|O|Cashed Cornerstone Bank Certificate of D|5760
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|01/31/2005|12/31/2004|11.6|O|INTEREST ON CD                          |734
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|01/29/2004|12/31/2003|12.96|O|INTEREST EARNED FOR '03 ON CD           |733
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|01/13/2003|10/25/2002|5.77|O|INTEREST EARNED ON CD                   |732
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|10/07/2002|07/25/2002|5.7|O|NTEREST CREDITED TO CD                  |730
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|10/07/2002|08/09/2002|17.22|O|REFUND OF AD                            |730
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|10/07/2002|08/09/2002|213|O|CHECK RETURNED                          |730
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|05/07/2002|04/24/2002|6.41|C|INTEREST CREDITED TO CD                 |728
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|01/31/2002|12/31/2001|-170.07|O|INTEREST CREDITED FOR CALENDAR YEAR ON C|726
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|01/31/2002|05/15/2001|1000|O|DEPOSIT FUNDS - WITHDRAWAL FROM INVESTME|726
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|01/30/2001|12/31/2000|238.64|O|INT EARNED ON INVEST CD-COMPOUNDED BACK |725
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|01/30/2001|12/27/2000|2000|O|TRANSFER DEP TO CK ACCT-WD FROM INVESTME|725
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|01/31/2000|12/31/1999|234.94|C|INTEREST COMPONDED ON CORNERSTONE BANK C|724
COMMITTEE FOR THE RE-ELECTION OF RUDY J. TESAR|99CAC00099|02/01/2005|12/01/2004|5|C|SERV. CHARGE AT BANK                    |913
COMMITTEE FOR THE RE-ELECTION OF RUDY J. TESAR|99CAC00099|02/01/2005|11/01/2004|5|C|SERV.CHARGE AT BANK                     |913
STEVE SCHERR FOR LEGISLATURE|99CAC00104|01/10/2005|12/29/2004|69|C|SOLD T- POST                            |750
STEVE SCHERR FOR LEGISLATURE|99CAC00104|01/10/2005|12/29/2004|325|C|SOLD COMPUTER AND PRINTER               |750
DON STENBERG FOR ATTORNEY GENERAL COMMITTEE|99CAC00113|01/27/2003|12/31/2002|179.32|C|RECONCILE BANK STATEMENT                |812
THOMPSON FOR LEGISLATURE|99CAC00117|01/13/2005|03/24/2004|25|O|SALE OF OLD YARD SIGNS                  |826
ELLEN TOTZKE FOR COUNTY ATTORNEY|99CAC00120|07/17/2000|06/03/2000|4831.83|O|RETURN OF CONTRIBUTED, BUT UPSPENT FUNDS|830
WAGNER FOR SHERIFF|99CAC00125|01/29/2010|01/13/2009|100|A|Professional Association Dues|7142
WAGNER FOR SHERIFF|99CAC00125|10/25/2006|08/16/2006|50|A|REFUND OF LATE FILING FEES|5000
WAGNER FOR SHERIFF|99CAC00125|01/31/2008|12/04/2007|100|A|liba membership dues|6507
WAGNER FOR SHERIFF|99CAC00125|01/29/2010|05/12/2009|25|A|Political Event|7142
WAGNER FOR SHERIFF|99CAC00125|01/29/2010|02/17/2009|35|A|Political Event|7142
WAGNER FOR SHERIFF|99CAC00125|01/17/2007|12/14/2006|25|A|NADC LATE FILING PENALTY|5141
WAGNER FOR SHERIFF|99CAC00125|01/17/2007|11/21/2006|95|A|DUES FOR LIBA FOR 2007|5141
WAGNER FOR SHERIFF|99CAC00125|02/02/2004|04/17/2003|50|C|FUNDRAISER EVENT                        |861
WAGNER FOR SHERIFF|99CAC00125|04/19/2002|03/17/2002|50|O|KIRKLAND FOR DIST COURT CLERK FUNDRAISER|855
WAGNER FOR SHERIFF|99CAC00125|04/19/2002|01/31/2002|20|O|DENNID KEEFE FOR PUBLIC DEFENDER FUNDRAI|855
WAGNER FOR SHERIFF|99CAC00125|04/19/2002|01/14/2002|80|O|LIBA MEMBERSHIP DUES                    |855
WATSON COMMITTEE, THE|99CAC00126|01/24/2000|01/06/1999|20|C|CHECK 1027 RETURNED BY STATE OF NE      |863
COMMITTEE TO RE-ELECT CHRIS ABBOUD TO THE LEGISLAT|99CAC00138|01/31/2001|01/01/2001|1084|C|REIMBURSE COMMITTEE                     |955
SUBBY ANZALDO FOR CITY COUNCIL|99CAC00140|01/21/2000|01/08/1998|20|C|CHECK 1844 STILL OUTSTANDING            |962
SUBBY ANZALDO FOR CITY COUNCIL|99CAC00140|01/21/2000|04/01/1997|23|C|CHECK 1729 STILL OUTSTANDING            |962
SUBBY ANZALDO FOR CITY COUNCIL|99CAC00140|01/21/2000|03/17/1997|15|C|CHECK 1707 STILL OUTSTANDING            |962
BLANKENSHIP FOR COUNCIL COMMITTEE|99CAC00146|12/30/2004|12/23/2004|8.67|O|DISBURSED CAMPAIGN FUNDS TO KCHS FOUNDAT|985
ANNE BOYLE FOR PUBLIC SERVICE COMMISSION|99CAC00149|01/25/2005|12/31/2004|150|A|REBATE RECEIPT FROM SPRINT|1159
