Committee Name|Committee ID|Date Received|Contributor ID|Contribution Date|Amount|Microfilm Number|Contributor Name
MISSOURI RIVER TITLE COMPANY, INC.|99CUA00366|06/09/2004|99CAC00439|06/04/2004|1000|6810107|DIANE BATTIATO FOR REGISTER OF DEEDS
MISSOURI RIVER TITLE COMPANY, INC.|99CUA00366|07/22/2004|99CAC00439|07/20/2004|1000|6830066|DIANE BATTIATO FOR REGISTER OF DEEDS
MISSOURI RIVER TITLE COMPANY, INC.|99CUA00366|10/12/2004|99CAC00439|10/11/2004|1000|6860031|DIANE BATTIATO FOR REGISTER OF DEEDS
MISSOURI RIVER TITLE COMPANY, INC.|99CUA00366|10/28/2004|99PPC00003|10/25/2004|500|6870110|NE DEMOCRATIC PARTY
MISSOURI RIVER TITLE COMPANY, INC.|99CUA00366|11/30/2004|99CAC00439|07/27/2004|250|6880139|DIANE BATTIATO FOR REGISTER OF DEEDS
MISSOURI RIVER TITLE COMPANY, INC.|99CUA00366|03/02/2005|99CAC00442|03/01/2005|1000|6940014|MICHAEL G. FAHEY FOR MAYOR
VACANTI & RANDAZZO CONSTRUCTION COMPANY|99CUA00368|09/09/2002|99CAC00581|09/03/2002|1000|6430249|STORMY FOR GOVERNOR CAMPAIGN COMMITTEE
CYMRU AM BYTH, LTD.|99CUA00369|09/23/1998|99BQC00018|08/18/1998|100|5440219|YES FOR KIDS COMMITTEE
AMERITAS INVESTMENT CORP|99CUA00370|07/19/1996|99BQC00001|05/14/1996|585|4810185|BUILDING BETTER SCHOOLS COMMITTEE
AMERITAS INVESTMENT CORP|99CUA00370|05/12/1998|99BQC00004|04/29/1998|25000|5370108|CITIZENS FOR NEBRASKA'S FUTURE
AMERITAS INVESTMENT CORP|99CUA00370|09/10/1998|99BQC00015|09/03/1998|200|5440043|KIDS -SYRACUSE (KEEP IMPROVING DISTRICT SCHOOLS)
AMERITAS INVESTMENT CORP|99CUA00370|02/26/1999|99BQC00018|02/24/1999|330.7|5600176|YES FOR KIDS COMMITTEE
AMERITAS INVESTMENT CORP|99CUA00370|02/26/1999|99BQC00030|02/24/1999|1597.29|5600176|VOTE ON TOTAL EQUITY (V.O.T.E.)
AMERITAS INVESTMENT CORP|99CUA00370|05/28/1999|99BQC00031|05/10/1999|500|5730052|YES FOR KIDS COMMITTEE
AMERITAS INVESTMENT CORP|99CUA00370|05/09/2000|99BQC00038|04/27/2000|2000|5940043|BUILD IT OMAHA COMMITTEE
AMERITAS INVESTMENT CORP|99CUA00370|06/14/2000|99BQC00044|05/31/2000|192.67|5950146|CITIZENS FOR BETTER EDUCATION
AMERITAS INVESTMENT CORP|99CUA00370|03/09/2001|99BQC00062|03/06/2001|1573.96|6070151|GOTHENBURG SCHOOL BUILDERS
AMERITAS INVESTMENT CORP|99CUA00370|04/30/2001|99BQC00065|04/24/2001|2080|6170123|RENOVATION & MAINTENANCE OF OUR SCHOOLS
AMERITAS INVESTMENT CORP|99CUA00370|08/28/2002|99BQC00075|08/23/2002|750|6430152|CITIZENS FOR PROPERTY TAX RELIEF, FIRE & POLICE
AMERITAS INVESTMENT CORP|99CUA00370|10/22/2002|99BQC00079|10/18/2002|1490.35|6450233|VOTE 4 DISTRICT 46
AMERITAS INVESTMENT CORP|99CUA00370|10/22/2002|99BQC00077|10/21/2002|2500|6450234|YES FOR OPS KIDS COMMITTEE
AMERITAS INVESTMENT CORP|99CUA00370|03/03/2003|99BQC00079|02/26/2003|750|6530044|VOTE 4 DISTRICT 46
AMERITAS INVESTMENT CORP|99CUA00370|05/12/2003|99BQC00084|05/08/2003|544|6610220|COMMUNITY UNITED FOR EDUCATION
AMERITAS INVESTMENT CORP|99CUA00370|10/21/2003|99BQC00087|10/14/2003|500|6640044|VOTE ON TOTAL ENHANCEMENT
AMERITAS INVESTMENT CORP|99CUA00370|11/26/2003|99BQC00087|11/20/2003|750|0      |VOTE ON TOTAL ENHANCEMENT
AMERITAS INVESTMENT CORP|99CUA00370|02/26/2004|99BQC00015|02/25/2004|485.91|6690131|KIDS -SYRACUSE (KEEP IMPROVING DISTRICT SCHOOLS)
LAVISTA LOTTERY, INC.|99CUA00371|06/18/1996|99BQC00003|04/10/1996|20000|4790240|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
LAVISTA LOTTERY, INC.|99CUA00371|06/18/1996|99BQC00003|06/17/1996|25000|4790240|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
LAVISTA LOTTERY, INC.|99CUA00371|04/04/1997|99BQC00003|07/03/1996|25000|5040095|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
KMS & K ENTERPRISES, INC./AKA RALSTON KENO|99CUA00372|05/10/1996|99BQC00003|04/16/1996|5000|4760241|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
KMS & K ENTERPRISES, INC./AKA RALSTON KENO|99CUA00372|06/24/1996|99BQC00003|06/18/1996|5000|4800232|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
KMS & K ENTERPRISES, INC./AKA RALSTON KENO|99CUA00372|02/27/2001|99CAC00442|11/30/2000|1000|6060072|MICHAEL G. FAHEY FOR MAYOR
MSJ, INC. DBA PLATTSMOUTH KENO|99CUA00373|05/14/1996|99BQC00003|04/19/1996|10000|4770133|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
MSJ, INC. DBA PLATTSMOUTH KENO|99CUA00373|06/11/1996|99BQC00003|05/20/1996|10000|4790116|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
HUNTER'S KENO, INC.|99CUA00374|05/13/1996|99BQC00003|04/25/1996|2500|4770124|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
HUNTER'S KENO, INC.|99CUA00374|06/18/1996|99BQC00003|06/04/1996|2500|4790238|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
HASTINGS KENO, INC.|99CUA00375|04/29/1996|99BQC00003|04/20/1996|5000|4750230|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
HASTINGS KENO, INC.|99CUA00375|09/11/2002|99BQC00069|07/01/2002|10000|6430230|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
HASTINGS KENO, INC.|99CUA00375|09/11/2002|99BQC00069|10/31/2002|-3906.84|6430230|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
CODY KENO, INC.|99CUA00376|05/16/1996|99BQC00003|04/15/1996|5000|4770117|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
CODY KENO, INC.|99CUA00376|09/11/2002|99BQC00069|07/02/2002|10000|6430225|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
CODY KENO, INC.|99CUA00376|09/11/2002|99BQC00069|10/31/2002|-3906.84|6430225|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
CODY KENO, INC.|99CUA00376|12/01/2004|99BQC00090|08/30/2004|30000|6880133|KEEP THE MONEY IN NEBRASKA COMMITTEE, INC
DENTON DAILY DOUBLE KENO|99CUA00377|05/16/1996|99BQC00003|04/30/1996|6000|4770118|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
DENTON DAILY DOUBLE KENO|99CUA00377|08/07/1996|99BQC00003|07/03/1996|5000|4820067|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
RAYMOND KENO (PARTNERSHIP)|99CUA00378|05/16/1996|99BQC00003|04/15/1996|2000|4770142|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
HENDRICKS-SEMPECK II, INC.|99CUA00379|05/10/1996|99BQC00003|04/29/1996|5000|4760237|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
HENDRICKS-SEMPECK II, INC.|99CUA00379|10/11/1996|99BQC00003|07/08/1996|2500|4840159|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
FREMONT KENO, INC.|99CUA00380|05/21/1996|99BQC00003|05/02/1996|2500|4770214|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
FREMONT KENO, INC.|99CUA00380|04/17/1997|99BQC00003|06/15/1996|2500|5060015|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
OMAHA FIRST CORPORATION|99CUA00381|06/06/1996|99BQC00003|06/05/1996|25000|4790014|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
OMAHA FIRST CORPORATION|99CUA00381|06/28/1996|99BQC00003|06/27/1996|25000|4800234|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
OMAHA FIRST CORPORATION|99CUA00381|07/11/1996|99BQC00003|07/09/1996|25000|4810146|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
OMAHA FIRST CORPORATION|99CUA00381|04/22/1997|99CAC00275|04/21/1997|500|5060168|CITIZENS FOR KONECK
KEARNEY KENO, INC.|99CUA00382|06/13/1996|99BQC00003|06/08/1996|5000|4790111|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
CAMP RULO, INC.|99CUA00383|08/08/1996|99BQC00003|07/02/1996|3000|4820064|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
FOUR SONS INC.|99CUA00384|08/27/1996|99BQC00003|06/18/1996|15000|4820184|CITIZENS FOR LOCAL OPTION AND CONTROL COMMITTEE
ANDREWS VAN LINES, INC.|99CUA00385|11/14/1986|99CAC00176|10/01/1986|100|2240082|PIRSCH FOR LEGISLATURE (OLD, DON'T USE)
ANDREWS VAN LINES, INC.|99CUA00385|11/14/1986|99CAC00192|10/01/1986|100|2240082|GEORGE COORDSEN FOR LEGISLATURE
ANDREWS VAN LINES, INC.|99CUA00385|12/07/1988|99CAC00142|12/07/1988|100|2720062|BAACK FOR GOOD GOVERNMENT
ANDREWS VAN LINES, INC.|99CUA00385|12/07/1988|99CAC00276|10/14/1988|100|2720062|KRISTENSEN FOR LEGISLATURE
ANDREWS VAN LINES, INC.|99CUA00385|06/18/1992|99CAC00209|05/22/1992|250|3740232|ROD JOHNSON FOR PSC
ANDREWS VAN LINES, INC.|99CUA00385|09/12/1996|99CAC00340|08/21/1996|500|4830012|TYSON FOR LEGISLATURE
ANDREWS VAN LINES, INC.|99CUA00385|05/11/1998|99CAC00190|04/30/1998|1000|5370111|NEBRASKANS FOR JON CHRISTENSEN COMMITTEE
ANDREWS VAN LINES, INC.|99CUA00385|05/16/2002|99CAC00207|05/06/2002|500|6400231|MIKE JOHANNS FOR GOVERNOR
NE CHAPTER ASSOCIATED GENERAL CONTRACTORS OF AMERICA, INC.|99CUA00387|08/04/1999|99PPC00002|03/03/1999|250|5750009|NE REPUBLICAN PARTY
ATCHLEY FORD, INC.|99CUA00389|10/31/1984|99CAC00279|08/06/1984|100|1730131|DAN LYNCH FOR LEGISLATURE
ATCHLEY FORD, INC.|99CUA00389|09/26/1989|99CAC00113|09/19/1989|50|2920182|DON STENBERG FOR ATTORNEY GENERAL COMMITTEE
ATCHLEY FORD, INC.|99CUA00389|05/20/1997|99CAC00278|01/17/1997|100|5090172|LORMONG LO COMMITTEE
ATCHLEY FORD, INC.|99CUA00389|05/20/1997|99CAC00278|04/15/1997|100|5090172|LORMONG LO COMMITTEE
ATCHLEY FORD, INC.|99CUA00389|06/02/1997|99CAC00278|05/30/1997|50|5100061|LORMONG LO COMMITTEE
ATCHLEY FORD, INC.|99CUA00389|10/17/1997|99CAC00186|10/15/1997|50|5130091|FRIENDS OF DEB HOUGHTALING SARPY COUNTY CLERK
ATCHLEY FORD, INC.|99CUA00389|09/27/2000|99BQC00049|09/26/2000|500|5970249|OMAHANS FOR STREETS AND SEWERS
ATCHLEY FORD, INC.|99CUA00389|04/12/2001|99CAC00278|04/11/2001|100|6160042|LORMONG LO COMMITTEE
ATCHLEY FORD, INC.|99CUA00389|05/08/2001|99CAC00278|05/07/2001|50|6180046|LORMONG LO COMMITTEE
ATCHLEY FORD, INC.|99CUA00389|05/09/2002|99CAC00559|05/08/2002|50|6400151|COMMITTEE TO ELECT COIT FOR COUNCIL
ATCHLEY FORD, INC.|99CUA00389|06/24/2002|99CAC00201|06/21/2002|100|6420128|DUNNING FOR SHERIFF
ATCHLEY FORD, INC.|99CUA00389|04/12/2004|99PPC00002|03/15/2004|250|6780143|NE REPUBLICAN PARTY
ATCHLEY FORD, INC.|99CUA00389|09/02/2004|99CAC00432|09/01/2004|100|6840043|SCOTT KNUDSEN FOR STATE LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|09/23/1988|99PPC00002|09/23/1988|1500|2680054|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|09/23/1988|99PPC00043|09/23/1988|100|2680054|SARPY COUNTY REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|01/13/1989|99PPC00023|01/12/1989|600|2740041|DOUGLAS COUNTY DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|03/06/1989|99PPC00002|03/01/1989|240|2790213|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|03/27/1989|99PPC00043|03/03/1989|50|2850097|SARPY COUNTY REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|04/04/1989|99PPC00024|03/29/1989|250|2860141|DOUGLAS COUNTY REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|05/02/1989|99PPC00003|04/17/1989|300|2880187|NE DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|05/02/1989|99PPC00003|03/30/1989|300|2880187|NE DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|05/16/1989|99PPC00003|05/10/1989|900|2890184|NE DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/06/1989|99PPC00002|11/28/1989|1000|2930230|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|02/07/1990|99PPC00023|01/17/1990|600|2290233|DOUGLAS COUNTY DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|02/13/1990|99PPC00003|02/07/1990|400|3010087|NE DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|03/14/1990|99CAC00184|03/12/1990|250|3070037|HOPPNER FOR GOVERNOR, INC.
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|03/20/1990|99PPC00002|03/14/1990|250|3080006|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|05/07/1990|99PPC00002|05/03/1990|300|3170005|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|08/08/1990|99PPC00002|08/02/1990|1000|3220156|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|02/13/1991|99CAC00290|01/11/1991|200|3370230|BEN NELSON FOR GOVERNOR
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|02/21/1991|99CAC00290|02/18/1991|200|3390081|BEN NELSON FOR GOVERNOR
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/09/1994|99CAC00176|11/07/1994|500|4380008|PIRSCH FOR LEGISLATURE (OLD, DON'T USE)
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/09/1994|99CAC00345|11/28/1994|300|4380008|RON WITHEM FOR LEGISLATURE COMMITTEE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/09/1994|99CAC00178|11/30/1994|100|4380008|PEOPLE FOR PREISTER
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|01/06/1995|99CAC00308|12/06/1994|300|4390149|ERIC WILL FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|01/06/1995|99CAC00035|12/09/1994|300|4390149|KERMIT BRASHEAR FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|01/06/1995|99CAC00205|12/16/1994|500|4390149|JIM JENSEN FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|01/24/1995|99PPC00002|01/23/1995|350|4420025|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|02/21/1995|99PPC00003|02/14/1995|400|4430092|NE DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|03/10/1995|99CAC00273|02/20/1995|100|4440101|JONES FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|03/10/1995|99CAC00141|02/23/1995|100|4440101|MIKE AVERY FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|03/13/1995|99PPC00003|04/28/1994|2500|4460049|NE DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|04/06/1995|99CAC00279|03/15/1995|100|4530088|DAN LYNCH FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|04/06/1995|99CAC00176|03/15/1995|100|4530088|PIRSCH FOR LEGISLATURE (OLD, DON'T USE)
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|04/06/1995|99CAC00321|03/28/1995|100|4530088|RAMON JANSSEN FOR STATE LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|04/18/1995|99PPC00003|04/07/1995|5000|4530219|NE DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|05/09/1995|99CAC00321|04/07/1995|100|4540136|RAMON JANSSEN FOR STATE LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|06/07/1995|99CAC00205|05/17/1995|100|4550138|JIM JENSEN FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|06/07/1995|99CAC00304|05/17/1995|100|4550138|FRIENDS OF FLOYD VRTISKA
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|08/14/1995|99PPC00002|01/13/1995|400|4570007|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|08/14/1995|99PPC00002|03/08/1995|400|4570007|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|09/08/1995|99CAC00059|08/21/1995|100|4570049|DAVE MAURSTAD FOR LT. GOVERNOR
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|09/08/1995|99CAC00345|08/28/1995|100|4570049|RON WITHEM FOR LEGISLATURE COMMITTEE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|09/20/1995|99PPC00002|03/20/1995|200|4570080|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|10/06/1995|99CAC00315|09/18/1995|200|4570133|SOUTH OMAHANS FOR HILGERT
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|11/13/1995|99CAC00006|10/16/1995|200|4580031|CITIZENS FOR WESELY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/08/1995|99CAC00321|11/06/1995|200|4580119|RAMON JANSSEN FOR STATE LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/08/1995|99CAC00327|11/06/1995|100|4580119|SCHIMEK FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/08/1995|99CAC00250|11/06/1995|200|4580119|CITIZENS FOR CROSBY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/08/1995|99CAC00147|11/06/1995|200|4580119|BOHLKE FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/08/1995|99CAC00276|11/06/1995|200|4580119|KRISTENSEN FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/08/1995|99CAC00304|11/20/1995|100|4580119|FRIENDS OF FLOYD VRTISKA
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/08/1995|99CAC00141|11/21/1995|100|4580119|MIKE AVERY FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/08/1995|99CAC00273|11/21/1995|200|4580119|JONES FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/08/1995|99CAC00284|11/21/1995|200|4580119|MATZKE FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/08/1995|99CAC00307|11/21/1995|200|4580119|BOB WICKERSHAM FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|12/13/1995|99PPC00002|11/27/1995|1500|4580145|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|01/09/1996|99CAC00258|12/04/1995|200|4590185|COMMITTEE TO ELECT LEO PAT ENGEL
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|01/09/1996|99CAC00178|12/14/1995|200|4590185|PEOPLE FOR PREISTER
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|01/09/1996|99CAC00344|12/14/1995|200|4590185|KATHLEEN WITEK FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|01/09/1996|99CAC00035|12/18/1995|100|4590185|KERMIT BRASHEAR FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|01/09/1996|99CAC00308|12/19/1995|100|4590185|ERIC WILL FOR LEGISLATURE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|02/02/1996|99PPC00003|01/30/1996|600|4620015|NE DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|06/13/1996|99PPC00003|04/01/1996|1000|4790128|NE DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|01/17/1997|99PPC00024|01/11/1997|1500|4920012|DOUGLAS COUNTY REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|04/21/1997|99PPC00003|04/17/1997|1000|9990037|NE DEMOCRATIC PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|06/04/1997|99PPC00002|06/03/1997|500|5100110|NE REPUBLICAN PARTY
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|07/25/1997|99CAC00251|06/10/1997|1000|5110198|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|10/19/1998|99BQC00009|10/06/1998|72505|5480148|NEBRASKANS TO PROTECT OUR PHONE SERVICE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|10/23/1998|99BQC00009|10/16/1998|77700|5480149|NEBRASKANS TO PROTECT OUR PHONE SERVICE
U.S. WEST COMMUNICATIONS, INC.|99CUA00392|11/03/1998|99BQC00009|10/23/1998|60000|5520086|NEBRASKANS TO PROTECT OUR PHONE SERVICE
NEBRASKANS FIRST, INC.|99CUA00393|03/11/1993|99CAC00276|10/22/1992|100|3890104|KRISTENSEN FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|03/11/1993|99CAC00147|10/22/1992|100|3890104|BOHLKE FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|03/11/1993|99CAC00236|10/22/1992|100|3890104|SCOTT MOORE COMMITTEE
NEBRASKANS FIRST, INC.|99CUA00393|03/11/1993|99CAC00103|10/22/1992|100|3890104|SCHELLPEPER FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|03/11/1993|99CAC00103|03/02/1993|100|3890104|SCHELLPEPER FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|01/18/1994|99CAC00236|09/13/1993|100|4050189|SCOTT MOORE COMMITTEE
NEBRASKANS FIRST, INC.|99CUA00393|01/18/1994|99CAC00281|10/18/1993|100|4050189|MCKENZIE FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|01/18/1994|99CAC00103|11/15/1993|100|4050189|SCHELLPEPER FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|01/18/1994|99CAC00302|11/19/1993|100|4050189|ROBINSON FOR LEGISLATURE COMMITTEE
NEBRASKANS FIRST, INC.|99CUA00393|01/18/1994|99CAC00176|06/15/1993|100|4050189|PIRSCH FOR LEGISLATURE (OLD, DON'T USE)
NEBRASKANS FIRST, INC.|99CUA00393|05/13/1996|99CAC00344|01/05/1994|100|4770134|KATHLEEN WITEK FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|05/13/1996|99CAC00193|03/09/1994|100|4770134|JIM D. CUDABACK FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|05/13/1996|99CAC00281|03/18/1994|100|4770134|MCKENZIE FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|05/13/1996|99CAC00304|03/18/1994|100|4770134|FRIENDS OF FLOYD VRTISKA
NEBRASKANS FIRST, INC.|99CUA00393|05/13/1996|99CAC00107|09/16/1994|100|4770134|ED SCHROCK FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|05/13/1996|99CAC00344|11/08/1995|100|4770134|KATHLEEN WITEK FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|05/13/1996|99CAC00344|04/09/1996|100|4770134|KATHLEEN WITEK FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|01/09/1997|99CAC00152|01/02/1997|100|4910152|BRUNING FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|05/07/1997|99CAC00103|04/28/1997|100|5080186|SCHELLPEPER FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|06/06/1997|99CAC00301|06/04/1997|100|5100096|CITIZENS FOR ROBAK
NEBRASKANS FIRST, INC.|99CUA00393|06/06/1997|99CAC00193|06/04/1997|100|5100096|JIM D. CUDABACK FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|07/09/1998|99CAC00019|06/17/1998|100|5410197|RICHARD ALCALA FOR LEGISLATURE COMMITTEE
NEBRASKANS FIRST, INC.|99CUA00393|07/09/1998|99CAC00191|06/29/1998|100|5410197|CONNEALY FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|07/09/1998|99CAC00131|07/06/1998|100|5410197|WITEK FOR AUDITOR
NEBRASKANS FIRST, INC.|99CUA00393|10/08/1998|99CAC00152|09/08/1998|100|5470001|BRUNING FOR LEGISLATURE
NEBRASKANS FIRST, INC.|99CUA00393|10/08/1998|99CAC00109|09/08/1998|100|5470001|WESTERN NEBRASKA FOR ADRIAN SMITH
NEBRASKANS FIRST, INC.|99CUA00393|08/11/1999|99CAC00152|07/02/1999|100|5750062|BRUNING FOR LEGISLATURE
FIRST BANK & TRUST COMPANY(COZAD)|99CUA00394|08/06/1984|99PAC00041|07/31/1984|200|1690168|NE BANKERS STATE PAC
KNUDSEN, BERKHEIMER, RICHARDSON & ENDACOTT|99CUA00395|10/08/1992|99CAC00307|09/11/1992|100|3780172|BOB WICKERSHAM FOR LEGISLATURE
KNUDSEN, BERKHEIMER, RICHARDSON & ENDACOTT|99CUA00395|04/09/1993|99CAC00209|03/19/1993|88.3|3960040|ROD JOHNSON FOR PSC
KNUDSEN, BERKHEIMER, RICHARDSON & ENDACOTT|99CUA00395|05/07/1993|99PPC00003|04/12/1993|250|3970025|NE DEMOCRATIC PARTY
KNUDSEN, BERKHEIMER, RICHARDSON & ENDACOTT|99CUA00395|08/10/1993|99CAC00141|07/01/1993|44.41|4000113|MIKE AVERY FOR LEGISLATURE
KNUDSEN, BERKHEIMER, RICHARDSON & ENDACOTT|99CUA00395|11/08/1993|99CAC00158|10/26/1993|200|4020014|CITIZENS FOR LINDSAY
KNUDSEN, BERKHEIMER, RICHARDSON & ENDACOTT|99CUA00395|12/08/1993|99CAC00076|11/16/1993|50|4020205|PEOPLE FOR NOLTE COMMITTEE
