Committee Name|Committee ID|Date Last Revised|Last Revised By|Date Received|Postmark Date|Microfilm Number|Type of Contributor|PAC ID|Description Of Services|PAC Name
GOLDEN RULE FINANCIAL CORPORATION|99CUA00176|04/12/1999|        |11/02/1998|10/29/1998|5520021|C|          ||
BURLINGTON NORTHERN RAILROAD COMPANY - NO|99CUA00177|04/12/1999|        |09/24/1990|09/24/1990|3240116|C|          ||
BURLINGTON NORTHERN RAILROAD COMPANY - NO|99CUA00177|04/12/1999|        |11/09/1990|11/09/1990|3300020|C|          ||
BURLINGTON NORTHERN RAILROAD COMPANY - NO|99CUA00177|04/12/1999|        |11/13/1990|11/13/1990|3300187|C|          ||
BURLINGTON NORTHERN RAILROAD COMPANY - NO|99CUA00177|04/12/1999|        |04/13/1992|04/13/1992|3690098|C|          ||
BURLINGTON NORTHERN RAILROAD COMPANY - NO|99CUA00177|04/12/1999|        |05/12/1992|05/12/1992|3720215|C|          ||
BURLINGTON NORTHERN RAILROAD COMPANY - NO|99CUA00177|04/12/1999|        |06/18/1992|06/18/1992|3740233|C|          ||
BURLINGTON NORTHERN RAILROAD COMPANY - NO|99CUA00177|04/12/1999|        |11/12/1992|11/12/1992|3810124|C|          ||
BURLINGTON NORTHERN RAILROAD COMPANY - NO|99CUA00177|04/12/1999|        |02/07/1994|02/08/1994|4090060|C|          ||
BURLINGTON NORTHERN RAILROAD COMPANY - NO|99CUA00177|04/12/1999|        |10/03/1994|10/04/1994|4320182|C|          ||
BURLINGTON NORTHERN RAILROAD COMPANY - NO|99CUA00177|04/12/1999|        |01/08/1996|01/16/1996|4590162|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |11/13/1984|11/13/1984|1740069|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |05/07/1986|05/07/1986|2100174|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |10/23/1986|10/23/1986|2210115|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |07/25/1988|07/25/1988|2660235|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |09/12/1990|09/12/1990|3240005|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |03/04/1991|03/04/1991|3420008|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |10/09/1992|10/09/1992|3780183|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |10/08/1993|10/12/1993|4010126|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |12/27/1993|12/28/1993|4030117|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |08/14/1995|10/18/1995|4570005|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |11/06/1996|11/05/1996|4880007|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |04/29/1998|04/28/1998|5340208|C|          ||
PHILLIPS PETROLEUM COMPANY|99CUA00179|04/12/1999|        |08/21/1998|08/21/1998|5430082|C|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|04/12/1999|        |11/04/1996|11/01/1996|4870189|L|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|04/12/1999|        |03/10/1997|03/08/1997|4960238|L|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|04/12/1999|        |04/03/1998|04/01/1998|5310091|L|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|04/12/1999|        |08/24/1998|08/21/1998|5430125|L|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|04/12/1999|        |08/28/1998|08/27/1998|5430126|L|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|04/12/1999|        |09/24/1998|09/24/1998|5440228|L|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|04/12/1999|        |10/30/1998|10/29/1998|5500201|L|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|12/06/2000|SERENAD |10/12/2000|10/11/2000|5990029|C|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|02/05/2001|KAREN   |01/11/2001|01/10/2001|6030019|C|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|03/21/2001|KAREN   |02/27/2001|02/26/2001|6060065|C|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|01/28/2002|TERII   |01/24/2002|01/23/2002|2650147|C|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|03/11/2002|TERII   |03/06/2002|03/05/2002|6320141|C|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|03/25/2002|TERII   |03/20/2002|03/18/2002|6340198|C|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|06/14/2002|TERII   |06/12/2002|06/11/2002|6410132|C|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|07/29/2002|TERII   |07/23/2002|07/22/2002|6430017|C|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|10/28/2002|SERENAD |10/21/2002|10/18/2002|6450246|C|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|09/27/2004|CORIEJ  |09/24/2004|09/23/2004|6840203|L|          ||
FRATERNAL ORDER OF POLICE, LODGE NO. 8, INC.|99CUA00181|03/07/2005|CORIEJ  |02/28/2005|02/25/2005|6930249|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |01/26/1990|01/25/1990|3760052|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |05/21/1990|05/21/1990|3180070|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |09/07/1990|01/01/1901|3230171|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |11/05/1990|11/05/1990|3300018|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |09/04/1991|09/03/1991|3520009|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |11/07/1991|11/05/1991|3520245|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |01/17/1992|01/16/1992|3550010|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |02/25/1992|02/25/1992|3600242|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |04/06/1992|04/06/1992|3690165|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |07/17/1992|07/17/1992|3760053|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |11/13/1992|11/16/1992|3810170|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |12/07/1992|12/08/1992|3820135|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |03/10/1993|03/11/1993|3890108|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |05/21/1993|05/24/1993|3980143|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |07/22/1993|07/23/1993|4000032|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |09/24/1993|09/27/1993|4010060|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|12/27/1999|KIMH    |02/02/1994|06/06/1994|5770117|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |04/15/1994|04/19/1994|4230044|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |05/11/1994|05/12/1994|4260120|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |06/17/1994|06/23/1994|0000000|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |07/08/1994|07/11/1994|4300037|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |08/26/1994|08/29/1994|4310127|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |09/21/1994|09/22/1994|4320037|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |10/14/1994|10/17/1994|4340003|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |11/17/1994|10/11/1995|4370093|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |08/02/1995|10/18/1995|4560212|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |10/26/1995|01/04/1996|4570191|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |11/27/1995|12/04/1995|4580082|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |01/26/1996|01/30/1996|4600210|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |05/03/1996|05/23/1996|4750250|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |05/17/1996|05/24/1996|4770145|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |07/05/1996|07/02/1996|4810066|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |08/26/1996|08/23/1996|4820198|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |09/05/1996|09/04/1996|4820234|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |10/07/1996|10/03/1996|4840188|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |10/28/1996|10/25/1996|4860231|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |03/31/1997|03/28/1997|5040114|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |06/05/1997|06/04/1997|5100107|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |07/09/1997|07/09/1997|5110136|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |10/07/1997|10/06/1997|5130061|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |02/05/1998|02/04/1998|5210078|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |04/30/1998|04/29/1998|5340214|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |05/04/1998|05/01/1998|5360138|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |08/31/1998|08/28/1998|5440008|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |09/11/1998|06/14/1998|5440157|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |10/08/1998|10/07/1998|5470017|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |10/26/1998|10/23/1998|5500237|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |10/27/1998|10/26/1998|5500238|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |11/12/1998|11/10/1998|5530004|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|04/12/1999|        |01/08/1999|01/07/1999|5560003|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|12/22/1999|KIMH    |12/22/1999|12/20/1999|0000000|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|05/20/2002|TERII   |05/14/2002|05/13/2002|6400247|C|          ||
SEVENTY-ONE TWENTY-EIGHT, INC|99CUA00183|10/21/2002|SERENAD |10/17/2002|10/16/2002|6450104|C|          ||
ABLE PROFESSIONAL MOVERS, INC.|99CUA00184|04/12/1999|        |07/18/1996|07/17/1996|4810183|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |01/07/1986|01/07/1986|2280025|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |04/10/1987|04/10/1987|2390236|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |04/05/1990|04/05/1990|3110092|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |05/02/1990|05/02/1990|3150112|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |01/17/1991|01/16/1991|3340166|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |09/13/1993|09/14/1993|4010033|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |10/13/1993|10/14/1993|4010151|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |12/14/1993|12/15/1993|4030012|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |06/13/1994|06/14/1994|8013200|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |09/12/1994|09/15/1994|4310246|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |09/15/1994|09/16/1994|4310245|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |05/06/1996|05/03/1996|4770006|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |08/19/1996|08/16/1996|4820157|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |09/17/1996|09/16/1996|4830075|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |10/04/1996|10/02/1996|4830202|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |03/26/1997|03/25/1997|5010103|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |04/23/1997|04/21/1997|5060172|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |10/22/1997|10/21/1997|5130126|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |11/21/1997|11/20/1997|5140012|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |12/23/1997|12/22/1997|5140154|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |01/07/1998|01/07/1998|5150103|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |01/28/1998|01/27/1998|5190076|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |02/19/1998|02/18/1998|5230250|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |03/18/1998|03/17/1998|5280245|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |04/01/1998|03/31/1998|5310123|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |04/14/1998|04/13/1998|5330176|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |04/27/1998|04/24/1998|5340213|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |05/06/1998|05/05/1998|5360136|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |08/12/1998|08/13/1998|5430034|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |09/10/1998|09/14/1998|5440177|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/12/1999|        |03/05/1999|03/04/1999|5620062|C|          ||
SCOULAR COMPANY, THE|99CUA00185|05/24/1999|SHELLYS |05/19/1999|05/18/1999|5730010|C|          ||
SCOULAR COMPANY, THE|99CUA00185|01/10/2000|KIMH    |01/04/2000|01/03/2000|5770242|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/17/2000|KIMH    |04/05/2000|04/04/2000|5910037|C|          ||
SCOULAR COMPANY, THE|99CUA00185|05/10/2000|KIMH    |05/03/2000|05/02/2000|5930152|C|          ||
SCOULAR COMPANY, THE|99CUA00185|10/23/2000|KAREN   |10/16/2000|10/13/2000|5990090|C|          ||
SCOULAR COMPANY, THE|99CUA00185|02/06/2001|KAREN   |01/25/2001|01/24/2001|6040068|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/02/2001|PATTIEV |03/22/2001|03/21/2001|6110001|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/30/2001|SERENAD |04/25/2001|04/24/2001|6170014|C|          ||
SCOULAR COMPANY, THE|99CUA00185|01/14/2002|TERII   |01/11/2002|01/09/2002|6230234|C|          ||
SCOULAR COMPANY, THE|99CUA00185|02/11/2002|TERII   |02/04/2002|02/01/2002|6270231|C|          ||
SCOULAR COMPANY, THE|99CUA00185|10/15/2002|TERII   |10/07/2002|10/04/2002|6450045|C|          ||
SCOULAR COMPANY, THE|99CUA00185|12/12/2003|SERENAD |12/05/2003|12/04/2003|6640155|C|          ||
SCOULAR COMPANY, THE|99CUA00185|04/06/2004|SERENAD |04/02/2004|03/31/2004|6770031|C|          ||
SCOULAR COMPANY, THE|99CUA00185|09/27/2004|CORIEJ  |09/23/2004|09/22/2004|6840213|C|          ||
SCOULAR COMPANY, THE|99CUA00185|11/08/2004|SERENAD |11/02/2004|11/01/2004|6870228|C|          ||
PAXTON & VIERLING STEEL CO.|99CUA00186|04/12/1999|        |11/14/1989|11/14/1989|2930167|C|          ||
PAXTON & VIERLING STEEL CO.|99CUA00186|04/12/1999|        |05/21/1996|05/24/1996|4770220|C|          ||
PAXTON & VIERLING STEEL CO.|99CUA00186|04/12/1999|        |12/29/1997|12/24/1997|5140181|C|          ||
PAXTON & VIERLING STEEL CO.|99CUA00186|04/12/1999|        |02/17/1999|02/16/1999|5590131|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |01/08/1991|01/08/1991|3340069|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |01/09/1991|01/09/1991|3340060|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |12/08/1994|10/16/1995|4370243|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |03/22/1996|03/26/1996|4660139|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |04/08/1996|04/19/1996|4730224|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |05/02/1996|05/17/1996|4750228|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |06/06/1996|06/06/1996|4780238|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |09/06/1996|09/04/1996|4820218|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |10/09/1996|10/07/1996|4840151|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |11/05/1996|11/04/1996|4870194|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |01/10/1997|01/08/1997|4910140|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |02/07/1997|02/06/1997|4930163|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |03/10/1997|03/06/1997|4960240|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |04/10/1997|04/07/1997|5050080|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |05/02/1997|05/01/1997|5070218|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |05/05/1997|05/02/1997|5080158|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |06/09/1997|06/06/1997|5100146|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |07/10/1997|07/08/1997|5110123|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |10/10/1997|10/10/1997|5130048|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |11/10/1997|11/07/1997|5130218|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |01/09/1998|01/08/1998|5150090|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |02/10/1998|02/09/1998|5220134|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |05/06/1998|05/05/1998|5360095|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |06/02/1998|06/01/1998|5380203|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |09/02/1998|09/01/1998|5430223|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |10/08/1998|10/06/1998|5460204|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |11/09/1998|11/06/1998|5520187|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |12/02/1998|12/01/1998|5530127|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/12/1999|        |01/05/1999|01/04/1999|5550235|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|08/09/1999|SHELLYS |08/04/1999|08/03/1999|5750013|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|09/07/1999|SHELLYS |09/03/1999|09/02/1999|5750143|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|12/13/1999|KIMH    |12/08/1999|12/07/1999|5770044|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|01/10/2000|KIMH    |01/05/2000|01/04/2000|5770234|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/17/2000|KIMH    |04/05/2000|04/04/2000|5910015|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|05/10/2000|KIMH    |05/03/2000|05/01/2000|5930137|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|06/19/2000|SERENAD |06/12/2000|06/09/2000|5950154|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|02/05/2001|KAREN   |01/04/2001|01/03/2001|6020135|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|05/07/2001|SERENAD |05/03/2001|05/02/2001|6170136|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|07/02/2001|TERII   |06/26/2001|06/25/2001|6200106|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|12/03/2001|TERII   |11/26/2001|11/16/2001|6220123|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|12/17/2001|TERII   |12/10/2001|12/07/2001|6220184|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|02/04/2002|TERII   |01/28/2002|01/25/2002|6260244|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/15/2002|TERII   |04/11/2002|04/10/2002|6370238|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|05/06/2002|SERENAD |04/29/2002|04/26/2002|6390181|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|06/24/2002|TERII   |06/21/2002|06/20/2002|6410228|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|09/23/2002|TERII   |09/19/2002|09/18/2002|6440013|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|02/10/2003|SERENAD |02/05/2003|02/04/2003|6510042|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|05/12/2003|SERENAD |05/06/2003|05/05/2003|6610182|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|11/10/2003|SERENAD |11/03/2003|10/31/2003|6640075|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|01/05/2004|CHERYLD |12/23/2003|12/22/2003|6640209|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|03/03/2004|PATTIEV |02/16/2004|02/13/2004|6690026|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|03/03/2004|PATTIEV |02/17/2004|02/13/2004|6680025|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|04/06/2004|SERENAD |04/02/2004|04/01/2004|6770025|C|          ||
LINCOLN FINANCIAL GROUP FKA JEFFERSON PILOT  |99CUA00187|06/01/2004|CHERYLD |05/27/2004|05/26/2004|6800234|C|          ||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|04/12/1999|        |11/09/1992|11/09/1992|3810133|C|          ||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|04/12/1999|        |12/31/1992|01/04/1993|3830142|C|          ||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|04/12/1999|        |01/25/1993|01/26/1993|3850070|C|          ||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|04/12/1999|        |01/27/1993|01/28/1993|3850069|C|          ||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|04/12/1999|        |02/08/1993|02/09/1993|3860007|C|          ||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|04/12/1999|        |03/01/1993|03/02/1993|3880058|C|          ||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|04/12/1999|        |04/06/1993|04/07/1993|3960035|C|          ||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|04/12/1999|        |05/25/1993|05/26/1993|3980173|C|          ||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|04/12/1999|        |06/15/1993|06/16/1993|3990076|C|          ||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|04/12/1999|        |08/02/1993|08/03/1993|4000066|C|          ||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|04/12/1999|        |08/23/1993|08/24/1993|4000186|C|          ||
