Committee Name|Committee ID|Date Received|Date of Billing|Creditor Name|Creditor Address|Description|Amount Unpaid|Paid|Date Paid|Amount Paid|unknownNumeric
MEISTER FOR ATTORNEY GENERAL|99CAC00571|10/30/2002|08/05/2002|GOLDENROD PRINTING            |                                                  |PRINTING & PRODUCTION                             |4002.26||||2947
MEISTER FOR ATTORNEY GENERAL|99CAC00571|10/30/2002|08/15/2002|FLETCHER & ROWLEY CONSULTING  |                                                  |CONSULTING FEE                                    |2500||||2947
KOVARIK FOR LEGISLATURE|99CAC00574|04/16/2002|04/08/2002|DESIGN FOUR, INC.             |8938 L STREET                                     |YARD SIGNS                                        |2012.85||||2955
CITIZENS FOR RESTORING RESPONSIBLE GOVERNMENT|07BQC00164|12/18/2007|11/30/2007|FAIRBURY JOURNAL-NEWS|PO BOX 415; FAIRBURY, NE 68352|NEWSPAPER ADS|796.85|0||0|4919
KOVARIK FOR LEGISLATURE|99CAC00574|04/16/2002|03/12/2002|HOPPE AND ASSOCIATES          |2801 CORNHUSKER HWY                               |CANDIDATE CARDS                                   |410.02||||2955
KOVARIK FOR LEGISLATURE|99CAC00574|04/16/2002|03/14/2002|HOPPE AND ASSOCIATES          |2801 CORNHUSER HWY                                |PARTY VOTER FILE                                  |532.5||||2955
KOVARIK FOR LEGISLATURE|99CAC00574|05/23/2002|03/12/2002|HOPPE & ASSOC                 |2801 CORNHUSKER HWY                               |CANDIDATE CARDS                                   |410.02||||2956
KOVARIK FOR LEGISLATURE|99CAC00574|05/23/2002|03/14/2002|HOPPE & ASSOC                 |                                                  |PARTY VOTER FILE                                  |532.5||||2956
KOVARIK FOR LEGISLATURE|99CAC00574|05/23/2002|04/08/2002|DESIGN FOUR INC               |                                                  |YARD SIGNS                                        |512.85||||2956
KOVARIK FOR LEGISLATURE|99CAC00574|06/25/2002|03/12/2002|HOPPE & ASSOC                 |                                                  |CANDIDATE CARDS                                   |410.02||||2957
KOVARIK FOR LEGISLATURE|99CAC00574|06/25/2002|03/14/2002|HOPPE & ASSOC                 |                                                  |PARTY VOTER FIL                                   |532.5||||2957
KOVARIK FOR LEGISLATURE|99CAC00574|06/25/2002|04/08/2002|DESIGN 4                      |                                                  |YARD SIGNS                                        |512.85||||2957
COMMITTEE TO ELECT MIKE LEAHY|99CAC00577|04/15/2002|04/03/2002|OMAHA FIELD CLUB              |3615 WOOLWORTH                                    |CAMPAIGN PARTY                                    |464.85||||3069
SCHORR FOR COUNTY COMMISSIONER|99CAC00578|04/15/2002|03/14/2002|GOLDENROD PRINTING            |                                                  |PRINTING                                          |657.11||||3075
BYRD FOR STATE TREASURER|99CAC00580|05/06/2002|04/10/2002|BYRD, LORELEE                 |8237 COUNTY RD 13                                 |                                                  |666.14||||3092
STORMY FOR GOVERNOR CAMPAIGN COMMITTEE|99CAC00581|04/18/2002|04/09/2002|CARTER, RICK                  |5028 MARTIN                                       |PAYROLL                                           |1200||||2964
FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE|99CAC00526|03/08/2005|02/28/2005|MARIAN KAISER||MANAGER SALARY|2000|1|05/10/2005||3526
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|03/10/2005|02/24/2005|SCHOLZ IMAGES INC|101 N 69TH ST # 28|CAMPAIGN PHOTOGRAPHS|380||||3610
NEBRASKANS FOR LOCAL SCHOOLS|05BQC00110|07/01/2005|06/16/2005|MARILYN MEERKATZ|NEBRASKA||198.66|0||0|3831
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|03/10/2005|03/01/2005|WINNIGN DIRECTIONS|2700 S QUINCY ST 3 540|CAMPAIGN BROCHURES AND MAILING|9974.98||||3610
WERNER FOR CITY COUNCIL|99CAC00535|04/25/2005|04/04/2005|NE DEMOCRATIC PARTY|633 S. 9TH #201|AUTOMATED CALLING|1115.94|1|07/12/2005||3291
WERNER FOR CITY COUNCIL|99CAC00535|04/25/2005|03/30/2005|SUSAN HALE|3424 S. 30TH STREET|REIMBURSE FOR POSTAGE|68.98|1|07/18/2005||3291
FRIENDS FOR ABBIE CORNETT|99CAC00663|01/12/2005|11/02/2004|GOLDEN ROD PRINTING|2801 CORNHUSKER HWY LINCOLN,NE 68504|CAMPAIGN ADVERTISING,ARTWORK,TABLOID,FLYER,POSTCAR|11588.25|1|04/19/2005||3666
FRIENDS FOR ABBIE CORNETT|99CAC00663|01/12/2005|11/02/2004|ABBIE CORNETT|2601 ALBERTA AVE. BELLEVUE,NE 68147|CAMPAIGN MILEAGE REIMBURSEMENT 1066@.375|400|1|04/28/2005||3666
SHAWN TRAUDT FOR CITY COUNCIL|99CAC00717|06/16/2005|04/29/2005|QUALITY PRESS|3500 N 20 ST LINCOLN NE 68521|POST CARDS|1622.47|0|||3752
SHAWN TRAUDT FOR CITY COUNCIL|99CAC00717|06/16/2005|05/06/2005|PAYZANT CAPITOL GRAPHICS|615 S 6 ST LINCOLN NE 68508|FLYERS ON CARDSTOCK|791.8|0|||3752
SHAWN TRAUDT FOR CITY COUNCIL|99CAC00717|06/16/2005|05/11/2005|ALL NEEDS COMPUTER & MAILING S|5609 S 49 ST STE 2A LINCOLN NE 68516|INKJET NAMES AND ADDRESSES|805.66|0|||3752
NEBRASKANS FOR LOCAL SCHOOLS|05BQC00110|07/01/2005|06/16/2005|MARILYN MEERKATZ|||0|1|06/16/2005|397.32|3831
MARC KRAFT ELECTION COMMITTEE|99CAC00224|06/21/2005|05/22/2005|DESIGN  COMMUNICATIONS|6917 BEDFORD AVE OMAHA NE 68104|CONSULTING AND EXPENSE REIMBURSEMENT|2985.69|0|||3539
MARC KRAFT ELECTION COMMITTEE|99CAC00224|06/21/2005|05/06/2005|MARC KRAFT|601 N 51 ST OMAHA NE 68132|REIMBURESMENT FOR PRINTER CARTRIDGES|135.37|0|||3539
FRIEND FOR MAYOR|99CAC00690|06/22/2005|05/31/2005|LIGHT, INC.|15433 ADAMS STREET|PHOTOGRAPHY, TV ADVERTISING|2100||||3678
NEBRASKANS FOR LOCAL SCHOOLS|05BQC00110|07/01/2005|06/16/2005|NO NAME|||0|1|06/16/2005|700|3831
NEBRASKANS FOR LOCAL SCHOOLS|05BQC00110|07/01/2005|06/25/2005|ERICKSON & SEDERSTROM, PC|OMAHA, NE|LEGAL FEES - JUNE|4260.97|0||0|3831
NEBRASKANS FOR LOCAL SCHOOLS|05BQC00110|07/01/2005|06/16/2005||||33.11|0|||3831
NEBRASKANS FOR LOCAL SCHOOLS|05BQC00110|08/02/2005|06/25/2005|ERICKSON & SEDERSTROM, PC|OMAHA, NE|LEGAL FEES - JUNE|0|1|06/26/2005|4260.97|3757
MOVING GERING FORWARD|07BQC00160|08/31/2007|07/31/2007|PRINT EXPRESS|1617 AVENUE A SCOTTSBLUFF NE 69361|MARKETING - BROCHURES|0|1|08/09/2007|780.84|4421
CITIZENS FOR RESTORING RESPONSIBLE GOVERNMENT|07BQC00164|10/09/2007|05/03/2007|RESEARCH ASSOCIATES|PO BOX 5323 LINCOLN, NE 68505|CONDUCT OPINION POLL & ASSIST IN CAMPAIGN|3000|0||0|4976
LORMONG LO COMMITTEE|99CAC00278|05/08/2001|03/08/2001|EQUIFAX                       |37001 INDUSTRIAL RD, MI                           |CITY DIRECTORY SOFTWARE                           |0|1|04/10/2001|770.5|1672
COMMITTEE TO ELECT DAN MCGOVERN SHERIFF|06CAC00825|07/14/2006|04/13/2006|DESIGN COMMUNICATIONS||ADVERTISING|0|1|05/22/2006|13000|6019
LORMONG LO COMMITTEE|99CAC00278|05/08/2001|02/15/2001|SEILER & ASSOCIATES           |7801 WOOLWORTH                                    |YARD SIGNS                                        |0|1|04/26/2001|765.55|1672
LORMONG LO COMMITTEE|99CAC00278|05/08/2001|03/02/2001|JO DON'S|2332 CORNHUSKER RD.|BUS SIGNS|0||04/26/2001|1059|1672
LORMONG LO COMMITTEE|99CAC00278|03/26/2001|03/02/2001|JO DON'S|2332 CORNHUSKER RD.|BUS SIGNS|3095.89|0||0|1671
SVOBODA FOR COUNCIL COMMITTEE (DISSOLVED 06)|99CAC00008|07/13/2005|05/01/2005|KEN SVOBODA|LINCOLN,NE|REIMBURSEMENT FOR MAILING EXPENSES|1100|1|06/20/2005||3541
SVOBODA FOR COUNCIL COMMITTEE (DISSOLVED 06)|99CAC00008|07/13/2005|04/27/2005|ON YOUR MARKS|LINCOLN,NE 68512|ADVERTISING|3669.41|1|06/20/2005||3541
SVOBODA FOR COUNCIL COMMITTEE (DISSOLVED 06)|99CAC00008|07/13/2005|04/27/2005|QUALITY PRESS|3500 NO 20TH LINCOLN, NE 68521|PRINTING|311.72|1|06/20/2005||3541
SVOBODA FOR COUNCIL COMMITTEE (DISSOLVED 06)|99CAC00008|07/13/2005|04/27/2005|AZ PRINTING|LINCOLN,NE 68512|PRINTING|4267.66|1|06/20/2005||3541
SVOBODA FOR COUNCIL COMMITTEE (DISSOLVED 06)|99CAC00008|07/13/2005|04/26/2005|SIGN NOW|LINCOLN,NE|YARD SIGN|1079.63|1|07/05/2005||3541
NEW ERA IN HEALTH CARE COMMITTEE (DISSOLVED)|05BQC00107|07/26/2005|06/01/2005|SAUNDERS CO LIVESTOCK ASSOCIAT|P.O. BOX 7 WAHOO,NE 68066|FOOD FOR CAMPAIGN EVENT|600|1|08/02/2005||3756
NEW ERA IN HEALTH CARE COMMITTEE (DISSOLVED)|05BQC00107|07/26/2005|06/01/2005|SAUNDERS CO LIVESTOCK ASSOCIAT|P.O. BOX 7 WAHOO,NE 68066|FOOD FOR CAMPAIGN EVENT|600|1|08/02/2005||3756
LANGEMEIER FOR LEGISLATURE|99CAC00670|01/11/2005|11/28/2004|CHARTER ADVERTISING ST. LOUIS|3660 S. GEYER ROAD, ST. LOUIS, MO 63127|ADVERTISING|431|0|||3431
LANGEMEIER FOR LEGISLATURE|99CAC00670|01/11/2005|12/31/2004|DEAN DENHARDT|1330 WEST LAKE STREET, LINCOLN, NE 68522|POSTAGE|1712.93|1|||3431
LANGEMEIER FOR LEGISLATURE|99CAC00670|01/11/2005|12/31/2004|DEAN DENHARDT|1330 WEST LAKE STREET, LINCOLN, NE 68522|CAMPAIGN MANAGEMENT|4000|0|||3431
COMMITTEE TO ELECT STEVE GUITTAR|06CAC00803|04/25/2007|03/15/2006|GUITTAR, STEPHEN|LINCOLN, NE|PROPERTY LEASE|0|1|04/01/2006|1850|4618
YES FOR SMOKE FREE AIR COMMITTEE|99BQC00099|01/25/2005|11/15/2004|GOLDENROD PRINTING|2801 CORNHUSKER HWY, LINCOLN, NE 68504|MAILINGS, STICKERS|4863.2|0|||255
VOTE FOR THE DOGS |05BQC00109|08/24/2005|07/31/2005|IMMEDIATE SOLUTIONS|12822 AUGUST AVE OMAHA NE 68144|LOGO DESIGN|-80.25|0|||3867
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|01/11/2005|10/29/2004|AUTOMATIC PRINTING COMPANY|1715 CUMING STREET,OMAHA,NE 68102|RE-ELECT GREEN POSTCARDS AND MAILING CHARGES|2135.88|0|||528
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|01/11/2005|10/29/2004|JUDITH A. SCHWEIKART|680 NORTH 58TH STREET,OMAHA,NE68132|POSTAGE ADVANCE FOR FUNDRAISER|500|0|||528
LORMONG LO COMMITTEE|99CAC00278|06/26/2001|03/02/2001|JO DON'S|2332 CORNHUSKER RD.|BUS SIGNS|0||05/10/2001|500|1673
LORMONG LO COMMITTEE|99CAC00278|01/30/2003|03/02/2001|JO DON'S|2332 CORNHUSKER RD.|BUS SIGNS|0|1|04/26/2002|1536.89|1674
NEBRASKANS FOR LOCAL SCHOOLS|05BQC00110|08/02/2005|07/25/2005|ERICKSON & SEDERSTROM|10330 REGENCY PKWY DR.|LEGAL FEES - JULY|600|0|||3757
CITIZENS FOR RESTORING RESPONSIBLE GOVERNMENT|07BQC00164|12/18/2007|11/25/2007|KGMT-KUTT|414 4TH ST; FAIRBURY, NE 68352|RADIO ADS|756|0||0|4919
MARC KRAFT FOR LEGISLATURE|06CAC00852|06/16/2006|05/08/2006|JODON'S|2332 CORNHUSKER RD, OMAHA|BUS BENCHES|2370|0||0|5728
MARC KRAFT FOR LEGISLATURE|06CAC00852|06/16/2006|05/08/2006|PARAGON PRINTING||PRINTING|1300|0||0|5728
FRIENDS OF CHARLIE JANSSEN|07CAC01031|01/25/2008|05/15/2007|CHARLIE JANSSEN|1234 N BRISTOLWOOD, FREMONT, NE  68025|POSTAGE|164|0||0|5927
MARK CHRISTENSEN FOR LEGISLATURE|05CAC00762|01/28/2008|10/02/2006|GASOLINE|IMPERIAL|GASOLINE|0|1|01/30/2007|750|5026
CITIZENS FOR RESTORING RESPONSIBLE GOVERNMENT|07BQC00164|12/18/2007|11/01/2007|MCBATTAS PACKING & PRINTING |PO BOX 429; FAIRBURY, NE 68352|YARD SIGNS|935.18|0||0|4919
BRESLOW FOR REGENT COMMITTEE|99CAC00468|10/30/2000|10/19/2000|VOTER.COM                     |                                                  |SPACE FEE                                         |300||||2525
BRESLOW FOR REGENT COMMITTEE|99CAC00468|10/30/2000|10/19/2000|JOHN BRESLOW                  |                                                  |POSTAGE, YARD SIGN MATERIAL, INTERNET ACCESS      |566.28||||2525
BRESLOW FOR REGENT COMMITTEE|99CAC00468|10/30/2000|10/18/2000|ALPHAGRAPHICS                 |                                                  |DESIGN SERVICES                                   |373.81||||2525
FOLEY FOR THE PEOPLE - STATE AUDITOR|99CAC00470|06/19/2000|04/24/2000|MICHAEL FOLEY|6410 S 41ST CT LINCOLN,NE 68516|FILINGFEE, COPIES, STAMPS, PRINTING, ELECTIONDATA|0|1|06/12/2000|1539.77|2532
FOLEY FOR THE PEOPLE - STATE AUDITOR|99CAC00470|05/02/2000|04/24/2000|GRAPHICS PLUS||BROCHURE PREPARATION|584.15|0||0|2531
FOLEY FOR THE PEOPLE - STATE AUDITOR|99CAC00470|06/19/2000|04/24/2000|GRAPHICS PLUS||BROCHURE PREPARATION|0|1|04/26/2000|584.15|2532
FOLEY FOR THE PEOPLE - STATE AUDITOR|99CAC00470|10/31/2000|10/20/2000|DIRECT MAIL CONSORTIA|MIDWEST WEB PRESS 4950 SUPERIOR ST. LINCOLN, NE|PRINTING AND MAILING SERVICES|3000|0||0|2534
FOLEY FOR THE PEOPLE - STATE AUDITOR|99CAC00470|10/31/2000|10/16/2000|LINCOLN LAND PRINTING|5130 S.16TH ST. LINCOLN, NE 68512|PRINTING|2000|0||0|2534
FOLEY FOR THE PEOPLE - STATE AUDITOR|99CAC00470|01/17/2001|10/23/2000|MICHAEL FOLEY|6410 S.41ST CT. LINCOLN,NE 68516|FILINGFEE, COPIES, STAMPS, PRINTING, ELECTION DATA|0|1|12/30/2000|1749|2535
MARK CHRISTENSEN FOR LEGISLATURE|05CAC00762|01/24/2012|12/30/2010|MARK R. CHRISTENSEN|139 YUCCA DR IMPERIAL, NE 69033|MILEAGE IN DISTRICT CAMPAIGNING|0|1|12/31/2010|2602|11921
RON HUG FOR METRO BOARD|10CAC01430|01/30/2012|10/15/2010|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|PRINTING CAMPAIGN MATERIAL SERVICES|0|1|02/07/2011|64.2|12106
RON HUG FOR METRO BOARD|10CAC01430|01/30/2012|10/18/2010|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|PRINTING CAMPAIGN MATERIAL SERVICES|0|1|02/07/2011|64.2|12106
RON HUG FOR METRO BOARD|10CAC01430|01/30/2012|10/20/2010|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|PRINTING CAMPAIGN MATERIAL SERVICES|0|1|02/07/2011|297.46|12106
RON HUG FOR METRO BOARD|10CAC01430|01/30/2012|12/31/2011|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN,NE 68504|INTEREST DUE ON OUTSTANDING INVOICES|903.43|0||0|12106
TOM CAVANAUGH FOR COUNTY CLERK|99CAC00155|01/30/2012|10/21/2009|NE ACCOUNTABILITY & DISCLOSURE|PO BOX 95086 LINCOLN, NE 68509   |LATE FILING FEE||1||365.87|12110
BOBBI FOR COUNCIL|11CAC01575|02/01/2012|12/31/2011|GOLDENROD PRINTING||PRINTED MATERIALS|306.87|0||0|12226
SIELER FOR STATE BOARD OF EDUCATION|10CAC01511|02/01/2012|10/27/2010|PETERSEN PRINTING|4121 SO 87TH ST OMAHA, NE 68127|PRINTING & POSTAGE|0|1|12/09/2011|250|12232
MIKE GLOOR FOR LEGISLATURE|07CAC01052|01/31/2012|12/31/2010|MIKE GLOOR|3115 BRENTWOOD CR GRAND ISLAND NE|MILEAGE|0|1|01/23/2011|1173.43|12214
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|10/05/2010|09/28/2010|TRANS CANADA KEYSTONE PIPELINE|450 1ST STREET SW, OMAHA, NE|REFUND OF CONTRIBUTION|2500|0||0|7461
DENNY WILSON FOR SARPY COUNTY SURVEYOR|10CAC01391|02/01/2012|11/04/2010|PROTEXTER CONSULTING|18920 BOYLE CIRCLE OMAHA, NE 68022|CONSULTING SERVICES FOR CAMPAIGN|0|1|09/12/2011|3300|12242
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/16/2007|10/23/2006|MAKE EVENT PLANNING||CATERING EXPENSE|0|1|12/31/2006|538.34|4997
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/15/2008|11/16/2006|LINCOLN TENT INC|3900 CORNHUSKER HWY LINCOLN, NE 68504|RENTAL FIXTURES|0|1|12/31/2007|1372.81|4569
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/15/2008|12/21/2006|METROPOLITAN UTILITIES DISTRIC|1723 HARNEY ST OMAHA 68102|UTILITIES|0|1|03/14/2007|510.92|4569
BOB KRIST FOR LEGISLATURE|09CAC01380|01/31/2012|12/01/2010|CAVANAUGH LAW FIRM|1905 HARNEY ST, SUTE 710 OMAHA, NE 68102|ATTORNEY FEES-ELECTION|0|1|01/30/2011|3800|12243
ANGELIKA T.L. BYORTH FOR STATE SENATOR|99CAC00471|10/25/2004|10/25/2004|PRESORT LIMITED               |335 S 9TH,LINCOLN NE                              |CAMPAING BROCHURES                                |1000||||2206
MEYER FOR LEGISLATURE|99CAC00472|05/01/2000|03/31/2000|GOLDENROD PRINTING            |329 S. 11TH, 68508                                |BROCHURES, ART WORK, ETC.                         |1521.67||||2208
MEYER FOR LEGISLATURE|99CAC00472|05/01/2000|04/10/2000|GOLDENROD PRINTING            |329 S. 11TH, 68508                                |BROCHURES, ART WORK, ETC.                         |2827.36||||2208
MEYER FOR LEGISLATURE|99CAC00472|06/20/2000|06/13/2000|GOLDENROD PRINTING            |                                                  |BROCHURES, SIGNS, MAILING                         |6047.61||||2209
MEYER FOR LEGISLATURE|99CAC00472|02/01/2002|03/21/2000|GOLDEN ROD PRINTING           |2801 CORNHUSKER HWY LINCOLN, NEBR.                |ADVERISING,CAMPAIGN ,MATERIALS                    |6877.9||||2210
ERDMAN FOR LEGISLATURE|99CAC00429|10/10/2000|10/03/2000|PHIL ERDMAN||2000 1ST GENERAL MILEAGE|863.04|0||0|2370
ERDMAN FOR LEGISLATURE|99CAC00429|10/25/2004|10/18/2000|PHIL ERDMAN||2000 2ND GENERAL MILEAGE|435.86|0||0|2127
ERDMAN FOR LEGISLATURE|99CAC00429|01/16/2001|12/31/2000|PHIL ERDMAN||2000 POST GENERAL MILEAGE|1884.18|0||0|2119
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2002|12/31/1999|PHIL ERDMAN||1999 MILEAGE|0|1|12/31/2001|1286.5|2120
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2002|04/04/2000|PHIL ERDMAN||1ST PRIMARY 2000 MILEAGE|0|1|12/31/2001|1785.6|2120
NEIGHBORS FOR RESPONSIBLE GOVERNMENT|99CAC00481|06/19/2000|05/09/2000|DAVID CULLAN                  |540 COMM. FED. TOWER                              |FOOD & SUPPLIES FOR FUNDRAISER                    |112.59||||2608
NEIGHBORS FOR RESPONSIBLE GOVERNMENT|99CAC00481|06/19/2000|05/09/2000|MARG BADURA                   |540 COMM. FED. TOWER                              |FOOD & SUPPLIES FOR FUNDRAISER                    |63.98||||2608
TRIMBLE FOR LEGISLATURE|99CAC00486|02/13/2002|11/01/2000|GOLDENROD PRINTING            |528 S 11TH ST                                     |ADVERTISING FOR CAMPAIGN                          |1077.77||||2546
TRIMBLE FOR LEGISLATURE|99CAC00486|02/13/2002|01/01/2001|LEWIS W. JOHNSEN              |230 N. MAIN ST.                                   |ACCOUNTING SERVICES                               |250||||2546
COMMITTEE TO ELECT MARGARET HORNADY|99CAC00488|06/19/2000|02/28/2000|MARGARET HORNADY              |2120 W. BARBARA AVE                               |COUNCIL WARD FILING                               |50||||2555
COMMITTEE TO ELECT MARGARET HORNADY|99CAC00488|06/19/2000|03/10/2000|MARGARET HORNADY              |                                                  |VOTER LISTS                                       |179.4||||2555
COMMITTEE TO ELECT MARGARET HORNADY|99CAC00488|06/19/2000|03/13/2000|MARGARET HORNADY              |                                                  |VOTER LISTS                                       |85.8||||2555
COMMITTEE TO ELECT MARGARET HORNADY|99CAC00488|06/19/2000|03/14/2000|MARGARET HORNADY              |                                                  |COUNCIL PACKETS                                   |30||||2555
JOHNSON FOR REGENT|99CAC00490|10/30/2000|10/09/2000|ENTERPRISE PUBLISHING         |138 N 16TH                                        |NEWSPAPER ADV $470.00                             |0||||2570
JOHNSON FOR REGENT|99CAC00490|10/30/2000|10/10/2000|NEBRASKA PRESS                |845 S STREET                                      |NEWSPAPER ADV $470.00                             |0||||2570
BOB KRIST FOR LEGISLATURE|09CAC01380|01/31/2012|11/01/2010|JESSICA MOENNING|1202 NORFOLK AVE NORFOLK, NE 68701|CAMPAIGN CONSULTING|0|1|05/01/2011|6000|12243
PETE PIRSCH FOR LEGISLATURE|05CAC00740|01/31/2012|12/12/2011|BYWATER, DAVID|8067 ARBOR STREET, OMAHA, NE|CONSULTING|852.5|0||0|12282
SUSAN SCOTT FOR LEGISLATURE |12CAC01606|01/31/2012|12/31/2011|BUCCO, GLORIA|1117 S. 8TH STREET, LINCOLN, NE|SUPPORT STAFF|1175|0||0|12272
SUSAN SCOTT FOR LEGISLATURE |12CAC01606|01/31/2012|12/31/2011|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|MAILING|604.55|0||0|12272
BURKE HARR FOR LEGISLATURE |10CAC01392|02/03/2012|11/30/2010|MARY BARRETT|8712 W DODGE RD #220 OMAHA, NE |CAMPAIGN CONSULTING|0|1|04/01/2011|2500|12323
BURKE HARR FOR LEGISLATURE |10CAC01392|02/03/2012|12/31/2010|ANDREW R. HALE|1701 N 52 ST OMAHA, NE 68104|CAMPAIGN CONSULTING|0|1|12/15/2011|3150|12323
BURKE HARR FOR LEGISLATURE |10CAC01392|02/03/2012|11/30/2010|BJ MCQUEEN CONSULTING LLC|3405 ARMRUSTDR OMAHA, NE |CONSULTING ACCOUNTING|0|1|01/31/2011|585|12323
JOHNSON FOR REGENT|99CAC00490|10/30/2000|10/12/2000|U.S. BANCORP                  |                                                  |OFFICE SUPPLIE/POSTAGE/PRINT ADS                  |2680.31||||2570
JOHNSON FOR REGENT|99CAC00490|10/30/2000|09/20/2000|NEBRASKA PRESS                |845 S STREET                                      |NEWSPAPER ADV $470.00                             |0||||2570
HURLEY FOR PUBLIC SERVICE COMMISSION|99CAC00504|10/11/2000|09/06/2000|ENVISION                      |2004 N. 204TH                                     |FILMING ADS                                       |1000||||2808
ADAMS FOR MAYOR|99CAC00509|12/20/2000|12/18/2000|DR GORDON ADAMS               |2205 KOENIGSTEIN                                  |RTN OF FUNDS TO DR GORDON ADAMS ALL BILLS ARE PAID|965.84||||2817
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2002|06/13/2000|PHIL ERDMAN||2000 POST PRIMARY MILEAGE|0|1|12/31/2001|883.81|2120
MARC KRAFT ELECTION COMMITTEE|99CAC00224|06/21/2005|04/26/2005|MARC KRAFT|601 N 51 ST OMAHA NE 68132|REIMBURSEMENT FOR CAMPAIGN EVENT FOOD|39.48|0|||3539
MARC KRAFT ELECTION COMMITTEE|99CAC00224|06/21/2005|05/10/2005|JOAN KRAFT|601 N 51 ST OMAHA NE 68132|REIMBURSEMENT FOR CAMPAIGN EVENT FOOD|233.73|0|||3539
LANGEMEIER FOR LEGISLATURE|99CAC00670|01/11/2005|12/31/2004|DEAN DENHARDT|1330 WEST LAKE STREET, LINCOLN, NE 68522|POSTAGE||0|||3431
LANGEMEIER FOR LEGISLATURE|99CAC00670|01/11/2005|12/31/2004|DEAN DENHARDT|1330 WEST LAKE STREET, LINCOLN, NE 68522|POSTAGE|1712.93|0|||3431
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2002|10/03/2000|PHIL ERDMAN||2000 1ST GENERAL MILEAGE|0|1|12/31/2001|863.04|2120
NEBRASKANS FOR LOCAL SCHOOLS|05BQC00110|07/01/2005|06/16/2005||||33.11|1|06/17/2005||3831
COMMITTEE TO ELECT CHRIS RODGERS|99CAC00528|06/23/2004|06/15/2004|GOLDENROD PRINTING            |LINCOLN,NE                                        |PRINTING                                          |1429.05||||2672
GARDNER FOR NRD COMMITTEE|99CAC00531|11/01/2000|10/10/2000|QUICK MAILING SERVICE         |2315 N STREET                                     |MAILING SERVICE                                   |63||||2687
GARDNER FOR NRD COMMITTEE|99CAC00531|01/24/2001|12/21/2000|GOLDENROD PRINTING            |                                                  |FYLER PRINTING & POSTAGE                          |3656.6||||2688
GARDNER FOR NRD COMMITTEE|99CAC00531|01/24/2001|11/03/2000|ZAISS & CO                    |                                                  |FUNDRAISER INVITATION DESIGN                      |645.6||||2688
WERNER FOR CITY COUNCIL|99CAC00535|03/02/2001|02/07/2001|NE DEMOCRATIC PARTY           |                                                  |FINAL PAYMENT MAILING                             |1250||||2692
WERNER FOR CITY COUNCIL|99CAC00535|03/28/2001|02/07/2001|NE DEMOCRATIC PARTY           |633 S. 9TH                                        |FINAL PYMT COORDINATED MAILING                    |1250||||2693
WERNER FOR CITY COUNCIL|99CAC00535|04/23/2001|03/23/2001|BILLY'S RESTAURANT            |1301 H STREET                                     |FUNDRAISING PARTY                                 |490||||2694
RANGER RICK FOR REGENT|99CAC00538|01/24/2001|12/01/1999|Capitol Communcations LLC     |1233 Lincoln Mall #202                            |Campaign Consulting                               |2250||||2708
BRIGGS FOR CITY COUNCIL|99CAC00541|03/05/2001|02/10/2001|GOLDENROD PRINTING            |2801 CORNHUSKER                                   |PRINTING                                          |4000||||2713
BRIGGS FOR CITY COUNCIL|99CAC00541|03/05/2001|02/22/2001|BARRY'S BAR & GRILL           |9TH & Q                                           |FUNDRAISER                                        |500||||2713
BRIGGS FOR CITY COUNCIL|99CAC00541|03/26/2001|03/16/2001|GOLDENROD PRINTING            |2801 CORNHUSKER                                   |PRINTING                                          |2373.63||||2714
NEBRASKANS FOR LOCAL SCHOOLS|05BQC00110|07/01/2005|06/16/2005|MARILYN MEERKATZ|||33.11|1|06/17/2005||3831
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2002|10/18/2000|PHIL ERDMAN||2000 2ND GENERAL MILEAGE|0|1|12/31/2001|435.86|2120
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2002|12/31/2000|PHIL ERDMAN||2000 POST GENERAL MILEAGE|0|1|12/31/2001|1884.18|2120
ERDMAN FOR LEGISLATURE|99CAC00429|01/31/2002|12/31/2001|PHIL ERDMAN||2001 MILEAGE (2000 MILES DRIVEN)|690|0||0|2120
LATHROP FOR LEGISLATURE|05CAC00747|01/30/2006|10/11/2005|SIREK, DOUG||WEBSITE DESIGN & SUPPORT|705|1|01/10/2006||3852
