Form A1 ID Number|Date Received|Candidate ID|Candidate Last Name|Candidate First Name|Candidate Middle Initial|Support/Oppose|Office Sought|Office Title|Office Description
99CAC00272|10/06/1988|99FIS00272|JOHNSON|RUTH|M|0|DISTRICT #04-SOUTHEAST COMMUNITY COLLEGE          |04|SOUTHEAST COMMUNITY COLLEGE
99CAC00273|09/04/1992|99FIS00273|JONES|JAMES| |0|LEGISLATURE - DISTRICT 43-LEGISLATIVE COUNCIL     |43|LEGISLATURE
99CAC00274|04/17/1996|99FIS00274|KIEL|SHELLEY| |0|LEGISLATURE - DISTRICT 09-LEGISLATIVE COUNCIL     |09|LEGISLATURE
99CAC00275|04/21/1993|99FIS00275|KONECK|PAUL|Q|0|CITY COUNCIL DISTRICT #04-OMAHA                   |CITY COUNCIL DISTRICT #04|OMAHA
99CAC00277|02/25/1988|99FIS00276|LANDIS|FRANK|E|0|COMMISSIONER, DISTRICT #01-PUBLIC SERVICE COMMISSI|01|PUBLIC SERVICE COMMISSION
99CAC00278|02/19/1997|99FIS00277|LO|LORMONG| |0|CITY COUNCIL DISTRICT #01-OMAHA                   |CITY COUNCIL DISTRICT #01|OMAHA
07CAC01064|12/26/2007|99FIS00279|MCCOLLISTER|JOHN| |0|02|02|PUBLIC SERVICE COMMISSION
99CAC00281|04/19/1993|99FIS00280|MCKENZIE|JANIS| |0|LEGISLATURE - DISTRICT 34-LEGISLATIVE COUNCIL     |34|LEGISLATURE
99CAC00282|11/06/1992|99FIS00281|MCMULLEN|WILLIAM|C|0|COUNTY SUPERVISOR DISTRICT #06-BUFFALO            |COUNTY SUPERVISOR DISTRICT #06|BUFFALO
99CAC00283|03/02/1994|99FIS00282|MCSHANE|CAROL| |0|CITY COUNCIL AT LARGE-LINCOLN                     |CITY COUNCIL AT LARGE|LINCOLN
99CAC00284|03/08/1994|99FIS00283|MATZKE|GERALD| |0|LEGISLATURE - DISTRICT 47-LEGISLATIVE COUNCIL     |47|LEGISLATURE
99PAC00124|11/03/2000|99FIS00283|MATZKE|GERALD| |0|LEGISLATURE - DISTRICT 47-LEGISLATIVE COUNCIL     |47|LEGISLATURE
99CAC00286|10/15/1993|99FIS00285|MILLER|DREW| |0|BOARD OF REGENTS - DISTRICT 04-UNIVERSITY OF NEBRA|04|BOARD OF REGENTS
99PAC00126|11/15/2000|99FIS00285|MILLER|DREW| |0|04-BOARD OF REGENTS                               |04|BOARD OF REGENTS
99CAC00287|04/27/1988|99FIS00286|MORRISSEY|SPENCER| |0|LEGISLATURE - DISTRICT 01-LEGISLATIVE COUNCIL     |01|LEGISLATURE
99CAC00289|02/26/1990|99FIS00287|MOUL|MAXINE| |0|LIEUTENANT GOVERNOR|LIEUTENANT GOVERNOR|LIEUTENANT GOVERNOR
99CAC00288|11/21/1997|99FIS00287|MOUL|MAXINE| |0|GOVERNOR|GOVERNOR|GOVERNOR
99CAC00291|10/15/1984|99FIS00289|NELSON|DARRELL|W|0|DIRECTOR/SUBDIVISION #05-NEBRASKA PUBLIC POWER    |SUBDIVISION #05|NEBRASKA PUBLIC POWER DISTRICT
99CAC00292|07/24/1990|99FIS00290|O'BRIEN|NANCY| |0|BOARD OF REGENTS - DISTRICT 02-UNIVERSITY OF NEBRA|02|BOARD OF REGENTS
99CAC00295|03/12/1996|99FIS00293|PARK|DAN| |0|OMAHA PUBLIC POWER DIST - METR-OMAHA PUBLIC POWER |METROPOLITIAN SUBDIVISION|OMAHA PUBLIC POWER DISTRICT
99CAC00296|03/24/1995|99FIS00294|RAINES|EDWARD| |0|AIRPORT AUTHORITY-LINCOLN                         |AIRPORT AUTHORITY|LINCOLN
99CAC00297|05/29/1996|99FIS00295|RASMUSSEN|DENNIS|L|0|DIRECTOR/SUBDIVISION #01-NEBRASKA PUBLIC POWER    |SUBDIVISION #01|NEBRASKA PUBLIC POWER DISTRICT
99CAC00300|09/05/1995|99FIS00297|RILEY|THOMAS|C|0|COUNTY PUBLIC DEFENDER-DOUGLAS                    |COUNTY PUBLIC DEFENDER|DOUGLAS
99CAC00302|04/16/1990|99FIS00299|ROBINSON|CLIFTON| |0|LEGISLATURE - DISTRICT 16-LEGISLATIVE COUNCIL     |16|LEGISLATURE
99CAC00303|03/09/1978|99FIS00300|ROTH|RICHARD| |0|COUNTY SHERIFF-DOUGLAS                            |COUNTY SHERIFF|DOUGLAS
99CAC00304|01/27/1992|99FIS00301|VRTISKA|FLOYD| |0|LEGISLATURE - DISTRICT 01-LEGISLATIVE COUNCIL     |01|LEGISLATURE
99CAC00305|03/29/1996|99FIS00302|WEBER|DELBERT| |0|METROPOLITIAN SUBDIVISION-OMAHA PUBLIC POWER DISTR|METROPOLITIAN SUBDIVISION|OMAHA PUBLIC POWER DISTRICT
99CAC00307|02/27/1991|99FIS00304|WICKERSHAM|WILLIAM|R|0|LEGISLATURE - DISTRICT 49-LEGISLATIVE COUNCIL     |49|LEGISLATURE
99CAC00308|02/16/1990|99FIS00305|WILL|ERIC| |0|LEGISLATURE - DISTRICT 08-LEGISLATIVE COUNCIL     |08|LEGISLATURE
99CAC00310|01/28/1987|99FIS00307|WILSON|LINDA| |0|CITY COUNCIL DISTRICT #02-LINCOLN                 |CITY COUNCIL DISTRICT #02|LINCOLN
99CAC00313|08/08/1988|99FIS00310|HASSETT|JERRY| |0|AT LARGE-METROPOLITAN UTILITIES DISTRICT          |AT LARGE|METROPOLITAN UTILITIES DISTRICT
99CAC00406|07/26/1999|99FIS00311|HERD|CLIFFORD| |0|CITY COUNCIL DISTRICT #06-OMAHA                   |CITY COUNCIL DISTRICT #06|OMAHA
99CAC00314|04/11/1994|99FIS00311|HERD|CLIFFORD| |0|CITY COUNCIL DISTRICT #05-OMAHA                   |CITY COUNCIL DISTRICT #05|OMAHA
99CAC00315|10/10/1995|99FIS00312|HILGERT|JOHN| |0|LEGISLATURE - DISTRICT 07-LEGISLATIVE COUNCIL     |07|LEGISLATURE
99CAC00317|01/15/1988|99FIS00314|HUDKINS|LARRY| |0|COUNTY COMMISSIONER - DIST 02-LANCASTER           |COUNTY COMMISSIONER DIST. #02|LANCASTER
99CAC00318|01/16/1992|99FIS00315|HUDKINS|CAROL| |0|LEGISLATURE - DISTRICT 21-LEGISLATIVE COUNCIL     |21|LEGISLATURE
99CAC00321|04/13/1992|99FIS00318|JANSSEN|RAMON| |0|15-LEGISLATURE                                    |15|LEGISLATURE
99CAC00585|03/01/2002|99FIS00320|RYAN|JERRY| |0|MAYOR-BELLEVUE                                    |MAYOR|BELLEVUE
99CAC00324|10/27/1993|99FIS00321|JOHNSON|LOWELL| |0|COMMISSIONER, DISTRICT #03-PUBLIC SERVICE COMMISSI|03|PUBLIC SERVICE COMMISSION
99CAC00325|10/18/1984|99FIS00322|JOHNSON|RALPH| |0|SUBDIVISION #02-NEBRASKA PUBLIC POWER DISTRICT    |SUBDIVISION #02|NEBRASKA PUBLIC POWER DISTRICT
99CAC00326|10/08/1996|99FIS00323|SAVAGE|RICK| |0|DISTRICT #04-STATE BOARD OF EDUCATION             |04|STATE BOARD OF EDUCATION
99CAC00327|12/29/1987|99FIS00324|SCHIMEK|DIANNA| |0|27-LEGISLATURE                                    |27|LEGISLATURE
99CAC00328|08/14/1978|99FIS00325|SCHUMACHER|PAUL|M|0|22|22|LEGISLATURE
99CAC00331|10/07/1992|99FIS00328|SHOECRAFT|JERRY|D|0|CITY COUNCIL DISTRICT #01-LINCOLN                 |CITY COUNCIL DISTRICT #01|LINCOLN
99CAC00332|03/14/1988|99FIS00329|SKRUPA|ROSEMARY|M|0|08-BOARD OF REGENTS                               |08|BOARD OF REGENTS
99CAC00332|03/14/1988|99FIS00329|SKRUPA|ROSEMARY|M|0|08-BOARD OF REGENTS                               |08|BOARD OF REGENTS
99PAC00126|11/15/2000|99FIS00329|SKRUPA|ROSEMARY|M|0|08-BOARD OF REGENTS                               |08|BOARD OF REGENTS
99CAC00335|04/22/1996|99FIS00331|TAKECHI|RICHARD|N|0|COUNTY REGISTER OF DEEDS-DOUGLAS                  |COUNTY REGISTER OF DEEDS|DOUGLAS
99CAC00334|01/08/1980|99FIS00331|TAKECHI|RICHARD|N|0|CITY COUNCIL DISTRICT #05-OMAHA                   |CITY COUNCIL DISTRICT #05|OMAHA
99CAC00337|01/29/1991|99FIS00333|TERRY|LEE| |0|CITY COUNCIL - DISTRICT 04-OMAHA                  |CITY COUNCIL DISTRICT #04|OMAHA
99CAC00340|04/12/1996|99FIS00336|TYSON|EUGENE| |0|LEGISLATURE - DISTRICT 19-LEGISLATIVE COUNCIL     |19|LEGISLATURE
99CAC00341|02/20/1997|99FIS00337|VANKAT|DAVID| |0|CITY COUNCIL DISTRICT #04-OMAHA                   |CITY COUNCIL DISTRICT #04|OMAHA
99CAC00342|01/03/1990|99FIS00338|WILSON|CHARLES|S|0|01-BOARD OF REGENTS                               |01|BOARD OF REGENTS
99CAC00349|03/20/1991|99FIS00344|YOUNG|DALE| |0|CITY COUNCIL DISTRICT #03-LINCOLN                 |CITY COUNCIL DISTRICT #03|LINCOLN
99CAC00581|02/21/2002|99FIS00351|DEAN|STORMY|L|0|GOVERNOR-GOVERNOR                                 |GOVERNOR|GOVERNOR
99CAC00357|09/09/1998|99FIS00353|HOPPE|RICHARD| |0|COUNTY COMMISSIONER - DIST 05-LANCASTER           |COUNTY COMMISSIONER DIST. #05|LANCASTER
99CAC00358|09/17/1998|99FIS00354|MCDUFFIE|CHERYL|L|0|County Clerk,                                     |COUNTY CLERK|ADAMS
99CAC00365|10/19/1998|99FIS00361|KLINGLER|MICHELE| |0|COUNTY REGISTER OF DEEDS-ADAMS                    |COUNTY REGISTER OF DEEDS|ADAMS
99CAC00366|10/20/1998|99FIS00362|THOMLISON|SHIRLEY| |0|COUNTY REGISTER OF DEEDS-BUFFALO                  |COUNTY REGISTER OF DEEDS|BUFFALO
99CAC00367|10/23/1998|99FIS00363|WEED|DORALENE| |0|DIRECTOR/SUBDIVISION #03-NEBRASKA PUBLIC POWER    |SUBDIVISION #03|NEBRASKA PUBLIC POWER DISTRICT
99CAC00374|10/29/1998|99FIS00368|MERRILL|WILLIAM|A|0|DIRECTOR-LOUP RIVER PUBLIC POWER                  |DIRECTOR|LOUP RIVER PUBLIC POWER DISTRICT
99CAC00376|11/02/1998|99FIS00369|TROESTER|PHILIP| |0|DISTRICT #06-STATE BOARD OF EDUCATION             |06|STATE BOARD OF EDUCATION
99CAC00377|11/09/1998|99FIS00370|ROSSELL|REBECCA| |0|COUNTY CLERK-LINCOLN                              |COUNTY CLERK|LINCOLN
99CAC00379|11/13/1998|99FIS00372|PILLER|KATHRYN| |0|DISTRICT #08-STATE BOARD OF EDUCATION             |08|STATE BOARD OF EDUCATION
99CAC00558|03/28/2001|99FIS00372|PILLER|KATHRYN| |0|CITY COUNCIL DISTRICT #01-OMAHA                   |CITY COUNCIL DISTRICT #01|OMAHA
99CAC00381|10/21/1998|99FIS00374|DENKER|FRED| |0|COUNTY COMMISSIONER-DAKOTA                        |COUNTY COMMISSIONER|DAKOTA
99CAC00382|12/10/1998|99FIS00375|WOOD|SHARON|A|0|COUNTY TREASURER-DAWSON                           |COUNTY TREASURER|DAWSON
06CAC00809|03/20/2006|99FIS00375|WOOD|SHARON|A|0|COUNTY TREASURER|COUNTY TREASURER|DAWSON
11CAC01597|10/24/2011|99FIS00377|QUANDAHL|MARK| |0|02|02|STATE BOARD OF EDUCATION
99CAC00384|03/08/1999|99FIS00377|QUANDAHL|MARK| |1|31-LEGISLATURE                                    |31|LEGISLATURE
99CAC00385|03/15/1999|99FIS00378|MCROY|ANNETTE| |0|CITY COUNCIL DISTRICT #04-LINCOLN                 |CITY COUNCIL DISTRICT #04|LINCOLN
99CAC00386|03/16/1999|99FIS00379|REICHERT|RANDALL|A|0|MAYOR-LINCOLN                                     |MAYOR|LINCOLN
99CAC00387|03/25/1999|99FIS00380|JOHNSON|JIM| |0|SCHOOL BOARD - DIST 06-LINCOLN                    |SCHOOL BOARD - DIST 06|LINCOLN
99CAC00514|12/02/1996|99FIS00519|LAMBERTY|LOUIS|E|0|MAYOR-OMAHA                                       |MAYOR|OMAHA
99CAC00027|01/20/1978|99FIS01825|BEMIS|FRANK|W|0|COUNTY ASSESSOR-DOUGLAS                           |COUNTY ASSESSOR|DOUGLAS
06CAC00990|10/27/2006|99FIS01933|CHRISTENSEN|MELVIN|L|0|COUNTY SHERIFF|COUNTY SHERIFF|CHERRY
99CAC00193|03/26/1990|99FIS01972|CUDABACK|JIM|D|0|LEGISLATURE - DISTRICT 36-LEGISLATIVE COUNCIL     |36|LEGISLATURE
99CAC00407|05/20/1999|99FIS01998|DICKEY|ROBERT|R|0|LEGISLATURE - DISTRICT 18-LEGISLATIVE COUNCIL     |18|LEGISLATURE
99CAC00258|03/14/1994|99FIS02063|ENGEL|L. PATRICK| |0|LEGISLATURE - DISTRICT 17-LEGISLATIVE COUNCIL     |17|LEGISLATURE
99CAC00696|07/29/2004|99FIS02122|GARVEY|THOMAS|J|0|COUNTY PUBLIC DEFENDER-SARPY                      |COUNTY PUBLIC DEFENDER|SARPY
10CAC01502|10/26/2010|99FIS02553|NEWMAN|MARIETTA|J|0|COUNTY TREASURER|COUNTY TREASURER|PLATTE
99CAC00076|03/30/1984|99FIS02565|NOLTE|DANIEL|F|0|COUNTY CLERK|COUNTY CLERK|LANCASTER
06CAC00810|03/22/2006|99FIS02842|SMITH|RICHARD|T|0|COUNTY ATTORNEY|COUNTY ATTORNEY|GAGE
99CAC00099|02/03/1978|99FIS02907|TESAR|RUDY|J|0|COUNTY CLERK OF DISTRICT COURT-DOUGLAS            |COUNTY CLERK OF DISTRICT COURT|DOUGLAS
99CAC00101|10/06/1982|99FIS02915|THOMAS|PATRICK|J|0|COUNTY SHERIFF-SARPY                              |COUNTY SHERIFF|SARPY
99CAC00467|04/17/2000|99FIS03058|MONAHAN|JAMES|H|0|CITY COUNCIL DISTRICT #06-OMAHA                   |CITY COUNCIL DISTRICT #06|OMAHA
99CAC00079|03/19/1998|99FIS03063|PAYNE|JOHN|W|0|BOARD OF REGENTS - DISTRICT 06-UNIVERSITY OF NEBRA|06|BOARD OF REGENTS
05CAC00755|11/22/2005|99FIS03072|ASHFORD|BRAD 'JOHN'||0|20|20|LEGISLATURE
99CAC00243|04/13/1989|99FIS03076|CHAMBERS|ERNIE|W|0|LEGISLATURE - DISTRICT 11-LEGISLATIVE COUNCIL     |11|LEGISLATURE
99CAC00244|03/29/1984|99FIS03077|CHIZEK|GERALD|E|0|LEGISLATURE - DISTRICT 31-LEGISLATIVE COUNCIL     |31|LEGISLATURE
06CAC00820|03/31/2006|99FIS03080|DECAMP|JOHN|W|0|30|30|LEGISLATURE
99CAC00257|04/11/1986|99FIS03081|ELMER|W. OWEN| |0|LEGISLATURE - DISTRICT 44-LEGISLATIVE COUNCIL     |44|LEGISLATURE
99CAC00311|03/06/1984|99FIS03089|HARTNETT|D. PAUL|P|0|LEGISLATURE - DISTRICT 45-LEGISLATIVE COUNCIL     |45|LEGISLATURE
99CAC00017|03/14/1978|99FIS03097|LANDIS|DAVID|M|0|LEGISLATURE - DISTRICT 46-LEGISLATIVE COUNCIL     |46|LEGISLATURE
99CAC00279|04/09/1984|99FIS03100|LYNCH|DANIEL| |0|LEGISLATURE - DISTRICT 13-LEGISLATIVE COUNCIL     |13|LEGISLATURE
99CAC00061|10/15/1997|99FIS03102|MCFARLAND|JAMES|D|0|GOVERNOR-GOVERNOR                                 |GOVERNOR|GOVERNOR
99CAC00176|03/14/1978|99FIS03107|PIRSCH|CAROL MCBR| |0|LEGISLATURE - DISTRICT 10-LEGISLATIVE COUNCIL     |10|LEGISLATURE
99CAC00175|02/28/1996|99FIS03107|PIRSCH|CAROL MCBR| |0|COUNTY COMMISSIONER - DIST 05-DOUGLAS             |COUNTY COMMISSIONER DIST. #05|DOUGLAS
99CAC00103|03/27/1986|99FIS03111|SCHELLPEPER|STANLEY|A|0|LEGISLATURE - DISTRICT 18-LEGISLATIVE COUNCIL     |18|LEGISLATURE
99CAC00513|09/26/1980|99FIS03114|WARNER|JEROME| |0|LEGISLATURE - DISTRICT 25-LEGISLATIVE COUNCIL     |25|LEGISLATURE
99CAC00510|09/14/1981|99FIS03116|WESELY|DONALD|R|0|LEGISLATURE - DISTRICT 26-LEGISLATIVE COUNCIL     |26|LEGISLATURE
99CAC00345|03/01/1982|99FIS03117|WITHEM|RONALD|E|0|LEGISLATURE - DISTRICT 14-LEGISLATIVE COUNCIL     |14|LEGISLATURE
99CAC00608|06/20/2002|99FIS03140|HLAVA|FRED|E|0|49-LEGISLATURE                                    |49|LEGISLATURE
06CAC00950|10/02/2006|99FIS03147|MERCER|RICHARD|W|0|AT LARGE|AT LARGE|NATURAL RESOURCE DISTRICT
99CAC00207|08/26/1986|99FIS02290|JOHANNS|MICHAEL|O|0|GOVERNOR-GOVERNOR                                 |GOVERNOR|GOVERNOR
99CAC00506|08/26/1986|99FIS02290|JOHANNS|MICHAEL|O|0|MAYOR-LINCOLN                                     |MAYOR|LINCOLN
99CAC00167|04/12/1996|99FIS02381|KRISTENSEN|DOUGLAS|A|0|3RD DISTRICT DELEGATE-NATIONAL CONVENTION         |3RD DISTRICT DELEGATE|NATIONAL CONVENTION
99CAC00276|01/22/1988|99FIS02381|KRISTENSEN|DOUGLAS|A|0|LEGISLATURE - DISTRICT 37-LEGISLATIVE COUNCIL     |37|LEGISLATURE
06CAC00848|04/10/2006|99FIS03366|BOYD|WAYNE|E|0|SUBDIVISION #11|SUBDIVISION #11|NEBRASKA PUBLIC POWER DISTRICT
08CAC01109|04/04/2008|99FIS03414|FEHRINGER|BERNARD|G|0|47|47|LEGISLATURE
99CAC00615|08/05/2002|99FIS03484|KUNCL|LAWRENCE|G|0|SUBDIVISION #09-NEBRASKA PUBLIC POWER DISTRICT    |SUBDIVISION #09|NEBRASKA PUBLIC POWER DISTRICT
08CAC01208|10/08/2008|99FIS03484|KUNCL|LAWRENCE|G|0|SUBDIVISION #09|SUBDIVISION #09|NEBRASKA PUBLIC POWER DISTRICT
06CAC00872|04/26/2006|99FIS03569|ROETHEMEYER|WILLIS|D|0|COUNTY COMMISSIONER DIST. #03|COUNTY COMMISSIONER DIST. #03|LINCOLN
99CAC00336|09/18/1984|99FIS03621|TAYLOR|LESLIE|S|0|DIRECTOR/SUBDIVISION #07-NEBRASKA PUBLIC POWER    |SUBDIVISION #07|NEBRASKA PUBLIC POWER DISTRICT
99CAC00122|05/07/1986|99FIS03629|ULRICH|FREDERICK|J|0|OMAHA PUBLIC POWER DIST - SOUT-OMAHA PUBLIC POWER |SOUTH SUBDIVISION|OMAHA PUBLIC POWER DISTRICT
99CAC00233|10/24/1990|99FIS04670|LOEWENSTEIN|TIMOTHY|L|0|COUNTY SUPERVISOR DISTRICT #03-BUFFALO            |COUNTY SUPERVISOR DISTRICT #03|BUFFALO
06CAC00985|10/23/2006|99FIS04670|LOEWENSTEIN|TIMOTHY|L|0|COUNTY SUPERVISOR DISTRICT #03|COUNTY SUPERVISOR DISTRICT #03|BUFFALO
10CAC01493|10/07/2010|99FIS04760|DANNEHL|HORACE|L|0|COUNTY TREASURER|COUNTY TREASURER|BUFFALO
06CAC00798|02/16/2006|99FIS04075|JARECKE|DENNIS|E|0|34|34|LEGISLATURE
99CAC00140|01/19/1989|99FIS04257|ANZALDO, SR.|SEBASTIAN|A|0|CITY COUNCIL DISTRICT #03-OMAHA                   |CITY COUNCIL DISTRICT #03|OMAHA
99CAC00140|06/28/2000|99FIS04257|ANZALDO, SR.|SEBASTIAN|A|0|CITY COUNCIL DISTRICT #03-OMAHA                   |CITY COUNCIL DISTRICT #03|OMAHA
10CAC01446|04/27/2010|99FIS04314|EXON|STEPHEN|J|0|MAYOR|MAYOR|BELLEVUE
08CAC01133|04/21/2008|99FIS04314|EXON|STEPHEN|J|0|COUNTY COMMISSIONER DIST. #03|COUNTY COMMISSIONER DIST. #03|SARPY
99CAC00260|04/05/1989|99FIS04314|EXON|STEPHEN|J|0|CITY COUNCIL DISTRICT #03|CITY COUNCIL DISTRICT #03|OMAHA
05CAC00736|09/15/2005|99FIS04375|MCCLURG|JAMES|E|0|05|05|BOARD OF REGENTS
99CAC00018|11/29/1989|99FIS04420|AGENA|NORMAN|H|0|COUNTY ASSESSOR-LANCASTER                         |COUNTY ASSESSOR|LANCASTER
99CAC00587|03/15/2002|99FIS04420|AGENA|NORMAN|H|0|COUNTY ASSESSOR-LANCASTER                         |COUNTY ASSESSOR|LANCASTER
99CAC00113|09/05/1985|99FIS04465|STENBERG|DONALD|B|0|ATTORNEY GENERAL-DEPARTMENT OF JUSTICE            |ATTORNEY GENERAL|ATTORNEY GENERAL
99CAC00114|11/19/1990|99FIS04482|STEWART|JACQUELYN|E|0|COUNTY CLERK OF DISTRICT COURT-SEWARD             |COUNTY CLERK OF DISTRICT COURT|SEWARD
06CAC00851|04/10/2006|99FIS03872|SCHROCK|EDWARD|J|0|SUBDIVISION #06|SUBDIVISION #06|NEBRASKA PUBLIC POWER DISTRICT
99CAC00107|02/03/1994|99FIS03872|SCHROCK|EDWARD|J|0|LEGISLATURE - DISTRICT 38-LEGISLATIVE COUNCIL     |38|LEGISLATURE
99CAC00268|02/17/1987|99FIS03879|GUTGSELL|JO BETH| |0|CITY COUNCIL AT LARGE-LINCOLN                     |CITY COUNCIL AT LARGE|LINCOLN
99CAC00025|11/20/1997|99FIS03938|BAKER|THOMAS|C|0|LEGISLATURE - DISTRICT 44-LEGISLATIVE COUNCIL     |44|LEGISLATURE
99CAC00186|11/03/1989|99FIS03965|HOUGHTALING|DEBRA|J|0|COUNTY CLERK-SARPY                                |COUNTY CLERK|SARPY
99CAC00097|05/01/1990|99FIS04633|SVOBODA|STEVEN|C|0|COUNTY COMMISSIONER - DIST 05-LANCASTER           |COUNTY COMMISSIONER DIST. #05|LANCASTER
99CAC00155|03/20/1987|99FIS04892|CAVANAUGH|THOMAS|F|0|COUNTY CLERK-DOUGLAS                              |COUNTY CLERK|DOUGLAS
99CAC00347|03/25/1992|99FIS05080|HARRIS-WOODS|CAROLE|E|0|COUNTY COMMISSIONER - DIST 03-DOUGLAS             |COUNTY COMMISSIONER DIST. #03|DOUGLAS
99CAC00141|03/19/1992|99FIS05087|AVERY|MICHAEL|T|0|LEGISLATURE - DISTRICT 03-LEGISLATIVE COUNCIL     |03|LEGISLATURE
99CAC00178|08/07/1992|99FIS05095|PREISTER|DONALD|G|0|LEGISLATURE - DISTRICT 05-LEGISLATIVE COUNCIL     |05|LEGISLATURE
99CAC00519|12/29/1995|99FIS05185|KLEIN|LELAND|C|0|LEGISLATURE - DISTRICT 19-LEGISLATIVE COUNCIL     |19|LEGISLATURE
99CAC00517|09/03/1992|99FIS05206|DAY|CONNIE|J|0|LEGISLATURE - DISTRICT 19-LEGISLATIVE COUNCIL     |19|LEGISLATURE
07CAC01038|09/27/2007|99FIS05214|SCUDDER|EARL|H|0|01|01|BOARD OF REGENTS
99CAC00015|01/19/1993|99FIS05252|DONALDSON|CURTIS|L|0|CITY COUNCIL DISTRICT #04-LINCOLN                 |CITY COUNCIL DISTRICT #04|LINCOLN
99CAC00640|02/20/2003|99FIS05252|DONALDSON|CURTIS|L|0|CITY COUNCIL DISTRICT #01-LINCOLN                 |CITY COUNCIL DISTRICT #01|LINCOLN
99PAC00132|05/05/2003|99FIS05252|DONALDSON|CURTIS|L|0|CITY COUNCIL DISTRICT #01-LINCOLN                 |CITY COUNCIL DISTRICT #01|LINCOLN
99CAC00245|03/24/1993|99FIS05269|CHRISTENSEN|FRANKLIN|T|0|CITY COUNCIL DISTRICT #07-OMAHA                   |CITY COUNCIL DISTRICT #07|OMAHA
99CAC00592|03/26/2002|99FIS05318|KIRKLAND|SUZANNE|M|0|COUNTY CLERK OF DISTRICT COURT-LANCASTER          |COUNTY CLERK OF DISTRICT COURT|LANCASTER
05CAC00743|10/26/2005|99FIS05418|GAY|TIMOTHY|W|0|14|14|LEGISLATURE
99CAC00216|11/01/1993|99FIS05418|GAY|TIMOTHY|W|0|COUNTY COMMISSIONER - DIST 02-SARPY               |COUNTY COMMISSIONER DIST. #02|SARPY
99CAC00036|12/10/1993|99FIS05443|BROWN|PAMELA|K|0|LEGISLATURE - DISTRICT 06-LEGISLATIVE COUNCIL     |06|LEGISLATURE
06CAC00857|04/12/2006|99FIS05483|SCHRAM|TIMOTHY|M|0|03|03|PUBLIC SERVICE COMMISSION
99CAC00106|02/03/1994|99FIS05483|SCHRAM|TIMOTHY|M|0|COUNTY COMMISSIONER DIST. #05-SARPY               |COUNTY COMMISSIONER DIST. #05|SARPY
99CAC00312|03/07/1994|99FIS05535|HASSEBROOK|CHUCK|H|0|03-BOARD OF REGENTS                               |03|BOARD OF REGENTS
99PAC00126|11/15/2000|99FIS05535|HASSEBROOK|CHUCK|H|0|03-BOARD OF REGENTS                               |03|BOARD OF REGENTS
99CAC00512|01/14/1994|99FIS05536|MAURSTAD|DAVID|I|0|LEGISLATURE - DISTRICT 30-LEGISLATIVE COUNCIL     |30|LEGISLATURE
99CAC00059|01/14/1994|99FIS05536|MAURSTAD|DAVID|I|0|LIEUTENANT GOVERNOR-LIEUTENANT GOVERNOR           |LIEUTENANT GOVERNOR|LIEUTENANT GOVERNOR
99CAC00204|12/23/1993|99FIS05540|JAMES|RICHARD|D|0|COUNTY TREASURER-SARPY                            |COUNTY TREASURER|SARPY
99CAC00048|01/21/1994|99FIS05555|HEINEMAN|DAVID|E|0|STATE TREASURER-STATE TREASURER                   |STATE TREASURER|STATE TREASURER
05CAC00722|04/08/2005|99FIS05555|HEINEMAN|DAVID|E|0|GOVERNOR|GOVERNOR|GOVERNOR
99CAC00058|03/04/1998|99FIS05568|MATZKE, JR.|STANLEY|A|0|LEGISLATURE - DISTRICT 30-LEGISLATIVE COUNCIL     |30|LEGISLATURE
99CAC00507|02/01/1993|99FIS04938|JOHNSON|CYNTHIA|D|0|CITY COUNCIL AT LARGE-LINCOLN                     |CITY COUNCIL AT LARGE|LINCOLN
99CAC00002|01/20/1999|99FIS04938|JOHNSON|CYNTHIA|D|0|MAYOR-LINCOLN                                     |MAYOR|LINCOLN
99PAC00098|04/27/1999|99FIS04938|JOHNSON|CYNTHIA|D|0|MAYOR-LINCOLN                                     |MAYOR|LINCOLN
99CAC00408|11/02/1999|99FIS04973|FERLIC|RANDOLPH|M|0|BOARD OF REGENTS - DISTRICT 08-UNIVERSITY OF NEBRA|08|BOARD OF REGENTS
99CAC00172|01/10/1996|99FIS04977|PETERSON|CHRISTINE|Z|0|LEGISLATURE - DISTRICT 35-LEGISLATIVE COUNCIL     |35|LEGISLATURE
07CAC01019|03/02/2007|99FIS05008|ABBOTT|ALLAN|L|0|CITY COUNCIL DISTRICT #02|CITY COUNCIL DISTRICT #02|LINCOLN
99CAC00572|01/18/2002|99FIS05020|SCHMITT|JERRY|W|0|41-LEGISLATURE                                    |41|LEGISLATURE
99CAC00518|02/05/1992|99FIS05037|FISHER|DAN|L|0|35-LEGISLATURE                                    |35|LEGISLATURE
99CAC00154|06/10/1994|99FIS05615|CAVANAUGH|MICHAEL|J|0|METROPOLITIAN SUBDIVISION-OMAHA PUBLIC POWER DISTR|METROPOLITIAN SUBDIVISION|OMAHA PUBLIC POWER DISTRICT
99CAC00695|07/20/2004|99FIS05615|CAVANAUGH|MICHAEL|J|0|CITY COUNCIL DISTRICT #06-OMAHA                   |CITY COUNCIL DISTRICT #06|OMAHA
99CAC00102|08/17/1994|99FIS05620|SCHAUB|PAUL|B|0|COUNTY ATTORNEY-CHEYENNE                          |COUNTY ATTORNEY|CHEYENNE
